NAME,CITY,STATE,COUNTY,NAICSDESCR,X,Y,SUBTYPE,DENOM,PROT,CATH
CHURCH OF THE SACRED HEART AND SAINT MARY OUR LADY OF CZESTOCHOWA,NEW YORK MILLS,NY,ONEIDA,CHURCHES,-75.2850559,43.1075802,CHRISTIAN,NOT AVAILABLE,N,Y
KAGYU DZAMLING KUNCHAB TIBETAN BUDDHIST CENTER,NEW YORK,NY,NEW YORK,PLACES OF WORSHIP,-73.9753861,40.7825009,BUDDHIST,"LOTUS SUTRA, DAIMOKU (NICHIREN)",N,N
CHABAD OF THE WEST SIXTIES,NEW YORK,NY,NEW YORK,SYNAGOGUES,-73.9834308,40.7756189,JUDAIC,CHABAD,N,N
CITY GRACE CHURCH,NEW YORK,NY,NEW YORK,CHURCHES,-73.9996228,40.7294009,CHRISTIAN,NOT AVAILABLE,Y,N
CHABAD OF DOWNTOWN NEW YORK CITY,NEW YORK,NY,NEW YORK,SYNAGOGUES,-74.0172701,40.708011,JUDAIC,CHABAD,N,N
FIRST CALVARY BAPTIST CHURCH,NEW YORK,NY,NEW YORK,CHURCHES,-73.9453638,40.8271298,CHRISTIAN,NBC,Y,N
CHURCH OF OUR LADY OF ESPERANZA,NEW YORK,NY,NEW YORK,CHURCHES,-73.9465793,40.8336321,CHRISTIAN,NOT AVAILABLE,N,Y
CHURCH OF THE GOOD SHEPHERD,NEW YORK,NY,NEW YORK,CHURCHES,-73.950268,40.7617269,CHRISTIAN,EPIS,Y,N
CHURCH OF SAINT MARK THE EVANGELIST,NEW YORK,NY,NEW YORK,CHURCHES,-73.938271,40.8157047,CHRISTIAN,NOT AVAILABLE,N,Y
SECOND SAINT JOHN BAPTIST CHURCH,NEW YORK,NY,NEW YORK,CHURCHES,-73.9503788,40.804287,CHRISTIAN,NBC,Y,N
ANTIOCH BAPTIST CHURCH,NEW YORK,NY,NEW YORK,CHURCHES,-73.9565553,40.8141955,CHRISTIAN,ABC,Y,N
MASJID SABUR,NEW YORK,NY,NEW YORK,"MOSQUES, RELIGIOUS",-73.9452648,40.8138254,MUSLIM,NOT AVAILABLE,N,N
WADSWORTH AVENUE BAPTIST CHURCH,NEW YORK,NY,NEW YORK,CHURCHES,-73.9340935,40.8515934,CHRISTIAN,ABC,Y,N
BEULAH BAPTIST CHURCH,NEW YORK,NY,NEW YORK,CHURCHES,-73.9443091,40.8116457,CHRISTIAN,ABC,Y,N
