source,target,value
United Arab Emirates_Export,Unreported,1
Argentina_Export,Unreported,1
Austria_Export,Unreported,1
Belgium_Export,Unreported,1418
Chile_Export,Unreported,67.5
China_Export,Unreported,392582.729
Czechia_Export,Unreported,10
Germany_Export,Unreported,8036.0523
Denmark_Export,Unreported,1066
Dominican Republic_Export,Unreported,180
Spain_Export,Unreported,9
Finland_Export,Unreported,1.76
France_Export,Unreported,78.1301
United Kingdom of Great Britain and Northern Ireland_Export,Unreported,58
Guernsey_Export,Unreported,1
Hong Kong_Export,Unreported,2807.991
Indonesia_Export,Unreported,5
Ireland_Export,Unreported,1
India_Export,Unreported,6500
Italy_Export,Unreported,705
Japan_Export,Unreported,42237.4
Madagascar_Export,Unreported,6
Malta_Export,Unreported,33800
Malaysia_Export,Unreported,12081
Netherlands_Export,Unreported,51478
Peru_Export,Unreported,1890.15
Portugal_Export,Unreported,1
Sweden_Export,Unreported,28
Singapore_Export,Unreported,8
United States of America_Export,Unreported,50295
Zimbabwe_Export,Unreported,1
Germany_Export,Actinopteri,4
Hong Kong_Export,Actinopteri,1
Indonesia_Export,Actinopteri,131634
Malaysia_Export,Actinopteri,98822
Singapore_Export,Actinopteri,17193
Hong Kong_Export,Amphibia,1
United States of America_Export,Amphibia,2102
United Arab Emirates_Export,Aves,6650
Armenia_Export,Aves,4
Argentina_Export,Aves,525
Austria_Export,Aves,608
Belgium_Export,Aves,292
Bulgaria_Export,Aves,2
Bahrain_Export,Aves,9
Bahamas_Export,Aves,2
China_Export,Aves,9
Czechia_Export,Aves,515
Germany_Export,Aves,801
Denmark_Export,Aves,196
Dominican Republic_Export,Aves,1
Spain_Export,Aves,2085
France_Export,Aves,118
United Kingdom of Great Britain and Northern Ireland_Export,Aves,2130
Georgia_Export,Aves,2
Hungary_Export,Aves,35
Ireland_Export,Aves,57
Italy_Export,Aves,37
Jersey_Export,Aves,18
Japan_Export,Aves,14
Kuwait_Export,Aves,323
Kazakhstan_Export,Aves,24
Latvia_Export,Aves,16
Morocco_Export,Aves,6383
Monaco_Export,Aves,2
Myanmar_Export,Aves,10
Netherlands_Export,Aves,791
Norway_Export,Aves,93
