source,target,va
Netherlands_Export,1,
Germany_Export,4,Actinopteri
Hong Kong_Export,1,Actinopteri
Indonesia_Export,131634,Actinopteri
Malaysia_Export,98822,Actinopteri
Singapore_Export,17193,Actinopteri
Hong Kong_Export,1,Amphibia
United States of America_Export,2102,Amphibia
United Arab Emirates_Export,6650,Aves
Armenia_Export,4,Aves
Argentina_Export,525,Aves
Austria_Export,608,Aves
Belgium_Export,292,Aves
Bulgaria_Export,2,Aves
Bahrain_Export,9,Aves
Bahamas_Export,2,Aves
China_Export,9,Aves
Czechia_Export,515,Aves
Germany_Export,801,Aves
Denmark_Export,196,Aves
Dominican Republic_Export,1,Aves
Spain_Export,2085,Aves
France_Export,118,Aves
United Kingdom of Great Britain and Northern Ireland_Export,2130,Aves
Georgia_Export,2,Aves
Hungary_Export,35,Aves
Ireland_Export,57,Aves
Italy_Export,37,Aves
Jersey_Export,18,Aves
Japan_Export,14,Aves
Kuwait_Export,323,Aves
Kazakhstan_Export,24,Aves
Latvia_Export,16,Aves
Morocco_Export,6383,Aves
Monaco_Export,2,Aves
Myanmar_Export,10,Aves
Netherlands_Export,791,Aves
Norway_Export,93,Aves
New Zealand_Export,17,Aves
Oman_Export,1,Aves
Peru_Export,1223,Aves
Philippines_Export,154,Aves
Poland_Export,1,Aves
Portugal_Export,72,Aves
Qatar_Export,41,Aves
Serbia_Export,73,Aves
Sweden_Export,1,Aves
Singapore_Export,274,Aves
Slovenia_Export,20,Aves
Slovakia_Export,58,Aves
United States of America_Export,574,Aves
Uzbekistan_Export,435,Aves
Germany_Export,1,Bivalvia
Indonesia_Export,2,Coelacanthi
United Kingdom of Great Britain and Northern Ireland_Export,3,Elasmobranchii
United States of America_Export,1,Elasmobranchii
United Arab Emirates_Export,565,Mammalia
Armenia_Export,6,Mammalia
Argentina_Export,117,Mammalia
Austria_Export,136,Mammalia
Belgium_Export,359.678,Mammalia
Bahrain_Export,1,Mammalia
Bahamas_Export,4,Mammalia
Belarus_Export,3,Mammalia
Côte d'Ivoire_Export,1291,Mammalia
Chile_Export,4,Mammalia
China_Export,103,Mammalia
Cuba_Export,2929.345,Mammalia
Cabo Verde_Export,11,Mammalia
Czechia_Export,80,Mammalia
Germany_Export,372.264,Mammalia
Denmark_Export,118.54,Mammalia
Estonia_Export,1,Mammalia
Spain_Export,266,Mammalia
Finland_Export,6,Mammalia
Falkland Islands (Malvinas)_Export,1,Mammalia
France_Export,1486.364,Mammalia
United Kingdom of Great Britain and Northern Ireland_Export,5094.101,Mammalia
Georgia_Export,7,Mammalia
Guernsey_Export,38,Mammalia
Greenland_Export,1323,Mammalia
Greece_Export,2,Mammalia
Hong Kong_Export,12,Mammalia
Hungary_Export,32,Mammalia
Indonesia_Export,1985.6,Mammalia
Ireland_Export,114,Mammalia
India_Export,5,Mammalia
Iraq_Export,1,Mammalia
Italy_Export,262.1,Mammalia
Jersey_Export,6,Mammalia
Japan_Export,385.4,Mammalia
Kenya_Export,59.47,Mammalia
Cambodia_Export,2599,Mammalia
Kuwait_Export,4,Mammalia
Kazakhstan_Export,20,Mammalia
Lithuania_Export,4,Mammalia
Morocco_Export,6,Mammalia
Monaco_Export,6,Mammalia
Madagascar_Export,1052.55,Mammalia
Myanmar_Export,1790,Mammalia
Mongolia_Export,7,Mammalia
Malaysia_Export,114,Mammalia
Netherlands_Export,74.336,Mammalia
Norway_Export,201562,Mammalia
New Zealand_Export,359,Mammalia
Oman_Export,329,Mammalia
Peru_Export,83,Mammalia
Philippines_Export,37,Mammalia
Pakistan_Export,6,Mammalia
Poland_Export,987.615,Mammalia
Portugal_Export,319,Mammalia
Qatar_Export,14,Mammalia
Romania_Export,1,Mammalia
Serbia_Export,1,Mammalia
Sweden_Export,192,Mammalia
Singapore_Export,39,Mammalia
Slovenia_Export,11,Mammalia
Slovakia_Export,5,Mammalia
Tunisia_Export,6,Mammalia
Turkey_Export,5,Mammalia
Uganda_Export,31.86,Mammalia
United States of America_Export,1955,Mammalia
Uruguay_Export,138,Mammalia
