OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
5006,10431775,MASJID BILAL IBN RABAH,LOS ANGELES,CA,90043,2408,LOS ANGELES,6037,2007-10-09T00:00:00.000Z,ALT REF,2007-10-09T00:00:00.000Z,"MOSQUES, RELIGIOUS",24613611,-118.3302447,33.9926464,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
5030,10430612,MUSLIM STUDENT ORGANIZATION,LOS ANGELES,CA,90024,5000,LOS ANGELES,6037,2007-07-18T00:00:00.000Z,PHONE,2007-07-18T00:00:00.000Z,"MOSQUES, RELIGIOUS",126537542,-118.4435578,34.0703235,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
5040,10428886,CHABAD MID CITY CENTER,LOS ANGELES,CA,90036,1717,LOS ANGELES,6037,2007-08-02T00:00:00.000Z,PHONE,2008-11-04T00:00:00.000Z,SYNAGOGUES,724675232,-118.3611313,34.079185,JUDAIC,CHABAD,NOT AVAILABLE,CHABAD,N,N
5041,10428989,CONGREGATION BAIS NAFTOLI,LOS ANGELES,CA,90036,3022,LOS ANGELES,6037,2007-08-02T00:00:00.000Z,PHONE,2008-11-03T00:00:00.000Z,SYNAGOGUES,722898370,-118.3443862,34.0706246,JUDAIC,ORTHODOX,NOT AVAILABLE,NOT AVAILABLE,N,N
5042,10428315,CHABAD OF HANCOCK PARK,LOS ANGELES,CA,90036,2518,LOS ANGELES,6037,2007-08-02T00:00:00.000Z,PHONE,2008-11-04T00:00:00.000Z,SYNAGOGUES,722754772,-118.3437026,34.0771067,JUDAIC,CHABAD,NOT AVAILABLE,CHABAD,N,N
5044,10426723,CONGREGATION BAIS YEHUDA,LOS ANGELES,CA,90036,2518,LOS ANGELES,6037,2007-08-02T00:00:00.000Z,PHONE,2008-11-04T00:00:00.000Z,SYNAGOGUES,722754772,-118.3437061,34.0773334,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,SYNAGOGUE,N,N
5045,10448164,OUR LADY OF MOUNT LEBANON - SAINT PETER CATHEDRAL,LOS ANGELES,CA,90048,3313,LOS ANGELES,6037,2007-08-31T00:00:00.000Z,ALT REF,2008-11-04T00:00:00.000Z,CHURCHES,727638989,-118.3777176,34.0726102,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
5046,10427309,WESTWOOD KEHILLA,LOS ANGELES,CA,90025,4907,LOS ANGELES,6037,2007-08-02T00:00:00.000Z,PHONE,2008-11-04T00:00:00.000Z,SYNAGOGUES,711610124,-118.4277829,34.055446,JUDAIC,ORTHODOX,NOT AVAILABLE,SYNAGOGUE,N,N
5048,10426717,AHAVAS YISROEL SYNAGOGUE,LOS ANGELES,CA,90038,3350,LOS ANGELES,6037,2007-08-03T00:00:00.000Z,PHONE,2008-11-04T00:00:00.000Z,SYNAGOGUES,128789179,-118.3444187,34.0841038,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,SYNAGOGUE,N,N
5050,10447606,OUR LADY OF THE BRIGHT MOUNT PARISH,LOS ANGELES,CA,90018,1820,LOS ANGELES,6037,2008-11-04T00:00:00.000Z,ALT REF,2008-11-05T00:00:00.000Z,CHURCHES,128790134,-118.3220489,34.0322834,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
5051,10447670,SAINT THOMAS THE APOSTLE PARISH,LOS ANGELES,CA,90006,4305,LOS ANGELES,6037,2008-11-04T00:00:00.000Z,ALT REF,2008-11-04T00:00:00.000Z,CHURCHES,23841906,-118.2988679,34.0467873,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
5053,10684240,DETROIT STREET ZEN CENTER,LOS ANGELES,CA,90036,4020,LOS ANGELES,6037,2008-11-04T00:00:00.000Z,ALT REF,2008-11-04T00:00:00.000Z,PLACES OF WORSHIP,23920563,-118.3469485,34.0634107,BUDDHIST,SOTO ZEN,NOT AVAILABLE,NOT AVAILABLE,N,N
5055,10684298,DONT WORRY ZENDO,LOS ANGELES,CA,90048,2612,LOS ANGELES,6037,2008-11-04T00:00:00.000Z,ALT REF,2008-11-04T00:00:00.000Z,PLACES OF WORSHIP,23915428,-118.3707852,34.0793641,BUDDHIST,MIXED - NON-SECTARIAN,NOT AVAILABLE,NOT AVAILABLE,N,N
5088,10684435,HANMAUM SEONWON OF LOS ANGELES,LOS ANGELES,CA,90004,4604,LOS ANGELES,6037,2008-10-29T00:00:00.000Z,ALT REF,2008-10-29T00:00:00.000Z,PLACES OF WORSHIP,23916490,-118.295148,34.0748796,BUDDHIST,KOREAN ZEN/SEON,NOT AVAILABLE,NOT AVAILABLE,N,N
5089,10684576,KANZEONJI NON-SECTARIAN BUDDHIST TEMPLE AND SIVA ASHRAM YOGA CENTER,LOS ANGELES,CA,90042,3138,LOS ANGELES,6037,2008-10-29T00:00:00.000Z,ALT REF,2008-10-29T00:00:00.000Z,"TEMPLES, RELIGIOUS",23903037,-118.2127319,34.1148932,BUDDHIST,SOTO ZEN,NOT AVAILABLE,NOT AVAILABLE,N,N
5096,10452463,NEW LIFE BAPTIST CHURCH,LOS ANGELES,CA,90011,2726,LOS ANGELES,6037,2008-11-05T00:00:00.000Z,ALT REF,2008-11-05T00:00:00.000Z,CHURCHES,23844344,-118.261703,34.0102909,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
5097,10685026,SENSHIN BUDDHIST TEMPLE,LOS ANGELES,CA,90007,3960,LOS ANGELES,6037,2008-11-05T00:00:00.000Z,ALT REF,2008-11-05T00:00:00.000Z,"TEMPLES, RELIGIOUS",23843590,-118.2982497,34.0214684,BUDDHIST,JODO SHINSHU BUDDHISM,NOT AVAILABLE,NOT AVAILABLE,N,N
