OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
30148,10429726,CONGREGATION ADATH JESHURUN,LOUISVILLE,KY,40205,1719,JEFFERSON,21111,2007-08-08T00:00:00.000Z,ALT REF,2007-08-09T00:00:00.000Z,SYNAGOGUES,38678320,-85.684749,38.227975,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
30149,10428024,TEMPLE SHALOM,LOUISVILLE,KY,40220,1531,JEFFERSON,21111,2007-07-23T00:00:00.000Z,PHONE,2007-07-23T00:00:00.000Z,SYNAGOGUES,38679510,-85.6092835,38.2234084,JUDAIC,REFORM,224,NOT AVAILABLE,N,N
30150,10429727,KENESETH ISRAEL CONGREGATION,LOUISVILLE,KY,40205,2224,JEFFERSON,21111,2007-08-08T00:00:00.000Z,ALT REF,2007-08-09T00:00:00.000Z,SYNAGOGUES,38679062,-85.6748545,38.2241178,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
30154,10428151,JEWISH COMMUNITY CENTER OF LOUISVILLE,LOUISVILLE,KY,40205,3302,JEFFERSON,21111,2007-08-08T00:00:00.000Z,ALT REF,2007-08-09T00:00:00.000Z,SYNAGOGUES,38678659,-85.649856,38.2256626,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
30156,10426712,ANSHEI SFARD CONGREGATION,LOUISVILLE,KY,40205,3217,JEFFERSON,21111,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,38678659,-85.648904,38.2263146,JUDAIC,ORTHODOX,NOT AVAILABLE,SYNAGOGUE,N,N
30157,10426179,BETH ISRAEL CONGREGATION,LOUISVILLE,KY,40205,3203,JEFFERSON,21111,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,38678578,-85.6452999,38.2265783,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,SYNAGOGUE,N,N
30160,10428069,THE TEMPLE CONGREGATION ADATH ISRAEL B'RITH SHOLOM,LOUISVILLE,KY,40241,NULL,JEFFERSON,21111,2007-07-23T00:00:00.000Z,PHONE,2007-07-23T00:00:00.000Z,SYNAGOGUES,38668220,-85.6301136,38.2912365,JUDAIC,REFORM,765,NOT AVAILABLE,N,N
30161,10426715,TEMPLE BETH SHALOM,LOUISVILLE,KY,40204,1015,JEFFERSON,21111,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,38674431,-85.7386943,38.246592,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,SYNAGOGUE,N,N
30162,10428912,CHABAD OF KENTUCKY,LOUISVILLE,KY,40205,3217,JEFFERSON,21111,2007-07-26T00:00:00.000Z,PHONE,2007-07-26T00:00:00.000Z,SYNAGOGUES,38678659,-85.6479643,38.2263495,JUDAIC,CHABAD,NOT AVAILABLE,CHABAD,N,N
30166,10430831,ISLAMIC CULTURAL CENTER OF LOUISVILLE,LOUISVILLE,KY,40207,1043,JEFFERSON,21111,2007-07-19T00:00:00.000Z,PHONE,2007-07-20T00:00:00.000Z,"MOSQUES, RELIGIOUS",38668143,-85.678991,38.2911878,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
30173,10430834,BOSNIAN-AMERICAN ISLAMIC CENTER,LOUISVILLE,KY,40218,2623,JEFFERSON,21111,2007-07-17T00:00:00.000Z,PHONE,2007-07-17T00:00:00.000Z,"MOSQUES, RELIGIOUS",38683659,-85.6501599,38.1964637,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
30175,10456540,NEW COVENANT COMMUNITY AFRICAN METHODIST EPISCOPAL CHURCH,LOUISVILLE,KY,40299,1579,JEFFERSON,21111,2008-03-04T00:00:00.000Z,ALT REF,2008-03-21T00:00:00.000Z,CHURCHES,38683359,-85.5876315,38.1986039,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
30302,10583526,MARYVILLE BAPTIST CHURCH,LOUISVILLE,KY,40229,4000,BULLITT,21029,2009-03-31T00:00:00.000Z,ALT REF,2009-03-31T00:00:00.000Z,CHURCHES,107305655,-85.6853026,38.078047,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
