CITY,NAICSDESCR,X,Y
FRESNO,CHURCHES,-119.6700252,36.7291844
FRESNO,CHURCHES,-119.7999952,36.8162805
SACRAMENTO,CHURCHES,-121.3706293,38.4663755
STOCKTON,CHURCHES,-121.2932124,38.0257565
STOCKTON,CHURCHES,-121.2932128,38.0257566
HENDERSON,CHURCHES,-114.9873028,36.0148316
BOISE,CHURCHES,-116.3308945,43.6344544
HENDERSON,CHURCHES,-114.9582081,36.0048311
BAKERSFIELD,CHURCHES,-119.0982446,35.3174006
HENDERSON,CHURCHES,-115.0510825,36.0580399
SACRAMENTO,CHURCHES,-121.399761,38.5881741
HENDERSON,CHURCHES,-115.0569024,36.0736714
HENDERSON,CHURCHES,-115.0776756,36.0295393
BOISE,CHURCHES,-116.3323734,43.5617329
BOISE,CHURCHES,-116.3149486,43.6253662
FRESNO,CHURCHES,-119.8809248,36.7929509
HENDERSON,CHURCHES,-115.0683572,36.0574189
SACRAMENTO,CHURCHES,-121.3997619,38.5881775
STOCKTON,CHURCHES,-121.3135925,37.982873
BOISE,CHURCHES,-116.13632,43.5479989
HENDERSON,CHURCHES,-114.9725772,36.0386275
BAKERSFIELD,CHURCHES,-119.0289624,35.3602294
HENDERSON,CHURCHES,-114.9581938,36.0048255
BOISE,CHURCHES,-116.2627641,43.6670053
SACRAMENTO,CHURCHES,-121.3706174,38.4663662
BOISE,CHURCHES,-116.2217436,43.5975487
BAKERSFIELD,CHURCHES,-119.0289586,35.3602292
BOISE,CHURCHES,-116.2217423,43.5975566
BOISE,CHURCHES,-116.1644941,43.5985802
HENDERSON,CHURCHES,-115.0776875,36.0295489
BOISE,CHURCHES,-116.219334,43.5811256
BOISE,CHURCHES,-116.2193301,43.5811216
BOISE,CHURCHES,-116.3007488,43.6815482
BOISE,CHURCHES,-116.2219645,43.64866
BOISE,CHURCHES,-116.2651704,43.626046
HENDERSON,CHURCHES,-114.9660507,35.9976089
HENDERSON,CHURCHES,-115.0519478,36.0151342
RENO,CHURCHES,-119.8813391,39.5338715
BOISE,CHURCHES,-116.3149486,43.625369
HENDERSON,CHURCHES,-115.154214,35.9907453
POWELL BUTTE,CHURCHES,-121.0185366,44.2470113
BOISE,CHURCHES,-116.2217533,43.5975595
BOISE,CHURCHES,-116.2544505,43.5975215
BOISE,CHURCHES,-116.3618369,43.6622941
BOISE,CHURCHES,-116.1363319,43.5479989
HENDERSON,CHURCHES,-115.0569041,36.0736689
BOISE,CHURCHES,-116.2009801,43.6497834
BOISE,CHURCHES,-116.2627647,43.6670051
BOISE,CHURCHES,-116.254448,43.5975196
FRESNO,CHURCHES,-119.7999952,36.8162765
HENDERSON,CHURCHES,-114.9491114,36.0351932
HENDERSON,CHURCHES,-115.0519442,36.0151274
SACRAMENTO,CHURCHES,-121.3706174,38.4663755
BOISE,CHURCHES,-116.2217414,43.5975508
FRESNO,CHURCHES,-119.8809248,36.7929502
HENDERSON,CHURCHES,-115.1145733,35.9964618
HENDERSON,CHURCHES,-115.154214,35.9907453
HENDERSON,CHURCHES,-115.0519427,36.0151343
HENDERSON,CHURCHES,-115.056916,36.0736689
HENDERSON,CHURCHES,-115.1145733,35.9964481
HENDERSON,CHURCHES,-114.972601,36.0386467
HENDERSON,CHURCHES,-114.9873028,36.0148266
HENDERSON,CHURCHES,-115.0510944,36.0580303
MODESTO,CHURCHES,-120.9254206,37.6786755
STOCKTON,CHURCHES,-121.3135902,37.9828703
RENO,CHURCHES,-119.8218734,39.5407993
HENDERSON,CHURCHES,-115.1145733,35.9964481
FRESNO,CHURCHES,-119.8032864,36.7670124
BOISE,CHURCHES,-116.3308936,43.6344486
SACRAMENTO,CHURCHES,-121.3706312,38.4663684
BAKERSFIELD,CHURCHES,-119.0982481,35.3174019
HENDERSON,CHURCHES,-115.154214,35.9907453
STOCKTON,CHURCHES,-121.3135884,37.9828769
BOISE,CHURCHES,-116.2219637,43.648659
MODESTO,CHURCHES,-120.9254148,37.6786883
MODESTO,CHURCHES,-120.9254266,37.6786894
BAKERSFIELD,CHURCHES,-119.1128317,35.3358294
BOISE,CHURCHES,-116.265174,43.6260491
BOISE,CHURCHES,-116.3323734,43.5617416
BOISE,CHURCHES,-116.2949111,43.5514745
BOISE,CHURCHES,-116.3323734,43.5617329
SACRAMENTO,CHURCHES,-121.3296882,38.5578577
HENDERSON,CHURCHES,-115.0944727,36.0116997
BOISE,CHURCHES,-116.274759,43.5709102
BAKERSFIELD,CHURCHES,-118.9309144,35.4032947
HENDERSON,CHURCHES,-114.9636673,36.0332211
SACRAMENTO,CHURCHES,-121.3865875,38.4956913
STOCKTON,CHURCHES,-121.3115604,38.016928
BOISE,CHURCHES,-116.2948862,43.6260459
MODESTO,CHURCHES,-120.9838891,37.6883597
BOISE,CHURCHES,-116.2627644,43.6670061
BOISE,CHURCHES,-116.3250263,43.6479611
BOISE,CHURCHES,-116.3133965,43.578879
BOISE,CHURCHES,-116.1644822,43.5985716
FRESNO,CHURCHES,-119.7551754,36.8190645
RENO,CHURCHES,-119.7827811,39.4811614
BAKERSFIELD,CHURCHES,-119.0439038,35.3293576
BOISE,CHURCHES,-116.2193321,43.5811269
HENDERSON,CHURCHES,-114.972601,36.0386467
BOISE,CHURCHES,-116.2934223,43.5693374
BOISE,CHURCHES,-116.2948887,43.626048
SACRAMENTO,CHURCHES,-121.38096,38.5525684
SACRAMENTO,CHURCHES,-121.38096,38.5525637
LAS VEGAS,CHURCHES,-115.1375307,36.1476744
FRESNO,CHURCHES,-119.6786444,36.7360578
FRESNO,CHURCHES,-119.755689,36.7878198
GARDNERVILLE,CHURCHES,-119.7438855,38.9398695
BOISE,CHURCHES,-116.2280656,43.5973444
LAS VEGAS,CHURCHES,-115.0650909,36.1092858
LAS VEGAS,CHURCHES,-115.3254101,36.1412735
LAS VEGAS,CHURCHES,-115.1620443,36.1584951
LAS VEGAS,CHURCHES,-115.1466626,36.1841919
IDAHO FALLS,CHURCHES,-112.0169216,43.4972498
LAS VEGAS,CHURCHES,-115.1643473,36.0289125
LAS VEGAS,CHURCHES,-115.2238789,36.2734443
HENDERSON,CHURCHES,-114.9792584,36.0335439
LAS VEGAS,PLACES OF WORSHIP,-115.2197261,36.1711411
LAS VEGAS,PLACES OF WORSHIP,-115.334818,36.1886964
LAS VEGAS,CHURCHES,-115.2369603,36.1952719
LAS VEGAS,CHURCHES,-115.2659664,36.2640213
LAS VEGAS,CHURCHES,-115.0694092,36.1302762
LAS VEGAS,CHURCHES,-115.1826767,36.166601
LAS VEGAS,CHURCHES,-115.1159943,36.1254074
LAS VEGAS,CHURCHES,-115.1287115,36.1661481
BOULDER CITY,CHURCHES,-114.8512584,35.9740814
LAS VEGAS,CHURCHES,-115.1454794,36.1678941
LAS VEGAS,CHURCHES,-115.2514797,36.1444853
LAS VEGAS,CHURCHES,-115.2008437,36.1522365
