OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
8249,10585202,AUSTIN BAPTIST CHURCH,AUSTIN,CO,81410,8205,DELTA,8029,2008-11-17T00:00:00.000Z,ALT REF,2008-11-17T00:00:00.000Z,CHURCHES,31812065,-107.9516238,38.7808731,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
9953,10759879,OUR SAVIORS LUTHERAN CHURCH,AUSTIN,MN,55912,1649,MOWER,27099,2009-06-25T00:00:00.000Z,ALT REF,2009-06-29T00:00:00.000Z,CHURCHES,122684820,-92.9951886,43.6671477,CHRISTIAN,ELCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
13001,10576825,SUNRISE COMMUNITY CHURCH,AUSTIN,TX,78745,1604,TRAVIS,48453,2009-05-19T00:00:00.000Z,ALT REF,2009-05-19T00:00:00.000Z,CHURCHES,740844128,-97.7894833,30.2287992,CHRISTIAN,CRC,NOT AVAILABLE,NOT AVAILABLE,Y,N
13002,10577882,WOODCLIFF BAPTIST CHURCH,AUSTIN,TX,78754,2053,TRAVIS,48453,2009-05-19T00:00:00.000Z,ALT REF,2009-05-19T00:00:00.000Z,CHURCHES,739538268,-97.6672311,30.36896,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
13004,10589510,UNIVERSITY BAPTIST CHURCH,AUSTIN,TX,78705,5516,TRAVIS,48453,2009-05-19T00:00:00.000Z,ALT REF,2009-05-19T00:00:00.000Z,CHURCHES,18142769,-97.7422619,30.2847744,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
13005,10759799,TRIUMPHANT LOVE LUTHERAN CHURCH,AUSTIN,TX,78759,6321,TRAVIS,48453,2009-05-19T00:00:00.000Z,ALT REF,2009-05-19T00:00:00.000Z,CHURCHES,18168139,-97.7559051,30.3948623,CHRISTIAN,ELCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
13006,10762434,AUSTIN KOREAN PRESBYTERIAN CHURCH,AUSTIN,TX,78757,2413,TRAVIS,48453,2009-05-19T00:00:00.000Z,ALT REF,2009-05-19T00:00:00.000Z,CHURCHES,18137782,-97.7344665,30.3445177,CHRISTIAN,PCUSA,648,NOT AVAILABLE,Y,N
13009,10684258,DHARMA DRUM MOUNTAIN AUSTIN,AUSTIN,TX,78750,3874,TRAVIS,48453,2009-05-19T00:00:00.000Z,ALT REF,2009-05-19T00:00:00.000Z,PLACES OF WORSHIP,27831367,-97.8112859,30.4248186,BUDDHIST,CHINESE CH'AN (ZEN),NOT AVAILABLE,NOT AVAILABLE,N,N
13010,10446564,NUESTRA SENORA DE LOS DOLORES CHURCH,AUSTIN,TX,78741,3325,TRAVIS,48453,2009-05-19T00:00:00.000Z,ALT REF,2009-05-19T00:00:00.000Z,CHURCHES,18169952,-97.6981183,30.2323281,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13012,10441900,SAINT CATHERINE OF SIENA CATHOLIC CHURCH,AUSTIN,TX,78749,2202,TRAVIS,48453,2009-05-19T00:00:00.000Z,ALT REF,2009-05-19T00:00:00.000Z,CHURCHES,18326417,-97.8494924,30.2182793,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
