OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
44003,10456979,ADAMS CHAPEL AFRICAN METHODIST EPISCOPAL CHURCH,BALTIMORE,MD,21215,5413,BALTIMORE CITY,24510,2009-04-14T00:00:00.000Z,ALT REF,2009-04-14T00:00:00.000Z,CHURCHES,18526913,-76.6820672,39.3281511,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
44018,10431480,MASJID AL NUR,BALTIMORE,MD,21234,1207,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,"MOSQUES, RELIGIOUS",18495477,-76.5144773,39.4084704,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
44025,10762310,CENTRAL PRESBYTERIAN CHURCH,BALTIMORE,MD,21204,7616,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,18493781,-76.6074617,39.3848115,CHRISTIAN,PCUSA,745,NOT AVAILABLE,Y,N
44026,10457035,COWDENSVILLE AFRICAN METHODIST EPISCOPAL CHURCH,BALTIMORE,MD,21227,2739,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,18538091,-76.7080833,39.2462043,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
44027,10760060,EMMANUEL LUTHERAN CHURCH,BALTIMORE,MD,21228,1316,BALTIMORE,24005,2009-04-14T00:00:00.000Z,ALT REF,2009-04-14T00:00:00.000Z,CHURCHES,18524104,-76.7328218,39.29031,CHRISTIAN,LCMS,NOT AVAILABLE,NOT AVAILABLE,Y,N
44028,10583346,COMMUNITY BAPTIST CHURCH OF CHASE,BALTIMORE,MD,21220,1301,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,18534825,-76.3811103,39.3493791,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
44029,10583345,GRACE BIBLE BAPTIST CHURCH,BALTIMORE,MD,21228,1147,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,18481328,-76.7558784,39.3035536,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
44031,10457054,FALLS ROAD AFRICAN METHODIST EPISCOPAL CHURCH,BALTIMORE,MD,21244,2827,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,24746669,-76.7568423,39.3425819,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
44032,10440908,THE CHURCH OF THE ASCENSION,BALTIMORE,MD,21220,5514,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,18536226,-76.4181616,39.3183356,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
44033,10448428,HOLY KOREAN MARTYRS CATHOLIC CHURCH,BALTIMORE,MD,21207,5137,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,18524263,-76.7162323,39.3089484,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
44034,10443290,CHURCH OF THE ASCENSION HALETHORPE,BALTIMORE,MD,21227,4029,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,18538408,-76.6903305,39.2406876,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
44035,10448645,OUR LADY OF LAVANG CATHOLIC CHURCH,BALTIMORE,MD,21222,6169,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,18543187,-76.5080292,39.2447908,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
44036,10440892,HOLY TRINITY EPISCOPAL CHURCH,BALTIMORE,MD,21221,3316,BALTIMORE,24005,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,18535929,-76.4694799,39.3268181,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
44037,10440912,THE EPISCOPAL CHURCH OF CHRIST THE KING,BALTIMORE,MD,21244,1704,BALTIMORE,24005,2009-04-14T00:00:00.000Z,ALT REF,2009-04-14T00:00:00.000Z,CHURCHES,18895268,-76.7591114,39.3130182,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
