OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
47783,10440922,EMMANUEL CHURCH,BOSTON,MA,2116,3105,SUFFOLK,25025,2009-04-20T00:00:00.000Z,ALT REF,2009-04-20T00:00:00.000Z,CHURCHES,732556410,-71.0723241,42.3526117,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
47813,10443313,CATHEDRAL OF THE HOLY CROSS,BOSTON,MA,2118,2001,SUFFOLK,25025,2009-04-20T00:00:00.000Z,ALT REF,2009-04-20T00:00:00.000Z,CHURCHES,22022171,-71.0696842,42.3407881,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
47820,10442494,SAINT FRANCIS CHAPEL,BOSTON,MA,2199,7034,SUFFOLK,25025,2009-04-20T00:00:00.000Z,ALT REF,2009-04-20T00:00:00.000Z,CHURCHES,733049372,-71.0827656,42.3470493,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
47832,10432472,PARK STREET CHURCH,BOSTON,MA,2108,4802,SUFFOLK,25025,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,22023653,-71.0620573,42.3568528,CHRISTIAN,CCCC,NOT AVAILABLE,NOT AVAILABLE,Y,N
47857,10438562,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BOSTON 1ST WARD,BOSTON,MA,2131,3829,SUFFOLK,25025,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,22017462,-71.1161046,42.2827279,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
47884,10439492,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BOSTON 2ND WARD,BOSTON,MA,2131,3829,SUFFOLK,25025,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,22017462,-71.1161085,42.2827262,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
47885,10439493,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BOSTON 3RD (HAITIAN-CREOLE) BRANCH,BOSTON,MA,2131,3829,SUFFOLK,25025,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,22017462,-71.116109,42.2827246,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
47886,10456776,BETHEL AFRICAN METHODIST EPISCOPAL CHURCH,BOSTON,MA,2130,3302,SUFFOLK,25025,2008-02-21T00:00:00.000Z,ALT REF,2008-02-21T00:00:00.000Z,CHURCHES,22019613,-71.1037251,42.3051534,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
47915,10456830,CHARLES STREET AFRICAN METHODIST EPISCOPAL CHURCH,BOSTON,MA,2121,1806,SUFFOLK,25025,2008-02-21T00:00:00.000Z,ALT REF,2008-02-21T00:00:00.000Z,CHURCHES,22019292,-71.083701,42.3127408,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
47930,10443538,SAINT LEONARD OF PORT MAURICE CHURCH (ITALIAN),BOSTON,MA,2113,1821,SUFFOLK,25025,2007-10-01T00:00:00.000Z,ALT REF,2007-10-08T00:00:00.000Z,CHURCHES,22024978,-71.054292,42.3646897,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
47932,10443545,OUR LADY OF VICTORIES CATHOLIC CHURCH,BOSTON,MA,2116,5216,SUFFOLK,25025,2007-09-28T00:00:00.000Z,ALT REF,2007-09-28T00:00:00.000Z,CHURCHES,22013166,-71.0702982,42.348935,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
47967,10445818,SAINT CECILIA CHURCH,BOSTON,MA,2115,3110,SUFFOLK,25025,2007-09-28T00:00:00.000Z,ALT REF,2007-09-28T00:00:00.000Z,CHURCHES,22021304,-71.0862434,42.3465652,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
47968,10448136,ANNUNCIATION MELKITE CATHOLIC CATHEDRAL,BOSTON,MA,2131,NULL,SUFFOLK,25025,2007-09-28T00:00:00.000Z,ALT REF,2007-09-28T00:00:00.000Z,CHURCHES,92861175,-71.1342179,42.2975206,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
47983,10455574,NEW HOPE BAPTIST CHURCH,BOSTON,MA,2118,3416,SUFFOLK,25025,2008-02-21T00:00:00.000Z,ALT REF,2008-02-21T00:00:00.000Z,CHURCHES,22014051,-71.0781057,42.3401294,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
47984,10456706,GRANT AFRICAN METHODIST EPISCOPAL CHURCH,BOSTON,MA,2118,3212,SUFFOLK,25025,2008-02-21T00:00:00.000Z,ALT REF,2008-02-21T00:00:00.000Z,CHURCHES,31109191,-71.0790755,42.3343359,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
