OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
22757,10459700,MCGAVOCK CHAPEL AFRICAN METHODIST EPISCOPAL CHURCH,CHARLOTTE,TN,37036,4832,DICKSON,47043,2008-03-06T00:00:00.000Z,ALT REF,2008-03-06T00:00:00.000Z,CHURCHES,98613896,-87.3469098,36.1735326,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
22758,10459708,MOUNT ZION AFRICAN METHODIST EPISCOPAL CHURCH,CHARLOTTE,TN,37036,NULL,DICKSON,47043,2008-03-06T00:00:00.000Z,ALT REF,2008-03-06T00:00:00.000Z,CHURCHES,98844002,-87.1774131,36.2845652,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
27102,10587672,FIRST BAPTIST CHURCH,CHARLOTTE,MI,48813,2204,EATON,26045,2009-07-27T00:00:00.000Z,ALT REF,2009-07-27T00:00:00.000Z,CHURCHES,40174724,-84.837834,42.5488616,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
27139,10577031,ETZEL ROBERT NEEDMORE INDEPENDENT BAPTIST CHURCH,CHARLOTTE,MI,48813,8627,EATON,26045,2009-07-27T00:00:00.000Z,ALT REF,2009-07-27T00:00:00.000Z,CHURCHES,40173963,-84.8434762,42.6828889,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
27250,10583238,CALVARY BAPTIST CHURCH,CHARLOTTE,MI,48813,1101,EATON,26045,2009-07-23T00:00:00.000Z,ALT REF,2009-07-23T00:00:00.000Z,CHURCHES,40174333,-84.8365333,42.5764523,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
27263,10761028,FIRST CONGREGATIONAL CHURCH,CHARLOTTE,MI,48813,1414,EATON,26045,2009-07-28T00:00:00.000Z,ALT REF,2009-07-28T00:00:00.000Z,CHURCHES,40174490,-84.837676,42.5636554,CHRISTIAN,UCC,429,NOT AVAILABLE,Y,N
27265,10576185,CHARLOTTE CHRISTIAN REFORMED CHURCH,CHARLOTTE,MI,48813,1705,EATON,26045,2009-07-29T00:00:00.000Z,ALT REF,2009-07-29T00:00:00.000Z,CHURCHES,40175868,-84.8513504,42.5558924,CHRISTIAN,CRC,NOT AVAILABLE,NOT AVAILABLE,Y,N
32014,10575236,CLEMENT MEMORIAL AFRICAN METHODIST EPISCOPAL ZION CHURCH,CHARLOTTE,NC,28216,4661,MECKLENBURG,37119,2009-04-24T00:00:00.000Z,ALT REF,2009-04-24T00:00:00.000Z,CHURCHES,28217964,-80.8503177,35.2668412,CHRISTIAN,AMEZ,NOT AVAILABLE,NOT AVAILABLE,Y,N
32017,10427867,TEMPLE BETH EL,CHARLOTTE,NC,28226,5851,MECKLENBURG,37119,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,28237426,-80.787246,35.144566,JUDAIC,REFORM,1214,NOT AVAILABLE,N,N
32030,10436379,WILSON GROVE BAPTIST CHURCH,CHARLOTTE,NC,28227,3462,MECKLENBURG,37119,2007-09-19T00:00:00.000Z,ALT REF,2007-09-21T00:00:00.000Z,CHURCHES,28182173,-80.669734,35.2053846,CHRISTIAN,SBC,759,NOT AVAILABLE,Y,N
32041,10432570,HICKORY GROVE BAPTIST CHURCH,CHARLOTTE,NC,28215,4130,MECKLENBURG,37119,2007-09-24T00:00:00.000Z,ALT REF,2007-09-24T00:00:00.000Z,CHURCHES,28181267,-80.7252501,35.222357,CHRISTIAN,SBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
32042,10432571,VICTORY CHRISTIAN CENTER,CHARLOTTE,NC,28217,4339,MECKLENBURG,37119,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,28237607,-80.8840793,35.1420317,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
32043,10432574,FOREST HILL CHURCH,CHARLOTTE,NC,28210,6133,MECKLENBURG,37119,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,28238192,-80.8573806,35.1350098,CHRISTIAN,EPC,NOT AVAILABLE,NOT AVAILABLE,Y,N
32044,10432575,MECKLENBURG COMMUNITY CHURCH,CHARLOTTE,NC,28269,1164,MECKLENBURG,37119,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,127866453,-80.7994061,35.3557909,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
32077,10437742,MYERS PARK UNITED METHODIST CHURCH,CHARLOTTE,NC,28207,2503,MECKLENBURG,37119,2007-09-24T00:00:00.000Z,ALT REF,2007-09-24T00:00:00.000Z,CHURCHES,28232752,-80.8269892,35.1949391,CHRISTIAN,UMC,NOT AVAILABLE,NOT AVAILABLE,Y,N
