OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
26003,10440602,CHURCH OF THE HOLY NATIVITY,CHICAGO,IL,60620,5644,COOK,17031,2009-04-06T00:00:00.000Z,ALT REF,2009-04-06T00:00:00.000Z,CHURCHES,19827010,-87.6701366,41.7246304,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
26004,10444938,SAINT RICHARD ROMAN CATHOLIC CHURCH,CHICAGO,IL,60632,4531,COOK,17031,2009-04-09T00:00:00.000Z,ALT REF,2009-04-09T00:00:00.000Z,CHURCHES,19841867,-87.7335667,41.8018273,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26005,10444823,SAINT CLOTILDE CHURCH,CHICAGO,IL,60619,6032,COOK,17031,2009-04-09T00:00:00.000Z,ALT REF,2009-04-09T00:00:00.000Z,CHURCHES,19858403,-87.6167893,41.7415093,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26006,10576446,LOOP CHRISTIAN MINISTRIES,CHICAGO,IL,60605,7800,COOK,17031,2009-04-03T00:00:00.000Z,ALT REF,2009-04-03T00:00:00.000Z,CHURCHES,125112156,-87.6280532,41.8604156,CHRISTIAN,CRC,NOT AVAILABLE,NOT AVAILABLE,Y,N
26007,10576443,GRACE AND PEACE COMMUNITY CENTER,CHICAGO,IL,60639,4837,COOK,17031,2009-04-08T00:00:00.000Z,ALT REF,2009-04-08T00:00:00.000Z,CHURCHES,19806492,-87.735298,41.9127094,CHRISTIAN,CRC,NOT AVAILABLE,NOT AVAILABLE,Y,N
26009,10440587,GRACE EPISCOPAL CHURCH,CHICAGO,IL,60605,1839,COOK,17031,2009-04-09T00:00:00.000Z,ALT REF,2009-04-09T00:00:00.000Z,CHURCHES,19835781,-87.628876,41.8734571,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
26010,10453778,GREATER ROCK MISSIONARY BAPTIST CHURCH,CHICAGO,IL,60624,3626,COOK,17031,2009-04-06T00:00:00.000Z,ALT REF,2009-04-06T00:00:00.000Z,CHURCHES,19835923,-87.7207462,41.8719082,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
26014,10444832,BLESSED SACRAMENT CATHOLIC CHURCH,CHICAGO,IL,60623,3162,COOK,17031,2009-04-08T00:00:00.000Z,ALT REF,2009-04-08T00:00:00.000Z,CHURCHES,19837970,-87.7152983,41.8519944,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26015,10444846,GOOD SHEPHERD CATHOLIC CHURCH,CHICAGO,IL,60623,4355,COOK,17031,2009-04-08T00:00:00.000Z,ALT REF,2009-04-08T00:00:00.000Z,CHURCHES,19838960,-87.7326315,41.8407258,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26017,10444812,SAINT BEDE THE VENERABLE,CHICAGO,IL,60652,2196,COOK,17031,2009-04-09T00:00:00.000Z,ALT REF,2009-04-09T00:00:00.000Z,CHURCHES,19825075,-87.731836,41.7423443,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26019,10454409,MOUNT CARMEL MISSIONARY BAPTIST CHURCH,CHICAGO,IL,60616,3227,COOK,17031,2009-04-06T00:00:00.000Z,ALT REF,2009-04-08T00:00:00.000Z,CHURCHES,19863074,-87.6255,41.8397159,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
26020,10442340,SAINT ANN CATHOLIC CHURCH,CHICAGO,IL,60608,2548,COOK,17031,2009-04-08T00:00:00.000Z,ALT REF,2009-04-08T00:00:00.000Z,CHURCHES,19837363,-87.681277,41.8568929,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26021,10440599,MESSIAH-SAINT BARTHOLOMEW CHURCH,CHICAGO,IL,60619,4623,COOK,17031,2009-04-09T00:00:00.000Z,ALT REF,2009-04-09T00:00:00.000Z,CHURCHES,19858101,-87.5888889,41.7443111,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
26022,10444879,SAINT JULIANA CHURCH,CHICAGO,IL,60631,4352,COOK,17031,2009-04-06T00:00:00.000Z,ALT REF,2009-04-06T00:00:00.000Z,CHURCHES,19779491,-87.8108742,42.0119011,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26023,10444948,SAINT SYMPHOROSA CHURCH,CHICAGO,IL,60638,4319,COOK,17031,2009-04-06T00:00:00.000Z,ALT REF,2009-04-06T00:00:00.000Z,CHURCHES,19822946,-87.7713172,41.7800274,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26024,10442310,SAINTS PETER AND PAUL CHURCH,CHICAGO,IL,60628,7035,COOK,17031,2009-04-08T00:00:00.000Z,ALT REF,2009-04-08T00:00:00.000Z,CHURCHES,19832710,-87.6412077,41.6672975,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26026,10440591,ALL SAINTS EPISCOPAL CHURCH,CHICAGO,IL,60640,5304,COOK,17031,2009-04-06T00:00:00.000Z,ALT REF,2009-04-06T00:00:00.000Z,CHURCHES,19796619,-87.672933,41.9649936,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
