"","CITY","BUDDHIST","CHRISTIAN","HINDU","JUDAIC","MUSLIM","OTHER","TOTAL","BUD_PROP","CHR_PROP","HND_PROP","JUD_PROP","MSL_PROP","OTH_PROP","MEAN","STD_DEV","MEAN_PROPS","STD_DEV_PROPS"
"1","ABBEVILLE",0,21,0,0,0,0,21,0,1,0,0,0,0,3.5,8.57321409974112,0.166666666666667,0.408248290463863
"2","ABBOTSFORD",0,1,0,0,0,0,1,0,1,0,0,0,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"3","ABERDEEN",0,14,0,4,0,0,14,0,1,0,0.285714285714286,0,0,3,5.62138772902208,0.214285714285714,0.401527694930148
"4","ABERDEEN PROVING GROUND",0,0,0,0,1,0,1,0,0,0,0,1,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"5","ABERNATHY",0,1,0,0,0,0,1,0,1,0,0,0,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"6","ABILENE",0,38,0,1,0,0,38,0,1,0,0.0263157894736842,0,0,6.5,15.4369686143362,0.171052631578947,0.406236016166741
"7","ABINGDON",0,8,0,0,0,0,8,0,1,0,0,0,0,1.33333333333333,3.2659863237109,0.166666666666667,0.408248290463863
"8","ABINGTON",0,2,0,1,0,0,2,0,1,0,0.5,0,0,0.5,0.836660026534076,0.25,0.418330013267038
"9","ABIQUIU",0,0,0,0,1,0,1,0,0,0,0,1,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"10","ACCOKEEK",1,0,0,0,0,0,2,0.5,0,0,0,0,0,0.166666666666667,0.408248290463863,0.0833333333333333,0.204124145231932
"11","ACCOMAC",0,1,0,0,0,0,1,0,1,0,0,0,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"12","ACKERMAN",0,1,0,0,0,0,1,0,1,0,0,0,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"13","ACKLEY",0,3,0,0,0,0,3,0,1,0,0,0,0,0.5,1.22474487139159,0.166666666666667,0.408248290463863
"14","ACTON",1,2,0,1,0,0,4,0.25,0.5,0,0.25,0,0,0.666666666666667,0.816496580927726,0.166666666666667,0.204124145231932
"15","ACWORTH",0,8,0,0,0,0,8,0,1,0,0,0,0,1.33333333333333,3.2659863237109,0.166666666666667,0.408248290463863
"16","ADA",0,14,0,0,0,0,14,0,1,0,0,0,0,2.33333333333333,5.71547606649408,0.166666666666667,0.408248290463863
"17","ADAIRSVILLE",0,2,0,0,0,0,2,0,1,0,0,0,0,0.333333333333333,0.816496580927726,0.166666666666667,0.408248290463863
"18","ADAIRVILLE",0,1,0,0,0,0,1,0,1,0,0,0,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"19","ADAMS",0,1,0,0,0,0,1,0,1,0,0,0,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"20","ADAMS CENTER",0,2,0,0,0,0,2,0,1,0,0,0,0,0.333333333333333,0.816496580927726,0.166666666666667,0.408248290463863
"21","ADAMS RUN",0,3,0,0,0,0,3,0,1,0,0,0,0,0.5,1.22474487139159,0.166666666666667,0.408248290463863
"22","ADAMSVILLE",0,3,0,0,0,0,3,0,1,0,0,0,0,0.5,1.22474487139159,0.166666666666667,0.408248290463863
"23","ADDIS",0,2,0,0,0,0,2,0,1,0,0,0,0,0.333333333333333,0.816496580927726,0.166666666666667,0.408248290463863
"24","ADDISON",0,3,0,0,0,0,3,0,1,0,0,0,0,0.5,1.22474487139159,0.166666666666667,0.408248290463863
"25","ADEL",0,1,0,0,0,0,1,0,1,0,0,0,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"26","ADELANTO",0,0,0,0,1,0,1,0,0,0,0,1,0,0.166666666666667,0.408248290463863,0.166666666666667,0.408248290463863
"27","ADELPHI",0,1,2,0,0,0,3,0,0.333333333333333,0.666666666666667,0,0,0,0.5,0.836660026534076,0.166666666666667,0.278886675511358
