OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
11402,10583663,BETHEL BAPTIST CHURCH,COLUMBUS,KS,66725,1348,CHEROKEE,20021,2009-04-23T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,96101822,-94.8298671,37.1725027,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
10637,10587024,FIRST BAPTIST CHURCH,COLUMBUS,KS,66725,1116,CHEROKEE,20021,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,96101911,-94.8441584,37.1725375,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
313,10582420,SHELL CREEK BAPTIST CHURCH,COLUMBUS,NE,68601,8870,PLATTE,31141,2009-08-04T00:00:00.000Z,ALT REF,2009-07-31T00:00:00.000Z,CHURCHES,114519375,-97.3880116,41.5691713,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
374,10760076,IMMANUEL LUTHERAN CHURCH,COLUMBUS,NE,68601,5017,PLATTE,31141,2009-07-07T00:00:00.000Z,ALT REF,2009-07-07T00:00:00.000Z,CHURCHES,96754156,-97.3571251,41.430611,CHRISTIAN,LCMS,NOT AVAILABLE,NOT AVAILABLE,Y,N
375,10587858,FIRST BAPTIST CHURCH,COLUMBUS,NE,68601,1736,PLATTE,31141,2009-07-21T00:00:00.000Z,ALT REF,2009-07-21T00:00:00.000Z,CHURCHES,96750836,-97.3676024,41.4460834,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
377,10760077,PEACE LUTHERAN CHURCH,COLUMBUS,NE,68601,2418,PLATTE,31141,2009-07-21T00:00:00.000Z,ALT REF,2009-07-21T00:00:00.000Z,CHURCHES,96751274,-97.3616395,41.444191,CHRISTIAN,LCMS,NOT AVAILABLE,NOT AVAILABLE,Y,N
385,10582421,LIGHTHOUSE BIBLE BAPTIST CHURCH,COLUMBUS,NE,68601,4038,PLATTE,31141,2009-08-03T00:00:00.000Z,ALT REF,2009-08-03T00:00:00.000Z,CHURCHES,125974304,-97.3757824,41.4336615,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
15370,10441803,SAINT ANTHONY'S CATHOLIC CHURCH,COLUMBUS,TX,78934,2616,COLORADO,48089,2007-08-29T00:00:00.000Z,ALT REF,2007-08-29T00:00:00.000Z,CHURCHES,103724571,-96.5420265,29.7006305,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
18396,10435058,FAIRVIEW BAPTIST CHURCH,COLUMBUS,MS,39702,6301,LOWNDES,28087,2009-07-02T00:00:00.000Z,ALT REF,2009-07-02T00:00:00.000Z,CHURCHES,99296426,-88.3862677,33.4926378,CHRISTIAN,SBC,2556,NOT AVAILABLE,Y,N
18412,10458976,TURNER CHAPEL AFRICAN METHODIST EPISCOPAL CHURCH,COLUMBUS,MS,39701,NULL,LOWNDES,28087,2009-07-08T00:00:00.000Z,ALT REF,2009-07-08T00:00:00.000Z,CHURCHES,99297132,-88.4164093,33.4849715,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
18422,10435112,MOUNT VERNON CHURCH,COLUMBUS,MS,39702,8077,LOWNDES,28087,2009-07-02T00:00:00.000Z,ALT REF,2009-07-02T00:00:00.000Z,CHURCHES,99768382,-88.3072147,33.4893625,CHRISTIAN,SBC,951,NOT AVAILABLE,Y,N
18423,10435009,MOUNT ZION BAPTIST CHURCH,COLUMBUS,MS,39702,9648,LOWNDES,28087,2009-07-02T00:00:00.000Z,ALT REF,2009-07-02T00:00:00.000Z,CHURCHES,99302132,-88.328963,33.4411064,CHRISTIAN,SBC,829,NOT AVAILABLE,Y,N
18433,10582873,LIGHTHOUSE BAPTIST CHURCH,COLUMBUS,MS,39702,NULL,LOWNDES,28087,2009-07-06T00:00:00.000Z,ALT REF,2009-07-06T00:00:00.000Z,CHURCHES,99186946,-88.3413631,33.4922504,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
