OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
13018,11531361,SOUTHERN METHODIST UNIVERSITY - PERKINS CHAPEL,DALLAS,TX,75205,NULL,DALLAS,48113,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,721180116,-96.7861345,32.8397225,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13028,10683813,KARMA THEGSUM CHOLING,DALLAS,TX,75208,5901,DALLAS,48113,2009-03-27T00:00:00.000Z,ALT REF,2009-03-27T00:00:00.000Z,PLACES OF WORSHIP,17744441,-96.8414332,32.7427261,BUDDHIST,MAHAYANA,NOT AVAILABLE,NOT AVAILABLE,N,N
13045,11531322,UNITY CHURCH OF DALLAS,DALLAS,TX,75230,2807,DALLAS,48113,2009-05-08T00:00:00.000Z,ALT REF,2009-05-08T00:00:00.000Z,CHURCHES,25018495,-96.7939887,32.9102019,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
13055,10430189,CHABAD OF DALLAS - SHUL,DALLAS,TX,75252,5925,COLLIN,48085,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,17659820,-96.7923166,32.9884618,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13058,10452430,GREATER EL BETHEL BAPTIST CHURCH,DALLAS,TX,75203,2418,DALLAS,48113,2009-05-18T00:00:00.000Z,ALT REF,2009-05-18T00:00:00.000Z,CHURCHES,17743318,-96.807113,32.7494677,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
13060,10430253,CONGREGATION BETH EL BINAH,DALLAS,TX,75219,3403,DALLAS,48113,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,17640168,-96.8138244,32.8079301,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13066,10430198,CONGREGATION SHEARITH ISRAEL,DALLAS,TX,75225,1612,DALLAS,48113,2007-08-07T00:00:00.000Z,ALT REF,2007-08-10T00:00:00.000Z,SYNAGOGUES,17668803,-96.8087964,32.8769652,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13068,10430245,CONGREGATION OHEV SHALOM,DALLAS,TX,75252,5932,COLLIN,48085,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,126601478,-96.7845747,32.9883102,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13069,10430270,YOUNG ISRAEL OF DALLAS,DALLAS,TX,75230,1930,DALLAS,48113,2007-08-07T00:00:00.000Z,ALT REF,2007-08-07T00:00:00.000Z,SYNAGOGUES,17740457,-96.7942253,32.9193514,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13070,10430223,CONGREGATION OHR HA TORAH,DALLAS,TX,75230,1808,DALLAS,48113,2007-08-07T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,17665379,-96.7962848,32.9167375,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13074,10430258,ISRAEL OF YAHWEH ASSEMBLY HOUSE OF PRAYER FOR ALL,DALLAS,TX,75232,4110,DALLAS,48113,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,17751945,-96.8490086,32.6559633,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13075,10430278,SHAARE TEFILA CONGREGATION,DALLAS,TX,75230,1803,DALLAS,48113,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,17665400,-96.8005177,32.9172651,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13078,10430218,BARUCH HA SHEM CONGREGATION,DALLAS,TX,75254,7867,DALLAS,48113,2007-08-07T00:00:00.000Z,ALT REF,2007-08-07T00:00:00.000Z,SYNAGOGUES,17662893,-96.796584,32.9492984,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13088,10443686,CHRIST THE KING CATHOLIC CHURCH,DALLAS,TX,75225,6304,DALLAS,48113,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,17634793,-96.8050828,32.8601375,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13107,10431389,MASJID AL-ISLAM,DALLAS,TX,75215,2728,DALLAS,48113,2007-10-09T00:00:00.000Z,ALT REF,2007-10-09T00:00:00.000Z,"MOSQUES, RELIGIOUS",17645404,-96.7789122,32.7672605,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13112,10437111,COCKRELL HILL BAPTIST CHURCH,DALLAS,TX,75211,6210,DALLAS,48113,2007-11-15T00:00:00.000Z,ALT REF,2007-11-15T00:00:00.000Z,CHURCHES,17586609,-96.8911031,32.7341823,CHRISTIAN,SBC,1203,NOT AVAILABLE,Y,N
13113,10440672,SAINT ALBAN'S COLLEGIATE CHAPEL,DALLAS,TX,75205,1440,DALLAS,48113,2007-11-07T00:00:00.000Z,ALT REF,2007-11-28T00:00:00.000Z,CHURCHES,122907171,-96.785735,32.8469313,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
13130,10454579,SAINT JOHN MISSIONARY BAPTIST CHURCH,DALLAS,TX,75216,3021,DALLAS,48113,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,129381789,-96.8127331,32.7162883,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
13132,10759978,KING OF GLORY LUTHERAN CHURCH,DALLAS,TX,75240,6406,DALLAS,48113,2009-05-12T00:00:00.000Z,ALT REF,2009-05-12T00:00:00.000Z,CHURCHES,17664553,-96.794748,32.9260979,CHRISTIAN,ELCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
13134,10443690,OUR LADY OF SAN JUAN DE LOS LAGOS AND SANTA THERESA CHURCH,DALLAS,TX,75212,3742,DALLAS,48113,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,18332911,-96.8641208,32.7792053,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13136,10441956,SANTA CLARA OF ASSISI CATHOLIC CHURCH,DALLAS,TX,75211,3547,DALLAS,48113,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,17583456,-96.8974641,32.7439796,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13142,10430215,TEMPLE EMANU-EL,DALLAS,TX,75225,4204,DALLAS,48113,2009-05-08T00:00:00.000Z,ALT REF,2009-05-08T00:00:00.000Z,SYNAGOGUES,17634097,-96.7853326,32.8680014,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13144,10445820,SAINT RITA CATHOLIC CHURCH,DALLAS,TX,75244,6909,DALLAS,48113,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,17665134,-96.8197763,32.919224,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13148,10589509,TRUE VINE OF HOLINESS MISSIONARY BAPTIST CHURCH,DALLAS,TX,75241,3407,DALLAS,48113,2009-05-15T00:00:00.000Z,ALT REF,2009-05-15T00:00:00.000Z,CHURCHES,17751287,-96.8208596,32.6664406,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
13151,10762431,FIRST PRESBYTERIAN CHURCH OF DALLAS,DALLAS,TX,75201,5610,DALLAS,48113,2009-05-15T00:00:00.000Z,ALT REF,2009-05-15T00:00:00.000Z,CHURCHES,17643839,-96.7935835,32.7793737,CHRISTIAN,PCUSA,1582,NOT AVAILABLE,Y,N
13153,10441789,SAINT ANDREW KIM CATHOLIC CHURCH,DALLAS,TX,75204,5924,DALLAS,48113,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,17642615,-96.7868588,32.7874734,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13154,10678046,BOCHASANWASI SHRI AKSHAR PURUSHOTTAM SWAMINARAYAN TEMPLE,DALLAS,TX,75229,2525,DALLAS,48113,2009-05-08T00:00:00.000Z,ALT REF,2009-05-08T00:00:00.000Z,"TEMPLES, RELIGIOUS",17666520,-96.8728892,32.9036076,HINDU,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13156,10448389,NEUHOFF CATHOLIC STUDENT COMMUNITY CENTER,DALLAS,TX,75205,1944,DALLAS,48113,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,719873187,-96.7814313,32.8453751,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13157,10581120,MARSH LANE BAPTIST CHURCH,DALLAS,TX,75229,5145,DALLAS,48113,2009-05-11T00:00:00.000Z,ALT REF,2009-05-11T00:00:00.000Z,CHURCHES,724130651,-96.8555992,32.8941448,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
