OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
8185,10445835,HOLY FAMILY CATHOLIC CHURCH,DENVER,CO,80212,2435,DENVER,8031,2008-11-19T00:00:00.000Z,ALT REF,2008-11-19T00:00:00.000Z,CHURCHES,20742413,-105.0448639,39.7763039,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
8202,10428049,TEMPLE SINAI,DENVER,CO,80237,1018,DENVER,8031,2007-07-20T00:00:00.000Z,PHONE,2007-07-20T00:00:00.000Z,SYNAGOGUES,20718164,-104.9264519,39.6527387,JUDAIC,REFORM,1116,NOT AVAILABLE,N,N
8205,10430308,ISLAMIC CENTER OF AHL-UL-BAIT,DENVER,CO,80219,1935,DENVER,8031,2007-07-17T00:00:00.000Z,PHONE,2007-07-17T00:00:00.000Z,"MOSQUES, RELIGIOUS",20725208,-105.0352737,39.7130289,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
8214,10427719,CONGREGATION EMANUEL,DENVER,CO,80220,5804,DENVER,8031,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,20712522,-104.9256051,39.7170363,JUDAIC,REFORM,1970,NOT AVAILABLE,N,N
8230,10445757,GUARDIAN ANGELS CHURCH,DENVER,CO,80221,1701,ADAMS,8001,2008-11-17T00:00:00.000Z,ALT REF,2008-11-17T00:00:00.000Z,CHURCHES,20748821,-105.0088613,39.7914138,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
8231,10584552,NORTH FEDERAL BAPTIST CHURCH,DENVER,CO,80221,2102,ADAMS,8001,2008-11-17T00:00:00.000Z,ALT REF,2008-11-17T00:00:00.000Z,CHURCHES,129590552,-105.0263974,39.8143128,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
8232,10448784,OUR LADY OF VISITATION,DENVER,CO,80221,2201,ADAMS,8001,2008-11-17T00:00:00.000Z,ALT REF,2008-11-17T00:00:00.000Z,CHURCHES,20744955,-105.0181004,39.8159755,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
8241,10430665,COLORADO MUSLIM SOCIETY,DENVER,CO,80231,3460,ARAPAHOE,8005,2008-11-17T00:00:00.000Z,ALT REF,2008-11-17T00:00:00.000Z,"MOSQUES, RELIGIOUS",20764929,-104.8769034,39.6789092,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
8246,10445754,OUR LADY OF THE ASSUMPTION CHURCH,DENVER,CO,80229,6102,ADAMS,8001,2008-11-17T00:00:00.000Z,ALT REF,2008-11-17T00:00:00.000Z,CHURCHES,20734854,-104.9580221,39.8384199,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
8299,10432246,HERITAGE CHRISTIAN CENTER,DENVER,CO,80247,3080,ARAPAHOE,8005,2007-09-10T00:00:00.000Z,ALT REF,2007-09-10T00:00:00.000Z,CHURCHES,20710710,-104.8787402,39.6906126,CHRISTIAN,NONDENOM,NOT AVAILABLE,NOT AVAILABLE,Y,N
