OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
27412,10454866,MESSIAH BAPTIST CHURCH,DETROIT,MI,48221,2106,WAYNE,26163,2008-03-05T00:00:00.000Z,ALT REF,2008-03-05T00:00:00.000Z,CHURCHES,19565759,-83.1523609,42.431701,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
27414,10452586,NEW LIGHT BAPTIST,DETROIT,MI,48204,4500,WAYNE,26163,2008-03-05T00:00:00.000Z,ALT REF,2008-03-05T00:00:00.000Z,CHURCHES,19583957,-83.1338558,42.3674725,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
27433,10431935,PERFECTING CHURCH,DETROIT,MI,48234,3284,WAYNE,26163,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,20138686,-83.0251066,42.4264658,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
27435,10432537,GREATER GRACE TEMPLE CITY OF DAVID,DETROIT,MI,48219,1722,WAYNE,26163,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,19556809,-83.2710291,42.4296609,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
27436,10432539,STRAIGHT GATE INTERNATIONAL CHURCH,DETROIT,MI,48204,2042,WAYNE,26163,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,19590655,-83.1421707,42.3705893,CHRISTIAN,NONDENOM,NOT AVAILABLE,NOT AVAILABLE,Y,N
27437,10432542,NEW SAINT PAUL TABERNACLE CHURCH OF GOD IN CHRIST,DETROIT,MI,48223,1359,WAYNE,26163,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,19569260,-83.2175383,42.4020461,CHRISTIAN,COGIC,NOT AVAILABLE,NOT AVAILABLE,Y,N
27442,10457545,EBENEZER AFRICAN METHODIST EPISCOPAL CHURCH,DETROIT,MI,48204,1722,WAYNE,26163,2008-03-04T00:00:00.000Z,ALT REF,2008-03-10T00:00:00.000Z,CHURCHES,19583989,-83.1317422,42.3674294,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
27458,10440307,EMMANUEL EPISCOPAL CHURCH,DETROIT,MI,48203,2014,WAYNE,26163,2007-11-07T00:00:00.000Z,ALT REF,2007-11-07T00:00:00.000Z,CHURCHES,19529443,-83.1017919,42.4271415,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
27460,10440348,SAINT MARTIN'S EPISCOPAL CHURCH,DETROIT,MI,48219,3006,WAYNE,26163,2007-11-07T00:00:00.000Z,ALT REF,2007-11-07T00:00:00.000Z,CHURCHES,108259455,-83.2860684,42.4269883,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
27462,10440944,SAINT PHILIP'S AND SAINT STEPHEN'S EPISCOPAL CHURCH,DETROIT,MI,48213,3755,WAYNE,26163,2007-11-07T00:00:00.000Z,ALT REF,2007-11-26T00:00:00.000Z,CHURCHES,19714310,-82.9616145,42.3967335,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
27463,10440945,ALL SAINTS' EPISCOPAL CHURCH,DETROIT,MI,48221,2218,WAYNE,26163,2007-11-07T00:00:00.000Z,ALT REF,2007-11-07T00:00:00.000Z,CHURCHES,19565708,-83.1383213,42.4313023,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
27464,10440946,SAINT TIMOTHY'S EPISCOPAL CHURCH,DETROIT,MI,48238,1137,WAYNE,26163,2007-11-07T00:00:00.000Z,ALT REF,2007-11-07T00:00:00.000Z,CHURCHES,19568342,-83.159601,42.4081454,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
27465,10440947,SAINT CHRISTOPHER / SAINT PAUL EPISCOPAL CHURCH,DETROIT,MI,48219,3973,WAYNE,26163,2007-11-07T00:00:00.000Z,ALT REF,2007-11-07T00:00:00.000Z,CHURCHES,19567669,-83.246608,42.4153906,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
27466,10440949,GRACE EPISCOPAL CHURCH,DETROIT,MI,48206,2422,WAYNE,26163,2007-11-07T00:00:00.000Z,ALT REF,2007-11-07T00:00:00.000Z,CHURCHES,19548126,-83.0957012,42.3699361,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
27472,10442629,SAINT GERARD,DETROIT,MI,48219,2145,WAYNE,26163,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,19565171,-83.2384158,42.4370936,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27475,10442844,SAINT MATTHEW PARISH,DETROIT,MI,48224,2694,WAYNE,26163,2007-09-04T00:00:00.000Z,ALT REF,2007-09-04T00:00:00.000Z,CHURCHES,20164272,-82.9424811,42.4119288,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27476,10443155,TRANSFIGURATION CHURCH,DETROIT,MI,48212,2412,WAYNE,26163,2007-09-06T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,19530080,-83.0443355,42.4144594,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27493,10445849,SAINT RITA PARISH,DETROIT,MI,48203,1216,WAYNE,26163,2007-09-04T00:00:00.000Z,ALT REF,2007-09-04T00:00:00.000Z,CHURCHES,19533302,-83.0930907,42.439486,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27494,10447372,SAINT ANTHONY PARISH,DETROIT,MI,48213,2868,WAYNE,26163,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,19531933,-83.0183495,42.3760563,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27495,10447380,CHRIST THE KING PARISH,DETROIT,MI,48219,3938,WAYNE,26163,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,19567969,-83.2470923,42.4130126,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27496,10447383,SAINT ELIZABETH PARISH,DETROIT,MI,48207,1509,WAYNE,26163,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,19548368,-83.0324693,42.3633074,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27497,10447385,SAINT FRANCIS DE SALES PARISH,DETROIT,MI,48238,1606,WAYNE,26163,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,19569103,-83.1670761,42.40268,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27498,10447389,SAINT GREGORY THE GREAT PARISH,DETROIT,MI,48238,2124,WAYNE,26163,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,19569240,-83.1362172,42.4009283,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27499,10447394,SAINT HYACINTH ROMAN CATHOLIC CHURCH,DETROIT,MI,48211,2925,WAYNE,26163,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,19550903,-83.0364999,42.3693943,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27500,10447396,SAINT JOHN BERCHMANS - SAINT JULIANA PARISH,DETROIT,MI,48213,1910,WAYNE,26163,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,19538912,-82.9694357,42.4113106,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27501,10447400,SAINT JUDE CHURCH,DETROIT,MI,48205,2545,WAYNE,26163,2007-09-04T00:00:00.000Z,ALT REF,2007-09-04T00:00:00.000Z,CHURCHES,19539487,-82.9563889,42.436118,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
27502,10447402,SAINT LOUIS THE KING CHURCH,DETROIT,MI,48234,2718,WAYNE,26163,2007-09-04T00:00:00.000Z,ALT REF,2007-09-04T00:00:00.000Z,CHURCHES,19529037,-83.0409492,42.4332934,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
