OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
7693,10446750,SAINTS PETER AND PAUL CATHOLIC CHURCH,EL PASO,TX,79927,5049,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84874771,-106.2845198,31.6742754,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7694,10442221,OUR LADY OF THE LIGHT CHURCH,EL PASO,TX,79905,5013,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,112226872,-106.434152,31.7607633,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7695,10435570,DEL SOL CHURCH,EL PASO,TX,79936,5629,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,122764147,-106.3007011,31.7519664,CHRISTIAN,SBC,999,NOT AVAILABLE,Y,N
7697,10445843,SAINT LUKE CATHOLIC CHURCH,EL PASO,TX,79912,7358,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,122767127,-106.5481207,31.8632733,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7700,10446736,CHRIST THE SAVIOR CHURCH,EL PASO,TX,79924,1837,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,122765658,-106.4174899,31.9213793,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7701,10431263,ISLAMIC CENTER OF EL PASO,EL PASO,TX,79912,6257,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,"MOSQUES, RELIGIOUS",88736287,-106.5116432,31.8186902,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
7703,10437007,EL PASO'S EXCITING IMMANUEL,EL PASO,TX,79925,4941,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,112254141,-106.3747973,31.7767605,CHRISTIAN,SBC,900,NOT AVAILABLE,Y,N
7705,10435607,CORONADO BAPTIST CHURCH,EL PASO,TX,79912,3314,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84850319,-106.5266737,31.8390966,CHRISTIAN,SBC,917,NOT AVAILABLE,Y,N
7706,10446738,GUARDIAN ANGEL CHURCH,EL PASO,TX,79905,1111,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84860266,-106.4586307,31.7747739,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7766,10436399,MOUNTAIN VIEW BAPTIST CHURCH,EL PASO,TX,79924,7006,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,122769556,-106.4241676,31.8703888,CHRISTIAN,SBC,2440,NOT AVAILABLE,Y,N
7780,10446753,SAN JUAN BATISTA CHURCH,EL PASO,TX,79905,1722,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,88736713,-106.4209509,31.7747341,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7782,10446754,SAN JUDAS TADEO CHURCH,EL PASO,TX,79922,1341,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84852433,-106.5597556,31.8193541,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7785,10580398,HILLCREST BAPTIST CHURCH,EL PASO,TX,79904,3321,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84848548,-106.4324905,31.8545954,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
7796,10576826,SUNSHINE COMMUNITY CHURCH,EL PASO,TX,79936,722,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,112245176,-106.2903403,31.7677211,CHRISTIAN,CRC,NOT AVAILABLE,NOT AVAILABLE,Y,N
7797,10446747,SAINT PAUL CATHOLIC CHURCH,EL PASO,TX,79915,4349,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,122768098,-106.3790277,31.7362495,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7798,10577456,VICTORY BAPTIST CHURCH,EL PASO,TX,79938,9545,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,122772156,-106.1774435,31.8196977,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
7802,10432845,ABUNDANT LIVING FAITH CENTER,EL PASO,TX,79907,3103,EL PASO,48141,2007-09-10T00:00:00.000Z,ALT REF,2007-09-10T00:00:00.000Z,CHURCHES,84870303,-106.31155,31.7154879,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
7803,10432846,IGLESIA PUERTA DEL CIELO,EL PASO,TX,79907,3457,EL PASO,48141,2007-09-10T00:00:00.000Z,ALT REF,2007-09-10T00:00:00.000Z,CHURCHES,97656242,-106.2988437,31.6990941,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
7815,10442552,SAINT JOSEPH'S CHURCH,EL PASO,TX,79903,2817,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,84857043,-106.4483031,31.7870648,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7816,10442650,BLESSED SACRAMENT CATHOLIC CHURCH,EL PASO,TX,79904,1524,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84846935,-106.4236651,31.8686324,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7834,10437745,SAINT MARK'S UNITED METHODIST CHURCH,EL PASO,TX,79922,1725,EL PASO,48141,2007-09-24T00:00:00.000Z,ALT REF,2007-09-26T00:00:00.000Z,CHURCHES,84850062,-106.585945,31.8404184,CHRISTIAN,UMC,NOT AVAILABLE,NOT AVAILABLE,Y,N
7839,10446742,OUR LADY OF SORROWS CHURCH (HISPANIC),EL PASO,TX,79915,2932,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84868786,-106.3638167,31.7373032,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7874,10445791,SANTA LUCIA CATHOLIC CHURCH,EL PASO,TX,79915,3105,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84868380,-106.3518733,31.7370058,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7887,10580056,SUN VALLEY BAPTIST TEMPLE,EL PASO,TX,79924,5017,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,84844926,-106.4070917,31.8949715,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
7888,10441260,CHURCH OF SAINT CLEMENT,EL PASO,TX,79902,5203,EL PASO,48141,2007-11-08T00:00:00.000Z,ALT REF,2007-11-08T00:00:00.000Z,CHURCHES,84862760,-106.4885326,31.7654533,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
7889,10446745,SAINT IGNATIUS CHURCH,EL PASO,TX,79901,3142,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,84864968,-106.4754441,31.7575292,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7890,10446752,SAN JOSE CATHOLIC CHURCH,EL PASO,TX,79907,4104,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84869759,-106.3510088,31.7222503,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7891,10441261,SAINT ALBAN'S EPISCOPAL CHURCH,EL PASO,TX,79930,3110,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,84855995,-106.462034,31.7919649,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
7893,10441801,SAINT RAPHAEL PARISH,EL PASO,TX,79925,6310,EL PASO,48141,2007-08-30T00:00:00.000Z,ALT REF,2007-08-30T00:00:00.000Z,CHURCHES,84860694,-106.3435767,31.7742123,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7895,10441881,HOLY SPIRIT OF HOPE CATHOLIC CHARISMATIC CHURCH OF,EL PASO,TX,79915,3919,EL PASO,48141,2007-08-30T00:00:00.000Z,ALT REF,2007-08-30T00:00:00.000Z,CHURCHES,87772274,-106.3649762,31.7312643,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7897,10441933,CRISTO REY CATHOLIC CHURCH,EL PASO,TX,79907,2235,EL PASO,48141,2007-08-30T00:00:00.000Z,ALT REF,2007-08-30T00:00:00.000Z,CHURCHES,84868003,-106.3406372,31.739621,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7898,10441951,IGLESIA MISIONERA NUESTRA SENORA DE GUADALUPE HOLY,EL PASO,TX,79930,5515,EL PASO,48141,2007-08-30T00:00:00.000Z,ALT REF,2007-08-30T00:00:00.000Z,CHURCHES,84853828,-106.4520608,31.8071797,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7899,10441954,SAINT PATRICK CATHEDRAL,EL PASO,TX,79902,4010,EL PASO,48141,2007-08-30T00:00:00.000Z,ALT REF,2007-08-30T00:00:00.000Z,CHURCHES,39061130,-106.4929484,31.7658104,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7900,10441977,HOLY FAMILY - SAINT ANTHONY OF THE DESERT MARONITE CATHOLIC MISSION,EL PASO,TX,79902,3719,EL PASO,48141,2007-09-06T00:00:00.000Z,ALT REF,2007-09-07T00:00:00.000Z,CHURCHES,84864072,-106.5002485,31.760132,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7902,10441996,SAINT MATTHEW CATHOLIC PARISH,EL PASO,TX,79922,1714,EL PASO,48141,2007-08-30T00:00:00.000Z,ALT REF,2007-08-30T00:00:00.000Z,CHURCHES,84850822,-106.5828461,31.8310302,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7905,10442432,SAINT FRANCES XAVIER CABRINI PARISH,EL PASO,TX,79936,7110,EL PASO,48141,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,102004891,-106.274965,31.7385355,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7906,10442834,SANTO NINO DE ATOCHA,EL PASO,TX,79905,4710,EL PASO,48141,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,84863747,-106.4137841,31.7630883,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7907,10443395,OUR LADY OF THE VALLEY PARISH,EL PASO,TX,79907,5322,EL PASO,48141,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,84871605,-106.3369602,31.7037532,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7908,10443396,QUEEN OF PEACE CHURCH,EL PASO,TX,79912,2650,EL PASO,48141,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,122767003,-106.5237997,31.8560169,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7912,10444980,SAINT THERESE OF THE LITTLE FLOWER,EL PASO,TX,79915,3530,EL PASO,48141,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,122768123,-106.3913237,31.7453996,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7913,10579481,COLINA ALTA BAPTIST CHURCH,EL PASO,TX,79904,3443,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84848793,-106.42842,31.8530824,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
7914,10446735,BLESSED JUAN DIEGO PARISH,EL PASO,TX,79938,7203,EL PASO,48141,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,112240604,-106.1764773,31.8179089,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7915,10446737,CORPUS CHRISTI PARISH,EL PASO,TX,79907,4826,EL PASO,48141,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,87772255,-106.3119832,31.697491,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7917,10446741,OUR LADY OF ASSUMPTION PARISH,EL PASO,TX,79930,5004,EL PASO,48141,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,84852532,-106.452514,31.8194194,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7918,10446748,SAINT STEPHEN CHURCH,EL PASO,TX,79936,4909,EL PASO,48141,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,112245466,-106.3007802,31.7574344,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7919,10446751,SAN ANTONIO DE PADUA,EL PASO,TX,79915,1911,EL PASO,48141,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,84867181,-106.3671397,31.7475561,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7921,10448442,OUR LADY OF MOUNT CARMEL CHURCH,EL PASO,TX,79907,6523,EL PASO,48141,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,87773707,-106.3275921,31.6910156,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7924,10430256,KOL HA RUACH MESSIANIC SYNAGOGUE INCORPORATED,EL PASO,TX,79912,5108,EL PASO,48141,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,84852071,-106.5376163,31.822833,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
7929,10576238,RIVERS EDGE CHURCH,EL PASO,TX,79938,4484,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,122764337,-106.2577173,31.7938585,CHRISTIAN,CRC,NOT AVAILABLE,NOT AVAILABLE,Y,N
7934,10461316,LAS TIERRAS COMMUNITY CHURCH,EL PASO,TX,79938,4775,EL PASO,48141,2008-03-07T00:00:00.000Z,ALT REF,2008-03-10T00:00:00.000Z,CHURCHES,122764844,-106.260801,31.7846283,CHRISTIAN,PCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
7935,10579134,VALLEY BAPTIST CHURCH OF EL PASO,EL PASO,TX,79915,1814,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,39067659,-106.3484784,31.7531502,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
7936,10434212,GRANDVIEW BAPTIST CHURCH,EL PASO,TX,79930,4631,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84854225,-106.4543786,31.8043278,CHRISTIAN,SBC,2126,NOT AVAILABLE,Y,N
7937,10684007,BORDER ZEN CENTER,EL PASO,TX,79930,4905,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,PLACES OF WORSHIP,84852906,-106.4525065,31.8162581,BUDDHIST,"MAHAYANA, ZEN, SANBO KYODAN",NOT AVAILABLE,NOT AVAILABLE,N,N
7940,10446744,SAINT FRANCIS XAVIER CHURCH,EL PASO,TX,79905,3720,EL PASO,48141,2009-05-14T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,122772664,-106.4485016,31.7690588,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7941,10441262,ALL SAINTS' EPISCOPAL CHURCH,EL PASO,TX,79925,2807,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,112247600,-106.3556023,31.7931938,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
7942,10446734,ALL SAINTS CHURCH,EL PASO,TX,79930,1303,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,84856731,-106.4692588,31.788465,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7943,10446740,MOST HOLY TRINITY CHURCH,EL PASO,TX,79924,4265,EL PASO,48141,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,112249439,-106.4058607,31.9007171,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
