OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
13023,10442501,SAINT PATRICK CATHEDRAL,FORT WORTH,TX,76102,6308,TARRANT,48439,2009-05-29T00:00:00.000Z,ALT REF,2009-05-29T00:00:00.000Z,CHURCHES,17710074,-97.3299935,32.7492342,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13024,10578781,BAPTIST TEMPLE,FORT WORTH,TX,76133,1106,TARRANT,48439,2009-05-28T00:00:00.000Z,ALT REF,2009-05-28T00:00:00.000Z,CHURCHES,17601320,-97.3643481,32.6851821,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
13040,10684930,QUANG CHIEU ZEN MONASTERY,FORT WORTH,TX,76140,9673,TARRANT,48439,2009-07-29T00:00:00.000Z,ALT REF,2009-07-29T00:00:00.000Z,MONASTERIES (EXCEPT SCHOOLS),17657554,-97.248612,32.5890966,BUDDHIST,"MAHAYANA, VIETNAMESE - ZEN MONASTERY",NOT AVAILABLE,NOT AVAILABLE,N,N
13047,10578774,CALVARY BAPTIST CHURCH,FORT WORTH,TX,76120,2325,TARRANT,48439,2009-05-29T00:00:00.000Z,ALT REF,2009-05-29T00:00:00.000Z,CHURCHES,17579846,-97.1994777,32.7701977,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
13050,10430077,CONGREGATION AHAVATH SHOLOM,FORT WORTH,TX,76109,4629,TARRANT,48439,2007-08-07T00:00:00.000Z,ALT REF,2007-08-07T00:00:00.000Z,SYNAGOGUES,25008760,-97.3935776,32.6882325,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13082,10579956,CORNERSTONE BAPTIST CHURCH,FORT WORTH,TX,76137,1237,TARRANT,48439,2009-05-29T00:00:00.000Z,ALT REF,2009-05-29T00:00:00.000Z,CHURCHES,736216101,-97.2907765,32.8848017,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
13083,10581097,ALLIANCE BAPTIST CHURCH,FORT WORTH,TX,76137,5731,TARRANT,48439,2009-05-28T00:00:00.000Z,ALT REF,2009-06-19T00:00:00.000Z,CHURCHES,709180495,-97.2715559,32.8924589,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
13085,10454495,CORINTH BAPTIST CHURCH,FORT WORTH,TX,76111,1141,TARRANT,48439,2009-05-29T00:00:00.000Z,ALT REF,2009-05-29T00:00:00.000Z,CHURCHES,17763544,-97.3074672,32.7589521,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
13294,10762741,ARLINGTON HEIGHTS UNITED METHODIST CHURCH,FORT WORTH,TX,76107,3929,TARRANT,48439,2009-05-28T00:00:00.000Z,ALT REF,2009-05-28T00:00:00.000Z,CHURCHES,17583685,-97.3805571,32.7437978,CHRISTIAN,UMC,NOT AVAILABLE,NOT AVAILABLE,Y,N
13455,10447006,SAINT JOHN THE APOSTLE CATHOLIC CHURCH,FORT WORTH,TX,76180,8323,TARRANT,48439,2009-07-30T00:00:00.000Z,ALT REF,2009-07-30T00:00:00.000Z,CHURCHES,17577701,-97.2196378,32.8242503,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13456,10431274,ISLAMIC ASSOCIATION OF FORT WORTH,FORT WORTH,TX,76106,1941,TARRANT,48439,2009-07-29T00:00:00.000Z,ALT REF,2009-07-29T00:00:00.000Z,"MOSQUES, RELIGIOUS",17649910,-97.3437892,32.8395598,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
13461,10447008,SAINT PAUL THE APOSTLE CATHOLIC CHURCH,FORT WORTH,TX,76114,2856,TARRANT,48439,2009-07-30T00:00:00.000Z,ALT REF,2009-07-30T00:00:00.000Z,CHURCHES,17558020,-97.4037828,32.7742819,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
13464,10443418,HOLY NAME OF JESUS CATHOLIC CHURCH,FORT WORTH,TX,76105,2105,TARRANT,48439,2009-07-24T00:00:00.000Z,ALT REF,2009-07-24T00:00:00.000Z,CHURCHES,17647572,-97.2890606,32.7250743,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
