OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
15089,10430273,KEHILAT DVAR HASHEM,HOUSTON,TX,77099,3535,HARRIS,48201,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,17851176,-95.5627777,29.6603154,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
15090,10456209,EAST ORANGE AFRICAN METHODIST EPISCOPAL CHURCH,HOUSTON,TX,77020,4334,HARRIS,48201,2008-03-11T00:00:00.000Z,ALT REF,2008-03-11T00:00:00.000Z,CHURCHES,17924498,-95.3260128,29.774436,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
15091,10448495,CHRIST THE INCARNATE WORD CATHOLIC CHURCH,HOUSTON,TX,77072,4055,HARRIS,48201,2007-09-06T00:00:00.000Z,ALT REF,2007-09-06T00:00:00.000Z,CHURCHES,129368547,-95.5871013,29.6860651,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
15092,10441978,CO-CATHEDRAL OF THE SACRED HEART,HOUSTON,TX,77002,8106,HARRIS,48201,2009-09-08T00:00:00.000Z,ALT REF,2009-09-08T00:00:00.000Z,CHURCHES,17878410,-95.3686837,29.7498527,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
15093,10440200,SANTA CRUZ EPISCOPAL CHURCH,HOUSTON,TX,77012,2048,HARRIS,48201,2007-11-09T00:00:00.000Z,ALT REF,2007-11-09T00:00:00.000Z,CHURCHES,17880105,-95.2800574,29.720128,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
15095,10431660,SOUTHEAST ZONE MASJID,HOUSTON,TX,77034,3921,HARRIS,48201,2007-10-09T00:00:00.000Z,ALT REF,2007-10-09T00:00:00.000Z,"MOSQUES, RELIGIOUS",135356144,-95.2077967,29.6318943,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
15096,10431479,AL-NOOR MASJID,HOUSTON,TX,77081,1105,HARRIS,48201,2007-10-09T00:00:00.000Z,ALT REF,2007-10-09T00:00:00.000Z,"MOSQUES, RELIGIOUS",17860654,-95.4944352,29.7177865,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
15097,10438322,MEMORIAL CHURCH OF CHRIST,HOUSTON,TX,77024,2737,HARRIS,48201,2007-10-10T00:00:00.000Z,ALT REF,2007-10-10T00:00:00.000Z,CHURCHES,126612929,-95.5206354,29.7801223,CHRISTIAN,COC,800,NOT AVAILABLE,Y,N
15098,10439941,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MISSOURI CITY (SPANISH) WARD,HOUSTON,TX,77074,5202,HARRIS,48201,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,27796698,-95.5199623,29.681883,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
15099,10443724,SAINT CHARLES BORROMEO CATHOLIC CHURCH,HOUSTON,TX,77022,2121,HARRIS,48201,2007-09-05T00:00:00.000Z,ALT REF,2007-09-05T00:00:00.000Z,CHURCHES,17920473,-95.3696725,29.8463577,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
15101,10581044,BERRY ROAD BAPTIST CHURCH,HOUSTON,TX,77022,3309,HARRIS,48201,2009-05-28T00:00:00.000Z,ALT REF,2009-05-28T00:00:00.000Z,CHURCHES,17920527,-95.3629371,29.8378874,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
15102,10441454,CHURCH OF THE REDEEMER - EPISCOPAL,HOUSTON,TX,77023,1836,HARRIS,48201,2007-11-28T00:00:00.000Z,ALT REF,2007-11-09T00:00:00.000Z,CHURCHES,17878925,-95.3341884,29.7398095,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
15103,10437982,THE FOUNDRY - A UNITED METHODIST CONGREGATION,HOUSTON,TX,77065,4608,HARRIS,48201,2007-09-24T00:00:00.000Z,ALT REF,2007-09-24T00:00:00.000Z,CHURCHES,17932983,-95.5828811,29.8957113,CHRISTIAN,UMC,NOT AVAILABLE,NOT AVAILABLE,Y,N
15106,10431938,GREATER SAINT MATTHEW CHURCH - SOUTHEAST CAMPUS,HOUSTON,TX,77033,2821,HARRIS,48201,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,17876627,-95.3453963,29.6734028,CHRISTIAN,SBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
15107,10432483,HIGHER DIMENSION CHURCH,HOUSTON,TX,77036,7702,HARRIS,48201,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,17856633,-95.5487759,29.6812549,CHRISTIAN,NONDENOM,NOT AVAILABLE,NOT AVAILABLE,Y,N
15108,10432484,HOUSTON'S FIRST BAPTIST CHURCH,HOUSTON,TX,77024,2101,HARRIS,48201,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,17905015,-95.4598714,29.7824525,CHRISTIAN,SBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
15109,10432485,SAINT AGNES CHURCH,HOUSTON,TX,77047,1020,HARRIS,48201,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,17877853,-95.3693906,29.6421269,CHRISTIAN,SBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
15110,10432486,GRACE COMMUNITY CHURCH - SOUTH CAMPUS,HOUSTON,TX,77034,5360,HARRIS,48201,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,126612626,-95.1900466,29.5941608,CHRISTIAN,NONDENOM,NOT AVAILABLE,NOT AVAILABLE,Y,N
15111,10432489,THE FOUNTAIN OF PRAISE,HOUSTON,TX,77085,1396,HARRIS,48201,2007-09-13T00:00:00.000Z,ALT REF,2007-09-13T00:00:00.000Z,CHURCHES,17952457,-95.495832,29.6224217,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
15112,10432492,CHAPELWOOD UNITED METHODIST CHURCH,HOUSTON,TX,77024,6729,HARRIS,48201,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,17911421,-95.5114322,29.7631886,CHRISTIAN,UMC,NOT AVAILABLE,NOT AVAILABLE,Y,N
15113,10432493,SECOND BAPTIST CHURCH - WOODWAY CAMPUS,HOUSTON,TX,77057,1606,HARRIS,48201,2007-09-10T00:00:00.000Z,ALT REF,2007-09-10T00:00:00.000Z,CHURCHES,126612438,-95.4986514,29.757599,CHRISTIAN,SBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
15114,10432496,SAINT LUKE'S UNITED METHODIST CHURCH,HOUSTON,TX,77027,5334,HARRIS,48201,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,126611194,-95.4324011,29.7412642,CHRISTIAN,UMC,NOT AVAILABLE,NOT AVAILABLE,Y,N
15115,10432497,GETHSEMANE MISSIONARY BAPTIST CHURCH,HOUSTON,TX,77029,4012,HARRIS,48201,2007-09-10T00:00:00.000Z,ALT REF,2007-09-10T00:00:00.000Z,CHURCHES,17918059,-95.2662462,29.7589501,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
