OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
26504,10433128,COLLEGE PARK CHURCH,INDIANAPOLIS,IN,46268,2901,HAMILTON,18057,2007-09-11T00:00:00.000Z,ALT REF,2007-09-11T00:00:00.000Z,CHURCHES,19498992,-86.2045843,39.9278355,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
26779,10442315,SAINT SIMON THE APOSTLE CATHOLIC CHURCH,INDIANAPOLIS,IN,46236,8578,MARION,18097,2009-03-31T00:00:00.000Z,ALT REF,2009-03-31T00:00:00.000Z,CHURCHES,125157346,-85.9555708,39.9046366,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
26787,10431983,EAST 91ST STREET CHRISTIAN CHURCH,INDIANAPOLIS,IN,46250,1304,MARION,18097,2009-04-03T00:00:00.000Z,ALT REF,2009-04-03T00:00:00.000Z,CHURCHES,19499888,-86.0636394,39.918263,CHRISTIAN,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,Y,N
26788,10433129,SAINT LUKES UNITED METHODIST CHURCH,INDIANAPOLIS,IN,46260,2316,MARION,18097,2009-04-03T00:00:00.000Z,ALT REF,2009-04-03T00:00:00.000Z,CHURCHES,19500529,-86.1610852,39.9132335,CHRISTIAN,UMC,NOT AVAILABLE,NOT AVAILABLE,Y,N
26793,10460649,GRACE PRESBYTERIAN CHURCH,INDIANAPOLIS,IN,46250,1702,MARION,18097,2009-04-02T00:00:00.000Z,ALT REF,2009-04-02T00:00:00.000Z,CHURCHES,125158645,-86.0829121,39.8981811,CHRISTIAN,PCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
26797,10760179,HOLY CROSS LUTHERAN CHURCH,INDIANAPOLIS,IN,46236,8578,MARION,18097,2009-04-03T00:00:00.000Z,ALT REF,2009-04-03T00:00:00.000Z,CHURCHES,125157343,-85.9560888,39.9035081,CHRISTIAN,LCMS,NOT AVAILABLE,NOT AVAILABLE,Y,N
26818,10586804,FIRST BAPTIST CHURCH OF INDIANAPOLIS,INDIANAPOLIS,IN,46240,1536,MARION,18097,2009-04-02T00:00:00.000Z,ALT REF,2009-04-02T00:00:00.000Z,CHURCHES,19500486,-86.146393,39.9132329,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
26867,10583793,FIRST BAPTIST CHURCH,INDIANAPOLIS,IN,46290,1021,HAMILTON,18057,2009-04-15T00:00:00.000Z,ALT REF,2009-04-15T00:00:00.000Z,CHURCHES,111814604,-86.1565845,39.9346411,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
26877,10762300,ORCHARD PARK PRESBYTERIAN CHURCH,INDIANAPOLIS,IN,46280,1505,HAMILTON,18057,2009-03-26T00:00:00.000Z,ALT REF,2009-03-26T00:00:00.000Z,CHURCHES,19498176,-86.1277881,39.9407141,CHRISTIAN,PCUSA,1323,NOT AVAILABLE,Y,N
30010,10586888,PLEASANT VIEW BAPTIST CHURCH,INDIANAPOLIS,IN,46259,1147,SHELBY,18145,2009-04-09T00:00:00.000Z,ALT REF,2009-04-09T00:00:00.000Z,CHURCHES,103343227,-85.943121,39.6654027,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
30018,10677461,SIKH SATSANG OF INDIANAPOLIS,INDIANAPOLIS,IN,46239,1908,MARION,18097,2009-04-06T00:00:00.000Z,ALT REF,2009-04-06T00:00:00.000Z,PLACES OF WORSHIP,19487640,-85.9702541,39.6834268,OTHER,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
30019,10457649,SAINT PAUL AFRICAN METHODIST EPISCOPAL CHURCH,INDIANAPOLIS,IN,46218,3425,MARION,18097,2009-04-06T00:00:00.000Z,ALT REF,2009-04-06T00:00:00.000Z,CHURCHES,19474495,-86.1277459,39.8031485,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
