OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
13704,10584819,BIBLE BAPTIST CHURCH,JACKSONVILLE,AR,72076,1807,PULASKI,5119,2008-11-03T00:00:00.000Z,ALT REF,2008-11-03T00:00:00.000Z,CHURCHES,708958028,-92.1018146,34.8953385,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
13705,10434814,JACKSONVILLE SECOND BAPTIST CHURCH,JACKSONVILLE,AR,72076,3119,PULASKI,5119,2008-11-03T00:00:00.000Z,ALT REF,2008-11-03T00:00:00.000Z,CHURCHES,18108780,-92.1179112,34.8774973,CHRISTIAN,SBC,1293,NOT AVAILABLE,Y,N
13788,10577193,JACKSONVILLE BAPTIST TEMPLE,JACKSONVILLE,AR,72076,3700,PULASKI,5119,2008-10-28T00:00:00.000Z,ALT REF,2008-10-28T00:00:00.000Z,CHURCHES,99942350,-92.1287333,34.8721883,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
13847,10434408,BAYOU METO BAPTIST CHURCH,JACKSONVILLE,AR,72076,NULL,PULASKI,5119,2007-09-18T00:00:00.000Z,ALT REF,2007-09-18T00:00:00.000Z,CHURCHES,100577564,-92.1569603,34.948649,CHRISTIAN,SBC,884,NOT AVAILABLE,Y,N
13858,10434919,GRAVEL RIDGE FIRST BAPTIST CHURCH,JACKSONVILLE,AR,72076,NULL,PULASKI,5119,2007-09-18T00:00:00.000Z,ALT REF,2007-09-18T00:00:00.000Z,CHURCHES,100557819,-92.1968111,34.8673307,CHRISTIAN,SBC,1257,NOT AVAILABLE,Y,N
806,10432712,APPLEGATE CHRISTIAN FELLOWSHIP,JACKSONVILLE,OR,97530,NULL,JACKSON,41029,2007-09-10T00:00:00.000Z,ALT REF,2007-09-10T00:00:00.000Z,CHURCHES,87450606,-123.039844,42.2391498,CHRISTIAN,CAL,NOT AVAILABLE,NOT AVAILABLE,Y,N
14425,10441786,OUR LADY OF SORROWS CHURCH,JACKSONVILLE,TX,75766,3267,CHEROKEE,48073,2007-08-29T00:00:00.000Z,ALT REF,2007-08-29T00:00:00.000Z,CHURCHES,122222899,-95.2562523,31.950668,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
14833,10581015,EMMANUEL BAPTIST CHURCH,JACKSONVILLE,TX,75766,4008,CHEROKEE,48073,2009-05-18T00:00:00.000Z,ALT REF,2009-05-18T00:00:00.000Z,CHURCHES,108433761,-95.2755858,31.9848859,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
14834,10577154,TABERNACLE BAPTIST CHURCH,JACKSONVILLE,TX,75766,3208,CHEROKEE,48073,2009-05-18T00:00:00.000Z,ALT REF,2009-05-18T00:00:00.000Z,CHURCHES,108434899,-95.2478777,31.9498109,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
14835,10434584,CENTRAL BAPTIST CHURCH,JACKSONVILLE,TX,75766,9057,CHEROKEE,48073,2009-05-18T00:00:00.000Z,ALT REF,2009-05-18T00:00:00.000Z,CHURCHES,108459146,-95.2354472,31.9685272,CHRISTIAN,SBC,2197,NOT AVAILABLE,Y,N
19144,10584920,PROFILE BAPTIST CHURCH,JACKSONVILLE,AL,36265,2415,CALHOUN,1015,2008-10-28T00:00:00.000Z,ALT REF,2008-10-28T00:00:00.000Z,CHURCHES,105312885,-85.7700171,33.8118945,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
