OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
2104,10440176,THE EPISCOPAL AFRICAN CHRISTIAN FELLOWSHIP,LAS VEGAS,NV,89104,3200,CLARK,32003,2007-11-06T00:00:00.000Z,ALT REF,2007-12-04T00:00:00.000Z,CHURCHES,24442767,-115.1375307,36.1476744,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
2109,10433632,DESERT HILLS BAPTIST CHURCH,LAS VEGAS,NV,89121,3101,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,24430285,-115.0650909,36.1092858,CHRISTIAN,SBC,1137,NOT AVAILABLE,Y,N
2110,10760347,FAITH COMMUNITY LUTHERAN CHURCH,LAS VEGAS,NV,89135,2178,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,97832931,-115.3254101,36.1412735,CHRISTIAN,LCMS,NOT AVAILABLE,NOT AVAILABLE,Y,N
2111,10762352,FIRST PRESBYTERIAN CHURCH,LAS VEGAS,NV,89102,2304,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,24441754,-115.1620443,36.1584951,CHRISTIAN,PCUSA,850,NOT AVAILABLE,Y,N
2112,10453835,GREATER SAINT JAMES BAPTIST CHURCH,LAS VEGAS,NV,89106,3141,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,24439214,-115.1466626,36.1841919,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
2114,10437600,HOPE BAPTIST CHURCH,LAS VEGAS,NV,89123,2925,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,24428890,-115.1643473,36.0289125,CHRISTIAN,SBC,900,NOT AVAILABLE,Y,N
2115,10760087,LAMB OF GOD LUTHERAN CHURCH,LAS VEGAS,NV,89130,7292,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,134763037,-115.2238789,36.2734443,CHRISTIAN,LCMS,NOT AVAILABLE,NOT AVAILABLE,Y,N
2117,10683679,LAS VEGAS SHAMBHALA MEDITATION GROUP,LAS VEGAS,NV,89107,2643,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,PLACES OF WORSHIP,24440614,-115.2197261,36.1711411,BUDDHIST,"TIBETAN, SHAMBHALA",NOT AVAILABLE,NOT AVAILABLE,N,N
2118,10678102,HINDU SOCIETY OF NEVADA,LAS VEGAS,NV,89144,1660,CLARK,32003,2008-12-04T00:00:00.000Z,ALT REF,2008-12-04T00:00:00.000Z,PLACES OF WORSHIP,134745050,-115.334818,36.1886964,HINDU,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
2119,10582285,LIBERTY BAPTIST CHURCH,LAS VEGAS,NV,89108,7012,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,134766867,-115.2369603,36.1952719,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
2120,10579054,MOUNTAIN VIEW BAPTIST CHURCH,LAS VEGAS,NV,89149,5603,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,28393238,-115.2659664,36.2640213,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
2121,10580360,OASIS BAPTIST CHURCH,LAS VEGAS,NV,89121,2855,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,24424945,-115.0694092,36.1302762,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
2122,10445324,OUR LADY OF LAS VEGAS CATHOLIC CHURCH,LAS VEGAS,NV,89107,3202,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,134766744,-115.1826767,36.166601,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
2123,10582283,PARADISE BIBLE BAPTIST CHURCH,LAS VEGAS,NV,89121,4012,CLARK,32003,2008-12-02T00:00:00.000Z,ALT REF,2008-12-02T00:00:00.000Z,CHURCHES,24425160,-115.1159943,36.1254074,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
2124,10445327,SAINT BRIDGET CATHOLIC CHURCH,LAS VEGAS,NV,89101,4312,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,24440943,-115.1287115,36.1661481,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
2126,10445333,SAINT JOAN OF ARC CATHOLIC CHURCH,LAS VEGAS,NV,89101,6111,CLARK,32003,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,24440809,-115.1454794,36.1678941,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
2127,10445334,SAINT JOSEPH HUSBAND OF MARY ROMAN CATHOLIC CHURCH,LAS VEGAS,NV,89117,2815,CLARK,32003,2008-12-02T00:00:00.000Z,ALT REF,2008-12-02T00:00:00.000Z,CHURCHES,24443089,-115.2514797,36.1444853,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
