OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
22416,10577960,EMMANUEL BAPTIST CHURCH,MEMPHIS,TN,38116,6241,SHELBY,47157,2009-06-30T00:00:00.000Z,ALT REF,2009-06-26T00:00:00.000Z,CHURCHES,24914629,-90.0362535,35.0274822,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
22417,10578519,EVANGEL CHURCH,MEMPHIS,TN,38117,2444,SHELBY,47157,2009-06-26T00:00:00.000Z,ALT REF,2009-06-26T00:00:00.000Z,CHURCHES,24943451,-89.9077954,35.1381817,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
22418,10577703,WILLOW PARK BAPTIST CHURCH,MEMPHIS,TN,38117,7105,SHELBY,47157,2009-06-29T00:00:00.000Z,ALT REF,2009-06-29T00:00:00.000Z,CHURCHES,24927397,-89.9012978,35.0851326,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
22423,10440437,SAINT JOSEPH'S CHURCH,MEMPHIS,TN,38127,4312,SHELBY,47157,2007-11-07T00:00:00.000Z,ALT REF,2007-11-07T00:00:00.000Z,CHURCHES,24906028,-90.009076,35.2314004,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
22439,10453368,ELLIS GROVE BAPTIST CHURCH,MEMPHIS,TN,38122,2062,SHELBY,47157,2009-06-26T00:00:00.000Z,ALT REF,2009-06-26T00:00:00.000Z,CHURCHES,24941492,-89.9437771,35.1620279,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
22441,10454083,FELLOWSHIP OF BELIEVERS IN CHRIST CHURCH,MEMPHIS,TN,38111,5532,SHELBY,47157,2009-07-06T00:00:00.000Z,ALT REF,2009-07-07T00:00:00.000Z,CHURCHES,24926367,-89.9472146,35.0986969,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
22443,10445838,SAINT MICHAEL CHURCH,MEMPHIS,TN,38122,3808,SHELBY,47157,2009-06-30T00:00:00.000Z,ALT REF,2009-06-30T00:00:00.000Z,CHURCHES,24942640,-89.9324466,35.1485599,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
22452,10440245,EMMANUEL EPISCOPAL CHURCH,MEMPHIS,TN,38116,6007,SHELBY,47157,2009-06-26T00:00:00.000Z,ALT REF,2009-06-26T00:00:00.000Z,CHURCHES,24929778,-89.996101,35.0351465,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
22483,10440418,SAINT JOHNS EPISCOPAL CHURCH,MEMPHIS,TN,38111,4409,SHELBY,47157,2009-07-01T00:00:00.000Z,ALT REF,2009-07-01T00:00:00.000Z,CHURCHES,24924503,-89.9536592,35.1228106,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
22495,10452333,GREATER MIDDLE BAPTIST CHURCH,MEMPHIS,TN,38118,3449,SHELBY,47157,2009-06-29T00:00:00.000Z,ALT REF,2009-06-29T00:00:00.000Z,CHURCHES,24928534,-89.8979545,35.0625795,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
