OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
22518,10432640,BELLEVUE COMMUNITY CHURCH,NASHVILLE,TN,37221,NULL,DAVIDSON,47037,2007-09-10T00:00:00.000Z,ALT REF,2007-09-10T00:00:00.000Z,CHURCHES,31399158,-86.9779258,36.077453,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
22560,10434955,BELLEVUE BAPTIST CHURCH,NASHVILLE,TN,37221,NULL,DAVIDSON,47037,2007-09-20T00:00:00.000Z,ALT REF,2007-09-20T00:00:00.000Z,CHURCHES,31418087,-86.9357463,36.0750849,CHRISTIAN,SBC,790,NOT AVAILABLE,Y,N
22592,10683851,NASHVILLE MINDFULNESS CENTER,NASHVILLE,TN,37221,5405,DAVIDSON,47037,2008-11-18T00:00:00.000Z,ALT REF,2008-11-18T00:00:00.000Z,PLACES OF WORSHIP,27648157,-86.9842236,36.1051946,BUDDHIST,MAHAYANA,NOT AVAILABLE,NOT AVAILABLE,N,N
22754,10461247,WEST SIDE CUMBERLAND PRESBYTERIAN CHURCH,NASHVILLE,TN,37221,3500,DAVIDSON,47037,2008-03-07T00:00:00.000Z,ALT REF,2008-03-07T00:00:00.000Z,CHURCHES,31399492,-86.9324483,36.0626397,CHRISTIAN,PCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
23046,10436087,HARPETH HEIGHTS BAPTIST CHURCH,NASHVILLE,TN,37221,NULL,DAVIDSON,47037,2007-09-20T00:00:00.000Z,ALT REF,2007-09-20T00:00:00.000Z,CHURCHES,124178225,-86.9530728,36.0447121,CHRISTIAN,SBC,1753,NOT AVAILABLE,Y,N
23963,10577792,COMMUNITY BAPTIST CHURCH,NASHVILLE,TN,37221,3444,DAVIDSON,47037,2009-07-07T00:00:00.000Z,ALT REF,2009-07-07T00:00:00.000Z,CHURCHES,31399495,-86.939001,36.06399,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
23964,10677994,SRI GANESHA TEMPLE,NASHVILLE,TN,37209,5105,DAVIDSON,47037,2009-07-02T00:00:00.000Z,ALT REF,2009-07-02T00:00:00.000Z,"TEMPLES, RELIGIOUS",31418753,-86.9249197,36.1012998,HINDU,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
29036,10431420,MASJID AL-ISLAM,NASHVILLE,TN,37218,2000,DAVIDSON,47037,2009-07-06T00:00:00.000Z,ALT REF,2009-07-06T00:00:00.000Z,"MOSQUES, RELIGIOUS",31392569,-86.8166872,36.2140309,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
29043,10428311,CHABAD OF NASHVILLE,NASHVILLE,TN,37205,2443,DAVIDSON,47037,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,31397544,-86.8294756,36.131984,JUDAIC,CHABAD,NOT AVAILABLE,CHABAD,N,N
29045,10446552,HOLY ROSARY CHURCH,NASHVILLE,TN,37214,2706,DAVIDSON,47037,2009-07-07T00:00:00.000Z,ALT REF,2009-07-07T00:00:00.000Z,CHURCHES,31412892,-86.6754352,36.1679931,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
