OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
9320,10575737,LIGHTHOUSE CHURCH OF JESUS CHRIST,OKLAHOMA CITY,OK,73111,2606,OKLAHOMA,40109,2009-07-29T00:00:00.000Z,ALT REF,2009-07-29T00:00:00.000Z,CHURCHES,30461170,-97.4941592,35.4942145,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
9321,10446032,LITTLE FLOWER CHURCH (OUR LADY OF MOUNT CARAMEL AND SAINT THERESE),OKLAHOMA CITY,OK,73109,1341,OKLAHOMA,40109,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,30435302,-97.5215246,35.4545567,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
9329,10762783,FIRST CHURCH,OKLAHOMA CITY,OK,73102,6211,OKLAHOMA,40109,2009-07-28T00:00:00.000Z,ALT REF,2009-07-28T00:00:00.000Z,CHURCHES,30432600,-97.5159323,35.4722191,CHRISTIAN,UMC,NOT AVAILABLE,NOT AVAILABLE,Y,N
9332,10684725,MINDESSENCE ZEN CENTER,OKLAHOMA CITY,OK,73121,6000,OKLAHOMA,40109,2009-07-31T00:00:00.000Z,ALT REF,2009-08-03T00:00:00.000Z,PLACES OF WORSHIP,NULL,-97.4288527,35.5277385,BUDDHIST,TRUC LAM BAMBOO FOREST ZEN,NOT AVAILABLE,NOT AVAILABLE,N,N
9337,10684029,BUDDHA MIND MONASTERY,OKLAHOMA CITY,OK,73150,4018,OKLAHOMA,40109,2009-07-24T00:00:00.000Z,ALT REF,2009-08-03T00:00:00.000Z,MONASTERIES (EXCEPT SCHOOLS),30442719,-97.3173833,35.4068874,BUDDHIST,"MAHAYANA, CHINESE ZEN, LIN-CHI LINEAGE",NOT AVAILABLE,NOT AVAILABLE,N,N
9338,10437323,SOUTH LINDSAY BAPTIST CHURCH,OKLAHOMA CITY,OK,73129,4952,OKLAHOMA,40109,2009-07-28T00:00:00.000Z,ALT REF,2009-07-28T00:00:00.000Z,CHURCHES,30439109,-97.4987472,35.4313541,CHRISTIAN,SBC,3866,NOT AVAILABLE,Y,N
9339,10677844,HINDU TEMPLE OF OKLAHOMA,OKLAHOMA CITY,OK,73121,NULL,OKLAHOMA,40109,2009-07-28T00:00:00.000Z,ALT REF,2009-08-03T00:00:00.000Z,"TEMPLES, RELIGIOUS",30418940,-97.4405116,35.5445465,HINDU,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
9340,10436617,TRINITY INTERNATIONAL BAPTIST CHURCH,OKLAHOMA CITY,OK,73106,3617,OKLAHOMA,40109,2009-07-30T00:00:00.000Z,ALT REF,2009-08-03T00:00:00.000Z,CHURCHES,30427595,-97.5342528,35.4935577,CHRISTIAN,SBC,2970,NOT AVAILABLE,Y,N
9341,10762544,WAT SANGHARATANARAM,OKLAHOMA CITY,OK,73129,9265,OKLAHOMA,40109,2009-07-31T00:00:00.000Z,ALT REF,2009-07-31T00:00:00.000Z,PLACES OF WORSHIP,30442337,-97.4739502,35.4106365,BUDDHIST,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
9343,10581862,MACEDONIA INDEPENDENT BAPTIST,OKLAHOMA CITY,OK,73105,7924,OKLAHOMA,40109,2009-08-03T00:00:00.000Z,ALT REF,2009-08-03T00:00:00.000Z,CHURCHES,30426037,-97.496462,35.4997373,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
9344,10436665,OLIVET BAPTIST CHURCH,OKLAHOMA CITY,OK,73106,1200,OKLAHOMA,40109,2009-07-30T00:00:00.000Z,ALT REF,2009-07-30T00:00:00.000Z,CHURCHES,30431389,-97.5325123,35.4794531,CHRISTIAN,SBC,887,NOT AVAILABLE,Y,N
9349,10433211,CROSSINGS COMMUNITY CHURCH,OKLAHOMA CITY,OK,73134,4019,OKLAHOMA,40109,2007-09-12T00:00:00.000Z,ALT REF,2007-09-12T00:00:00.000Z,CHURCHES,30412451,-97.5821801,35.6195198,CHRISTIAN,NONDENOM,NOT AVAILABLE,NOT AVAILABLE,Y,N
9350,10433212,WESTMOORE COMMUNITY CHURCH,OKLAHOMA CITY,OK,73170,6903,CLEVELAND,40027,2007-09-12T00:00:00.000Z,ALT REF,2007-09-12T00:00:00.000Z,CHURCHES,30467364,-97.5308801,35.3438018,CHRISTIAN,EC,NOT AVAILABLE,NOT AVAILABLE,Y,N
9351,10433213,CATHEDRAL OF PRAISE,OKLAHOMA CITY,OK,73132,4147,OKLAHOMA,40109,2007-09-12T00:00:00.000Z,ALT REF,2007-09-12T00:00:00.000Z,CHURCHES,30461126,-97.65203,35.5499683,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
9356,10433392,FIRST BAPTIST CHURCH,OKLAHOMA CITY,OK,73103,4819,OKLAHOMA,40109,2007-09-20T00:00:00.000Z,ALT REF,2007-09-20T00:00:00.000Z,CHURCHES,30431050,-97.5165973,35.4803956,CHRISTIAN,SBC,6127,NOT AVAILABLE,Y,N
9362,10434454,SHIELDS BOULEVARD BAPTIST CHURCH,OKLAHOMA CITY,OK,73129,2852,OKLAHOMA,40109,2007-09-20T00:00:00.000Z,ALT REF,2007-09-20T00:00:00.000Z,CHURCHES,30439939,-97.5075737,35.4279062,CHRISTIAN,SBC,1444,NOT AVAILABLE,Y,N
9367,10434853,EXCHANGE AVENUE BAPTIST CHURCH,OKLAHOMA CITY,OK,73108,2815,OKLAHOMA,40109,2007-09-20T00:00:00.000Z,ALT REF,2007-09-20T00:00:00.000Z,CHURCHES,30435696,-97.5475191,35.4522801,CHRISTIAN,SBC,2957,NOT AVAILABLE,Y,N
