OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
7003,10446598,IMMACULATE HEART CHURCH,PORTLAND,OR,97227,1628,MULTNOMAH,41051,2009-03-12T00:00:00.000Z,ALT REF,2009-03-12T00:00:00.000Z,CHURCHES,21304156,-122.6662309,45.5440048,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7010,10446590,SAINT CLARE CHURCH,PORTLAND,OR,97219,4116,MULTNOMAH,41051,2009-03-13T00:00:00.000Z,ALT REF,2009-03-13T00:00:00.000Z,CHURCHES,21353180,-122.6969692,45.4631493,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7012,10446597,SAINT IGNATIUS CHURCH,PORTLAND,OR,97206,3107,MULTNOMAH,41051,2009-03-13T00:00:00.000Z,ALT REF,2009-03-13T00:00:00.000Z,CHURCHES,21316181,-122.6179315,45.4979898,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7013,10446599,SAINT JOHN FISHER CHURCH,PORTLAND,OR,97219,1510,MULTNOMAH,41051,2009-03-17T00:00:00.000Z,ALT REF,2009-03-17T00:00:00.000Z,CHURCHES,21379006,-122.7248825,45.474513,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7015,11521654,SAINT JUAN DIEGO CHURCH,PORTLAND,OR,97229,7353,WASHINGTON,41067,2009-03-17T00:00:00.000Z,ALT REF,2009-03-17T00:00:00.000Z,CHURCHES,21347331,-122.8545307,45.5549746,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7016,10448714,SAINT JUAN DIEGO CHURCH,PORTLAND,OR,97229,2190,WASHINGTON,41067,2009-03-17T00:00:00.000Z,ALT REF,2009-03-19T00:00:00.000Z,CHURCHES,21330772,-122.8576032,45.5554825,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7021,10441165,SAINT STEPHENS EPISCOPAL CHURCH,PORTLAND,OR,97201,3390,MULTNOMAH,41051,2009-03-12T00:00:00.000Z,ALT REF,2009-03-12T00:00:00.000Z,CHURCHES,21307778,-122.6876109,45.5156385,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
7022,10446608,SAINT THERESE CHURCH,PORTLAND,OR,97230,3254,MULTNOMAH,41051,2009-03-10T00:00:00.000Z,ALT REF,2009-03-10T00:00:00.000Z,CHURCHES,21292405,-122.5251487,45.5312856,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7024,10441168,THE EPISCOPAL PARISH OF SAINT JOHN THE BAPTIST,PORTLAND,OR,97223,7566,WASHINGTON,41067,2009-03-17T00:00:00.000Z,ALT REF,2009-03-17T00:00:00.000Z,CHURCHES,31332161,-122.7554669,45.4744965,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
7040,10439037,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MARKET STREET BRANCH,PORTLAND,OR,97201,3229,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2008-09-05T00:00:00.000Z,CHURCHES,21308031,-122.6860134,45.5138781,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
7052,10427097,CONGREGATION HAVURAH SHALOM,PORTLAND,OR,97209,2333,MULTNOMAH,41051,2007-08-08T00:00:00.000Z,ALT REF,2008-09-05T00:00:00.000Z,SYNAGOGUES,21305662,-122.6898924,45.5288833,JUDAIC,RECONSTRUCTIONIST,NOT AVAILABLE,SYNAGOGUE,N,N
6011,10438152,CROSSROADS CHURCH,PORTLAND,OR,97220,2802,MULTNOMAH,41051,2007-10-10T00:00:00.000Z,ALT REF,2007-10-10T00:00:00.000Z,CHURCHES,124511064,-122.5585553,45.5404323,CHRISTIAN,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,Y,N
6032,10438670,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - OAK HILLS WARD,PORTLAND,OR,97229,2292,WASHINGTON,41067,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,31345072,-122.830224,45.5431367,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6043,10438792,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - RALEIGH HILLS WARD,PORTLAND,OR,97223,9427,WASHINGTON,41067,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,112455441,-122.7443405,45.466621,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6045,10438875,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - PORTLAND HEIGHTS (DEAF) BRANCH,PORTLAND,OR,97214,5651,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21308992,-122.6354881,45.5087486,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6061,10439063,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT SCOTT WARD,PORTLAND,OR,97216,2629,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21295441,-122.5612993,45.5055639,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6065,10439179,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BEAVERTON 3RD WARD,PORTLAND,OR,97223,9427,WASHINGTON,41067,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,112455441,-122.74434,45.4666195,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6074,10439276,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - PENINSULA PARK WARD,PORTLAND,OR,97211,8155,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21289477,-122.6249717,45.5564026,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6076,10439300,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HAPPY VALLEY WARD,PORTLAND,OR,97086,6162,CLACKAMAS,41005,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21320755,-122.5268604,45.4482768,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6081,10439354,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MORELAND WARD,PORTLAND,OR,97202,6119,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21352755,-122.6475152,45.4673659,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6082,10439355,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - RIVERSIDE WARD,PORTLAND,OR,97202,6119,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21352755,-122.6475169,45.4673671,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6083,10439356,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ROSE CITY (TONGAN) WARD,PORTLAND,OR,97220,3705,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21291498,-122.5539926,45.5383468,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6098,10439447,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GATEWAY WARD,PORTLAND,OR,97220,3705,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21291498,-122.5539926,45.5383468,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6102,10439477,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CHERRY PARK WARD,PORTLAND,OR,97216,2629,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21295441,-122.5612991,45.5055627,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6104,10439500,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GABRIEL PARK WARD,PORTLAND,OR,97223,9427,WASHINGTON,41067,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,112455441,-122.7443447,45.4666219,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6105,10439513,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SUNSET HILLS WARD,PORTLAND,OR,97229,2292,WASHINGTON,41067,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,31345072,-122.8302235,45.5431387,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6114,10439553,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT TABOR WARD,PORTLAND,OR,97214,5651,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21308992,-122.6354893,45.5087493,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6117,10439561,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - IRVINGTON WARD,PORTLAND,OR,97211,8155,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21289477,-122.6249705,45.5564014,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6118,10439562,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COLONIAL HEIGHTS WARD,PORTLAND,OR,97214,5651,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21308992,-122.6354893,45.5087501,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6121,10439636,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EVERGREEN (SPANISH) BRANCH,PORTLAND,OR,97206,1870,MULTNOMAH,41051,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21295880,-122.588897,45.5003523,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6124,10439691,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SKYLINE WARD,PORTLAND,OR,97229,2292,WASHINGTON,41067,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,31345072,-122.830226,45.5431387,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6134,10439988,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SUNNYSIDE WARD,PORTLAND,OR,97086,6162,CLACKAMAS,41005,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,21320755,-122.5268588,45.4482803,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6158,10441167,SAINT ANDREW EPISCOPAL CHURCH,PORTLAND,OR,97203,3432,MULTNOMAH,41051,2007-11-06T00:00:00.000Z,ALT REF,2007-11-06T00:00:00.000Z,CHURCHES,21300084,-122.7218071,45.582477,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6176,10443063,SAINT BIRGITTA'S CATHOLIC CHURCH,PORTLAND,OR,97231,2319,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,112400451,-122.7918823,45.6074584,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6180,10446583,SAINT MARY'S CATHEDRAL OF THE IMMACULATE CONCEPTION,PORTLAND,OR,97209,2120,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21306282,-122.6889863,45.5239566,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6181,10446585,SAINT ANDREW CATHOLIC CHURCH,PORTLAND,OR,97211,4530,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21302725,-122.6569492,45.5588791,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6182,10446587,ASCENSION CATHOLIC CHURCH,PORTLAND,OR,97215,2282,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21294162,-122.585594,45.5165085,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6183,10446589,CHURCH OF KOREAN MARTYRS,PORTLAND,OR,97266,1833,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,124485294,-122.5512192,45.4958977,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6184,10446591,SAINT ELIZABETH OF HUNGARY CHURCH,PORTLAND,OR,97239,4145,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21377730,-122.6835333,45.4936754,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6185,10446596,HOLY ROSARY CHURCH AND DOMINICAN PRIORY,PORTLAND,OR,97232,1103,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21305289,-122.6623671,45.5330973,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6186,10446601,SAINT MICHAEL THE ARCHANGEL CHURCH,PORTLAND,OR,97201,5534,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21308467,-122.6805633,45.5118194,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6187,10446602,OUR LADY OF SORROWS CHURCH,PORTLAND,OR,97206,6822,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21318221,-122.6085299,45.4794447,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6188,10446604,SAINT PIUS CATHOLIC CHURCH,PORTLAND,OR,97229,5642,WASHINGTON,41067,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21332273,-122.8044556,45.5289326,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6189,10446605,SAINT ROSE OF LIMA CHURCH,PORTLAND,OR,97213,3400,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21291003,-122.6078279,45.5424921,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6190,10446606,SACRED HEART CATHOLIC CHURCH,PORTLAND,OR,97202,3728,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21350339,-122.653924,45.494165,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6191,10446609,SAINT THOMAS MORE CHURCH,PORTLAND,OR,97221,4124,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21309538,-122.713984,45.5020462,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6200,10448374,SAINT IRENE THE VIRGIN AND GREAT MARTYR CHURCH,PORTLAND,OR,97217,3626,MULTNOMAH,41051,2007-10-03T00:00:00.000Z,ALT REF,2007-10-03T00:00:00.000Z,CHURCHES,21302988,-122.6808156,45.5566636,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
