NAME,CITY,STATE,COUNTY,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,PROT,CATH
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MONUMENT PARK 12TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096373,-111.8101797,40.7473195,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GARDEN PARK WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096405,-111.8577906,40.7452752,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BROOKSHIRE WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098914,-111.8534467,40.6956593,CHRISTIAN,LDS,Y,N
COMMUNITY OF MINDFUL LIVING,SALT LAKE CITY,UT,SALT LAKE,PLACES OF WORSHIP,32096944,-111.8459403,40.7351077,BUDDHIST,ZEN BUDDHIST MASTER THICH NHAT HAHN,N,N
FIRST BAPTIST CHURCH OF SALT LAKE CITY,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096010,-111.8530878,40.7524897,CHRISTIAN,ABC,Y,N
URGYEN SAMTEN LING,SALT LAKE CITY,UT,SALT LAKE,PLACES OF WORSHIP,32124346,-111.9001449,40.7529632,BUDDHIST,"TIBETAN, NYINGMA",N,N
SOKA GAKKAI INTERNATIONAL,SALT LAKE CITY,UT,SALT LAKE,PLACES OF WORSHIP,32122371,-111.8840672,40.7610818,BUDDHIST,MAHAYANA,N,N
DZOGCHEN SHRI SINGHA ASSOCIATION,SALT LAKE CITY,UT,SALT LAKE,PLACES OF WORSHIP,32093928,-111.8710549,40.7798733,BUDDHIST,"TIBETAN, VAJRAYANA, DZOGCHEN",N,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GARDEN TERRACE (CARE CENTER) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32122311,-111.8565237,40.6750087,CHRISTIAN,LDS,Y,N
SAINT VINCENT DE PAUL CATHOLIC PARISH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100657,-111.8535185,40.6613534,CHRISTIAN,NOT AVAILABLE,N,Y
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - JOHANNA CASE (CARE CENTER) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32063036,-111.878779,40.7135012,CHRISTIAN,LDS,Y,N
OUR LADY OF PERPETUAL HELP PARISH (VIETNAMESE),SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32066699,-111.9950749,40.6530668,CHRISTIAN,NOT AVAILABLE,N,Y
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - DOMINGUEZ PARK (RETIREMENT) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,129577157,-111.9122201,40.6849491,CHRISTIAN,LDS,Y,N
