OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
18429,10582819,THE WAY OF THE CROSS BAPTIST CHURCH,PHILADELPHIA,MS,39350,NULL,NESHOBA,28099,2009-07-31T00:00:00.000Z,ALT REF,2009-07-31T00:00:00.000Z,CHURCHES,99211532,-89.1854956,32.9116106,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
18453,10434249,FIRST BAPTIST CHURCH PHILADELPHIA,PHILADELPHIA,MS,39350,2934,NESHOBA,28099,2009-07-02T00:00:00.000Z,ALT REF,2009-07-02T00:00:00.000Z,CHURCHES,99214014,-89.1086717,32.7728193,CHRISTIAN,SBC,921,NOT AVAILABLE,Y,N
18509,10460806,FIRST PRESBYTERIAN CHURCH,PHILADELPHIA,MS,39350,2428,NESHOBA,28099,2008-02-28T00:00:00.000Z,ALT REF,2008-09-05T00:00:00.000Z,CHURCHES,99317662,-89.1079701,32.7706934,CHRISTIAN,PCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
17337,10460783,CAROLINA PRESBYTERIAN CHURCH,PHILADELPHIA,MS,39350,NULL,NESHOBA,28099,2008-03-03T00:00:00.000Z,ALT REF,2008-03-03T00:00:00.000Z,CHURCHES,99319529,-89.3050169,32.698233,CHRISTIAN,PCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
16584,10454649,MOUNT NEBO MISSIONARY BAPTIST CHURCH,PHILADELPHIA,MS,39350,3451,NESHOBA,28099,2008-03-04T00:00:00.000Z,ALT REF,2008-03-04T00:00:00.000Z,CHURCHES,99317273,-89.1173632,32.7812464,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
23970,10578298,PHILADELPHIA BAPTIST CHURCH,PHILADELPHIA,MO,63463,NULL,MARION,29127,2009-05-20T00:00:00.000Z,ALT REF,2009-05-20T00:00:00.000Z,CHURCHES,124802823,-91.7429864,39.8428841,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
37217,10428245,JACOB AND ESTHER STIFFEL SENIOR CENTER,PHILADELPHIA,PA,19148,3851,PHILADELPHIA,42101,2007-07-27T00:00:00.000Z,PHONE,2007-07-27T00:00:00.000Z,SYNAGOGUES,18725711,-75.1581942,39.9175474,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
37221,10445393,SAINT JOACHIM ROMAN CATHOLIC CHURCH,PHILADELPHIA,PA,19124,3923,PHILADELPHIA,42101,2007-09-06T00:00:00.000Z,ALT REF,2007-09-06T00:00:00.000Z,CHURCHES,125413630,-75.0899104,40.0120172,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
37222,10445402,SAINT MADELEINE SOPHIE CHURCH,PHILADELPHIA,PA,19119,3233,PHILADELPHIA,42101,2007-09-06T00:00:00.000Z,ALT REF,2007-09-06T00:00:00.000Z,CHURCHES,18697441,-75.1892649,40.041739,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
37223,10442562,HOLY NAME OF JESUS CHURCH,PHILADELPHIA,PA,19125,2816,PHILADELPHIA,42101,2007-09-06T00:00:00.000Z,ALT REF,2007-09-07T00:00:00.000Z,CHURCHES,18712996,-75.1277286,39.975762,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
37230,10443240,SAINT MARON MARONITE CHURCH,PHILADELPHIA,PA,19147,4622,PHILADELPHIA,42101,2007-09-06T00:00:00.000Z,ALT REF,2007-09-06T00:00:00.000Z,CHURCHES,18722146,-75.160456,39.9358082,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
37232,10427128,TEMPLE BETH AMI,PHILADELPHIA,PA,19115,4615,PHILADELPHIA,42101,2007-08-01T00:00:00.000Z,PHONE,2007-08-01T00:00:00.000Z,SYNAGOGUES,18687020,-75.039171,40.0804618,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,SYNAGOGUE,N,N
37238,10454107,PLEASANT GROVE BAPTIST CHURCH,PHILADELPHIA,PA,19121,1811,PHILADELPHIA,42101,2008-02-21T00:00:00.000Z,ALT REF,2008-02-21T00:00:00.000Z,CHURCHES,18711405,-75.1842049,39.9849987,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
37241,10431198,MASJIDULLAH INCORPORATED,PHILADELPHIA,PA,19150,1819,PHILADELPHIA,42101,2009-05-22T00:00:00.000Z,ALT REF,2009-05-22T00:00:00.000Z,"MOSQUES, RELIGIOUS",18689191,-75.1578161,40.0708559,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
37244,10467863,LIBERTI CHURCH - ROXBOROUGH,PHILADELPHIA,PA,19128,1401,PHILADELPHIA,42101,2008-03-04T00:00:00.000Z,ALT REF,2008-03-04T00:00:00.000Z,CHURCHES,18695295,-75.2248732,40.05089,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
37246,10467861,FIRST PRESBYTERIAN CHURCH IN KENSINGTON,PHILADELPHIA,PA,19125,3306,PHILADELPHIA,42101,2008-03-04T00:00:00.000Z,ALT REF,2008-03-04T00:00:00.000Z,CHURCHES,18714289,-75.1296893,39.970087,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
37249,10441194,EMMANUEL EPISCOPAL CHURCH - HOLMESBURG,PHILADELPHIA,PA,19136,2735,PHILADELPHIA,42101,2009-05-18T00:00:00.000Z,ALT REF,2009-05-18T00:00:00.000Z,CHURCHES,710866832,-75.0232118,40.042839,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
37250,10453069,REDEEMER TABERNACLE BAPTIST CHURCH,PHILADELPHIA,PA,19139,1502,PHILADELPHIA,42101,2009-05-15T00:00:00.000Z,ALT REF,2009-05-15T00:00:00.000Z,CHURCHES,723521032,-75.2240656,39.9636847,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
37252,10442424,PHILADELPHIA HOLY REDEEMER CHINESE CATHOLIC CHURCH,PHILADELPHIA,PA,19107,NULL,PHILADELPHIA,42101,2009-07-22T00:00:00.000Z,ALT REF,2009-07-22T00:00:00.000Z,CHURCHES,727649380,-75.1548117,39.9574535,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
37253,10445396,SAINT JOHN THE EVANGELIST CATHOLIC CHURCH,PHILADELPHIA,PA,19107,3316,PHILADELPHIA,42101,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,18718736,-75.1613273,39.9512127,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
37254,10445364,SAINT BRIDGET CHURCH,PHILADELPHIA,PA,19129,1712,PHILADELPHIA,42101,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,125370603,-75.1935758,40.0107654,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
37255,10453580,SECOND TIMOTHY BAPTIST CHURCH,PHILADELPHIA,PA,19139,1711,PHILADELPHIA,42101,2009-05-01T00:00:00.000Z,ALT REF,2009-05-14T00:00:00.000Z,CHURCHES,18715773,-75.2201605,39.9665099,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
37256,10445355,SAINT ANSELM CHURCH,PHILADELPHIA,PA,19154,1424,PHILADELPHIA,42101,2009-05-13T00:00:00.000Z,ALT REF,2009-05-13T00:00:00.000Z,CHURCHES,18683226,-74.9720059,40.1026001,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
37257,10441198,SAINT JAMES CHURCH OF KINGSESSING,PHILADELPHIA,PA,19142,1822,PHILADELPHIA,42101,2009-05-06T00:00:00.000Z,ALT REF,2009-05-06T00:00:00.000Z,CHURCHES,18725275,-75.23894,39.9216491,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
