OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
5140,10460279,NEW VALLEY CHURCH,PHOENIX,AZ,85044,9132,MARICOPA,4013,2008-02-22T00:00:00.000Z,ALT REF,2008-02-22T00:00:00.000Z,CHURCHES,19396705,-111.976361,33.3083049,CHRISTIAN,PCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
5141,10437642,CHRIST LUTHERAN CHURCH,PHOENIX,AZ,85018,5236,MARICOPA,4013,2007-09-21T00:00:00.000Z,ALT REF,2007-09-21T00:00:00.000Z,CHURCHES,20865841,-111.997466,33.494374,CHRISTIAN,LCMS,NOT AVAILABLE,NOT AVAILABLE,Y,N
5148,10439074,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - AHWATUKEE 1ST WARD,PHOENIX,AZ,85044,NULL,MARICOPA,4013,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,CHURCHES,122782759,-111.9862502,33.3259898,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
5153,10448779,SAINT ROSE PHILIPPINE DUCHESNE CHAPEL,PHOENIX,AZ,85086,NULL,MARICOPA,4013,2007-10-02T00:00:00.000Z,ALT REF,2007-10-02T00:00:00.000Z,CHURCHES,NULL,-112.1221347,33.8443161,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
5158,10442707,DORMITION OF THE MOTHER OF GOD UKRAINIAN BYZANTINE CATHOLIC CHURCH,PHOENIX,AZ,85019,1539,MARICOPA,4013,2008-10-28T00:00:00.000Z,ALT REF,2008-10-28T00:00:00.000Z,CHURCHES,20907732,-112.1390413,33.531628,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
5159,10584757,FIRST CHRISTIAN FELLOWSHIP CHURCH OF PHOENIX,PHOENIX,AZ,85041,2234,MARICOPA,4013,2008-10-28T00:00:00.000Z,ALT REF,2008-10-28T00:00:00.000Z,CHURCHES,20850149,-112.0908707,33.4057233,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
5160,10760287,CHRIST THE REDEEMER LUTHERAN CHURCH,PHOENIX,AZ,85051,3641,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,20960202,-112.1508908,33.564723,CHRISTIAN,LCMS,NOT AVAILABLE,NOT AVAILABLE,Y,N
5161,10446824,IMMACULATE HEART OF MARY CHURCH,PHOENIX,AZ,85034,1005,MARICOPA,4013,2008-10-28T00:00:00.000Z,ALT REF,2008-10-28T00:00:00.000Z,CHURCHES,20857543,-112.0618317,33.4479359,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
5162,10440495,ALL SAINTS' EPISCOPAL CHURCH AND DAY SCHOOL,PHOENIX,AZ,85012,1109,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,20891430,-112.0746325,33.5296006,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
5173,10761652,CAMELBACK CHURCH OF CHRIST,PHOENIX,AZ,85018,3019,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,20899002,-111.9674255,33.5024777,CHRISTIAN,COC,450,NOT AVAILABLE,Y,N
5177,10761238,PHOENIX SHADOW ROCK UNITED CHURCH OF CHRIST,PHOENIX,AZ,85029,1806,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,20890710,-112.0835371,33.6026423,CHRISTIAN,UCC,714,NOT AVAILABLE,Y,N
5178,10432129,PILGRIM REST BAPTIST CHURCH,PHOENIX,AZ,85034,2315,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,122795242,-112.0516999,33.4467923,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
5180,10446837,SAINT MARYS BASILICA,PHOENIX,AZ,85004,2219,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,719307703,-112.0693878,33.4507171,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
5181,10761239,SHEPHERD OF THE HILLS CONGREGATIONAL UNITED CHURCH OF CHRIST,PHOENIX,AZ,85018,4524,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,726175751,-111.9626851,33.4948442,CHRISTIAN,UCC,432,NOT AVAILABLE,Y,N
5182,10435278,STARLIGHT PARK BAPTIST CHURCH,PHOENIX,AZ,85033,3528,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,20878847,-112.22939,33.486929,CHRISTIAN,SBC,866,NOT AVAILABLE,Y,N
5189,10759797,ALL SAINTS LUTHERAN CHURCH,PHOENIX,AZ,85022,3518,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,20944096,-112.0633799,33.6289724,CHRISTIAN,ELCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
5190,10437107,PLEASANT VIEW BAPTIST CHURCH,PHOENIX,AZ,85041,2318,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,20850137,-112.0911264,33.4010112,CHRISTIAN,SBC,826,NOT AVAILABLE,Y,N
5191,10759757,SHEPHERD OF THE VALLEY LUTHERAN CHURCH,PHOENIX,AZ,85015,1401,MARICOPA,4013,2008-10-27T00:00:00.000Z,ALT REF,2008-10-27T00:00:00.000Z,CHURCHES,20883656,-112.0920263,33.532029,CHRISTIAN,ELCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
