OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
11882,10441942,ANNUNCIATION NATIONAL CATHOLIC CHURCH,SAN ANTONIO,TX,78207,6031,BEXAR,48029,2007-08-30T00:00:00.000Z,ALT REF,2007-08-30T00:00:00.000Z,CHURCHES,18203110,-98.522002,29.4150264,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
11884,10456237,BETHEL AFRICAN METHODIST EPISCOPAL CHURCH,SAN ANTONIO,TX,78202,2755,BEXAR,48029,2008-03-03T00:00:00.000Z,ALT REF,2008-03-03T00:00:00.000Z,CHURCHES,18192830,-98.4757987,29.4233793,CHRISTIAN,AME,NOT AVAILABLE,NOT AVAILABLE,Y,N
11886,10444436,SAINT LAWRENCE THE MARTYR CATHOLIC CHURCH,SAN ANTONIO,TX,78221,3335,BEXAR,48029,2007-08-31T00:00:00.000Z,ALT REF,2007-08-31T00:00:00.000Z,CHURCHES,18215180,-98.5001362,29.3379349,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
11887,10436147,VALLEY HI FIRST BAPTIST CHURCH,SAN ANTONIO,TX,78227,NULL,BEXAR,48029,2007-09-20T00:00:00.000Z,ALT REF,2007-09-20T00:00:00.000Z,CHURCHES,704784655,-98.6366185,29.3677656,CHRISTIAN,SBC,1040,NOT AVAILABLE,Y,N
11893,10579441,FELLOWSHIP INDEPENDENT BAPTIST CHURCH,SAN ANTONIO,TX,78252,2703,BEXAR,48029,2009-05-07T00:00:00.000Z,ALT REF,2009-05-07T00:00:00.000Z,CHURCHES,18329258,-98.6341924,29.3323648,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
11894,10436368,RAINBOW HILLS BAPTIST CHURCH,SAN ANTONIO,TX,78227,2406,BEXAR,48029,2007-11-08T00:00:00.000Z,ALT REF,2007-11-08T00:00:00.000Z,CHURCHES,18213088,-98.6573539,29.4095398,CHRISTIAN,SBC,1393,NOT AVAILABLE,Y,N
11895,10577952,HUISACHE AVENUE BAPTIST CHURCH,SAN ANTONIO,TX,78201,5130,BEXAR,48029,2009-05-08T00:00:00.000Z,ALT REF,2009-05-08T00:00:00.000Z,CHURCHES,18205618,-98.5164769,29.4560742,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
11896,10577127,ANCHOR BAPTIST CHURCH,SAN ANTONIO,TX,78239,1916,BEXAR,48029,2009-05-07T00:00:00.000Z,ALT REF,2009-05-07T00:00:00.000Z,CHURCHES,18248769,-98.3858865,29.5232873,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
11897,10580922,FREE GRACE BAPTIST CHURCH,SAN ANTONIO,TX,78201,2935,BEXAR,48029,2009-05-07T00:00:00.000Z,ALT REF,2009-05-07T00:00:00.000Z,CHURCHES,18204057,-98.5244641,29.4819867,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
11898,10444422,SAINT BONAVENTURE CATHOLIC CHURCH,SAN ANTONIO,TX,78211,4128,BEXAR,48029,2009-05-11T00:00:00.000Z,ALT REF,2009-05-11T00:00:00.000Z,CHURCHES,18183916,-98.5516145,29.3307656,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
