OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
5003,10430491,MASJID AL-ANSAR,SAN DIEGO,CA,92105,2115,SAN DIEGO,6073,2007-07-17T00:00:00.000Z,PHONE,2007-07-17T00:00:00.000Z,"MOSQUES, RELIGIOUS",24217940,-117.0882053,32.7498073,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
5016,10430593,ISLAMIC CENTER OF SAN DIEGO,SAN DIEGO,CA,92111,3400,SAN DIEGO,6073,2007-10-08T00:00:00.000Z,ALT REF,2007-10-08T00:00:00.000Z,"MOSQUES, RELIGIOUS",24277459,-117.1654269,32.8205896,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
5017,10685462,DHARMA BUM ZEN CENTER,SAN DIEGO,CA,92101,8499,SAN DIEGO,6073,2008-11-07T00:00:00.000Z,ALT REF,2008-11-07T00:00:00.000Z,PLACES OF WORSHIP,128837639,-117.162433,32.7107293,BUDDHIST,NON-SECTARIAN,NOT AVAILABLE,NOT AVAILABLE,N,N
5020,10685178,RED LOTUS SOCIETY,SAN DIEGO,CA,92101,6805,SAN DIEGO,6073,2008-11-07T00:00:00.000Z,ALT REF,2008-11-07T00:00:00.000Z,PLACES OF WORSHIP,24208258,-117.1624327,32.7107305,BUDDHIST,NON-SECTARIAN,NOT AVAILABLE,NOT AVAILABLE,N,N
5028,10431484,MASJID AL-RIBAT AL-ISLAMI,SAN DIEGO,CA,92115,1846,SAN DIEGO,6073,2007-10-04T00:00:00.000Z,ALT REF,2007-10-04T00:00:00.000Z,"MOSQUES, RELIGIOUS",24254679,-117.0433131,32.7707208,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
5039,10430446,AMERICAN ISLAMIC SERVICES FOUNDATION,SAN DIEGO,CA,92111,2261,SAN DIEGO,6073,2007-07-16T00:00:00.000Z,PHONE,2007-07-16T00:00:00.000Z,"MOSQUES, RELIGIOUS",24284190,-117.1580349,32.8221106,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
5111,10574853,MARION MEMORIAL AFRICAN METHODIST EPISCOPAL ZION CHURCH,SAN DIEGO,CA,92114,6726,SAN DIEGO,6073,2008-12-05T00:00:00.000Z,ALT REF,2008-12-05T00:00:00.000Z,CHURCHES,24215847,-117.0647935,32.6992022,CHRISTIAN,AMEZ,NOT AVAILABLE,NOT AVAILABLE,Y,N
5120,10460314,GRACE LUTHERAN CHURCH,SAN DIEGO,CA,92103,3501,SAN DIEGO,6073,2008-03-07T00:00:00.000Z,ALT REF,2008-03-07T00:00:00.000Z,CHURCHES,24284784,-117.1459551,32.7501528,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,Y,N
4041,10437774,FIRST UNITED METHODIST CHURCH OF SAN DIEGO,SAN DIEGO,CA,92108,3604,SAN DIEGO,6073,2007-09-24T00:00:00.000Z,ALT REF,2007-09-24T00:00:00.000Z,CHURCHES,135289212,-117.1425418,32.7670896,CHRISTIAN,UMC,NOT AVAILABLE,NOT AVAILABLE,Y,N
4050,10438375,FIRST PRESBYTERIAN CHURCH,SAN DIEGO,CA,92101,2610,SAN DIEGO,6073,2007-10-10T00:00:00.000Z,ALT REF,2007-10-10T00:00:00.000Z,CHURCHES,24210718,-117.1617896,32.7233752,CHRISTIAN,PCUSA,812,NOT AVAILABLE,Y,N
4140,10683730,RIGPA FELLOWSHIP,SAN DIEGO,CA,92121,2970,SAN DIEGO,6073,2008-10-31T00:00:00.000Z,ALT REF,2008-11-03T00:00:00.000Z,PLACES OF WORSHIP,24259993,-117.1824064,32.9038473,BUDDHIST,"VAJRAYANA, NYINGMA",NOT AVAILABLE,NOT AVAILABLE,N,N
4171,10574855,WINSTON CHAPEL AFRICAN METHODIST EPISCOPAL ZION CHURCH,SAN DIEGO,CA,92102,2535,SAN DIEGO,6073,2008-12-04T00:00:00.000Z,ALT REF,2008-12-04T00:00:00.000Z,CHURCHES,121230334,-117.0997901,32.7203644,CHRISTIAN,AMEZ,NOT AVAILABLE,NOT AVAILABLE,Y,N
4177,10576336,TRINITY FELLOWSHIP CHRISTIAN REFORMED CHURCH,SAN DIEGO,CA,92154,1740,SAN DIEGO,6073,2008-12-03T00:00:00.000Z,ALT REF,2008-12-03T00:00:00.000Z,CHURCHES,24201912,-117.0447691,32.5841643,CHRISTIAN,CRC,NOT AVAILABLE,NOT AVAILABLE,Y,N
4215,10447784,HOLY FAMILY CATHOLIC CHURCH,SAN DIEGO,CA,92111,7013,SAN DIEGO,6073,2008-11-10T00:00:00.000Z,ALT REF,2008-11-10T00:00:00.000Z,CHURCHES,24278730,-117.1699727,32.7805988,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
4216,10447802,SAINT CHARLES BORROMEO CATHOLIC CHURCH,SAN DIEGO,CA,92110,4870,SAN DIEGO,6073,2008-11-07T00:00:00.000Z,ALT REF,2008-11-07T00:00:00.000Z,CHURCHES,24205736,-117.2083862,32.7430345,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
4219,10447809,SAINT MICHAEL CHURCH,SAN DIEGO,CA,92139,2205,SAN DIEGO,6073,2008-11-07T00:00:00.000Z,ALT REF,2008-11-07T00:00:00.000Z,CHURCHES,24215192,-117.0558065,32.6737227,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
4236,10584628,CANYON RIDGE BAPTIST CHURCH,SAN DIEGO,CA,92111,5703,SAN DIEGO,6073,2008-11-10T00:00:00.000Z,ALT REF,2008-11-10T00:00:00.000Z,CHURCHES,24594923,-117.1635012,32.8034638,CHRISTIAN,BAPT,NOT AVAILABLE,NOT AVAILABLE,Y,N
4259,10447810,SAINT RITAS CATHOLIC CHURCH,SAN DIEGO,CA,92114,3718,SAN DIEGO,6073,2008-11-07T00:00:00.000Z,ALT REF,2008-11-07T00:00:00.000Z,CHURCHES,24219440,-117.0842972,32.7044523,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
4327,10759971,SAINT ANDREW LUTHERAN CHURCH,SAN DIEGO,CA,92119,3413,SAN DIEGO,6073,2008-11-10T00:00:00.000Z,ALT REF,2008-11-10T00:00:00.000Z,CHURCHES,24257054,-117.019771,32.7925914,CHRISTIAN,ELCA,NOT AVAILABLE,NOT AVAILABLE,Y,N
4328,10684091,BUDDHIST TEMPLE OF SAN DIEGO,SAN DIEGO,CA,92102,3227,SAN DIEGO,6073,2008-11-10T00:00:00.000Z,ALT REF,2008-11-10T00:00:00.000Z,"TEMPLES, RELIGIOUS",24208224,-117.1313862,32.7113693,BUDDHIST,JODO SHINSHU BUDDHISM,NOT AVAILABLE,NOT AVAILABLE,N,N
