OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
427,10448013,SAINT DOMINICS CATHOLIC CHURCH,SAN FRANCISCO,CA,94115,3124,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23599205,-122.4358344,37.7870235,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
428,10429584,CONGREGATION NER TAMID,SAN FRANCISCO,CA,94116,1229,SAN FRANCISCO,6075,2007-07-30T00:00:00.000Z,PHONE,2007-07-30T00:00:00.000Z,SYNAGOGUES,23614909,-122.479019,37.7487709,JUDAIC,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
430,10429047,CONGREGATION TORATH EMETH,SAN FRANCISCO,CA,94121,3618,SAN FRANCISCO,6075,2007-08-08T00:00:00.000Z,ALT REF,2007-08-08T00:00:00.000Z,SYNAGOGUES,23595301,-122.4861505,37.7750678,JUDAIC,ORTHODOX,NOT AVAILABLE,NOT AVAILABLE,N,N
433,10430592,MUSLIM STUDENT ASSOCIATION (MSA) OF THE UNIVERSITY OF SAN FRANCISCO,SAN FRANCISCO,CA,94117,NULL,SAN FRANCISCO,6075,2007-07-17T00:00:00.000Z,PHONE,2007-07-17T00:00:00.000Z,"MOSQUES, RELIGIOUS",23604612,-122.4523599,37.7753467,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
458,10454650,MATTHEW ZION BAPTIST CHURCH,SAN FRANCISCO,CA,94134,1501,SAN FRANCISCO,6075,2008-03-10T00:00:00.000Z,ALT REF,2008-03-10T00:00:00.000Z,CHURCHES,23615945,-122.4063098,37.7332742,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
498,10448015,SAINT EMYDIUS CHURCH,SAN FRANCISCO,CA,94112,1720,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23597148,-122.4620473,37.7233792,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
499,10448008,SAINT BONIFACE CATHOLIC CHURCH,SAN FRANCISCO,CA,94102,3809,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23605183,-122.4130629,37.7816059,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
500,10448021,SAINT JAMES CATHOLIC CHURCH,SAN FRANCISCO,CA,94110,2931,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23605729,-122.4233817,37.7537323,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
501,10448024,SAINT KEVIN CATHOLIC CHURCH,SAN FRANCISCO,CA,94110,5629,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23601297,-122.4147999,37.7386592,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
502,10448004,SAINT AGNES CHURCH,SAN FRANCISCO,CA,94117,2010,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23610752,-122.4461475,37.7714021,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
503,10440561,SAINT AIDANS EPISCOPAL CHURCH,SAN FRANCISCO,CA,94131,2538,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,711546437,-122.4375994,37.7432734,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
504,10452472,PROVIDENCE BAPTIST CHURCH,SAN FRANCISCO,CA,94124,2152,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23610900,-122.3897267,37.7358896,CHRISTIAN,NBC,NOT AVAILABLE,NOT AVAILABLE,Y,N
510,10684118,CHAGDUD GONPA,SAN FRANCISCO,CA,94107,4306,SAN FRANCISCO,6075,2008-10-29T00:00:00.000Z,ALT REF,2008-10-29T00:00:00.000Z,PLACES OF WORSHIP,23593756,-122.3879959,37.7603095,BUDDHIST,"TIBETAN, NYINGMAPA",NOT AVAILABLE,NOT AVAILABLE,N,N
511,10440549,TRUE SUNSHINE EPISCOPAL ANGLICAN CHURCH,SAN FRANCISCO,CA,94133,4222,SAN FRANCISCO,6075,2008-11-05T00:00:00.000Z,ALT REF,2008-11-05T00:00:00.000Z,CHURCHES,23610722,-122.4115958,37.7967203,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
512,10574826,FIRST AFRICAN METHODIST EPISCOPAL ZION CHURCH,SAN FRANCISCO,CA,94118,4412,SAN FRANCISCO,6075,2008-11-05T00:00:00.000Z,ALT REF,2008-11-05T00:00:00.000Z,CHURCHES,23605205,-122.445993,37.7775378,CHRISTIAN,AMEZ,NOT AVAILABLE,NOT AVAILABLE,Y,N
514,10442591,OLD SAINT MARYS CATHEDRAL,SAN FRANCISCO,CA,94108,2501,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,724945438,-122.4057976,37.7928592,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
515,10448029,CHURCH OF THE NATIVITY,SAN FRANCISCO,CA,94102,5154,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23609579,-122.4218893,37.7762937,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
516,10586023,SUNSET MINISTRY,SAN FRANCISCO,CA,94122,4152,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23612372,-122.4961579,37.7535801,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
517,10586027,TEMPLE BAPTIST CHURCH,SAN FRANCISCO,CA,94132,2048,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,706954368,-122.4752523,37.7283677,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
518,10586040,FIRST BURMESE BAPTIST CHURCH OF SAN FRANCISCO,SAN FRANCISCO,CA,94121,2104,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,127806763,-122.4801856,37.7808146,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
519,10585978,IGLESIA BAUTISTA PORTOLA BAPTIST CHURCH,SAN FRANCISCO,CA,94134,1036,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23614239,-122.4207921,37.7282517,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
520,10586021,SAINT PAUL TABERNACLE BAPTIST CHURCH,SAN FRANCISCO,CA,94124,2326,SAN FRANCISCO,6075,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,127814578,-122.3939829,37.7364001,CHRISTIAN,ABC,NOT AVAILABLE,NOT AVAILABLE,Y,N
