OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
436,10431471,AL-HILAL MASJID,SAN JOSE,CA,95131,1801,SANTA CLARA,6085,2008-12-03T00:00:00.000Z,ALT REF,2008-12-05T00:00:00.000Z,"MOSQUES, RELIGIOUS",24590956,-121.8898968,37.4027225,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
566,10446527,MOST HOLY TRINITY CATHOLIC CHURCH,SAN JOSE,CA,95122,1748,SANTA CLARA,6085,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23709238,-121.8274081,37.3304867,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
594,10446516,SAINT FRANCIS OF ASSISI CATHOLIC COMMUNITY,SAN JOSE,CA,95135,1220,SANTA CLARA,6085,2008-11-11T00:00:00.000Z,ALT REF,2008-11-11T00:00:00.000Z,CHURCHES,23720582,-121.7684473,37.2936087,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
596,10433051,BETHEL CHURCH OF SAN JOSE,SAN JOSE,CA,95128,3907,SANTA CLARA,6085,2008-11-11T00:00:00.000Z,ALT REF,2008-11-11T00:00:00.000Z,CHURCHES,23730138,-121.951417,37.3040372,CHRISTIAN,AG,NOT AVAILABLE,NOT AVAILABLE,Y,N
597,10446524,SAINT JULIE BILLIART PARISH,SAN JOSE,CA,95119,1625,SANTA CLARA,6085,2008-11-11T00:00:00.000Z,ALT REF,2008-11-11T00:00:00.000Z,CHURCHES,23726829,-121.8032725,37.227384,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
618,10446535,SAINT MARY OF THE ASSUMPTION CROATIAN CATHOLIC PARISH,SAN JOSE,CA,95126,3711,SANTA CLARA,6085,2008-11-12T00:00:00.000Z,ALT REF,2008-11-12T00:00:00.000Z,CHURCHES,23706266,-121.9057372,37.3139461,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
627,10446526,SAINT MARIA GORETTI CATHOLIC CHURCH,SAN JOSE,CA,95111,1251,SANTA CLARA,6085,2008-11-17T00:00:00.000Z,ALT REF,2008-11-17T00:00:00.000Z,CHURCHES,23713690,-121.8346989,37.2968121,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
629,10446523,SAINT JOHN VIANNEY CATHOLIC CHURCH,SAN JOSE,CA,95127,2011,SANTA CLARA,6085,2008-11-11T00:00:00.000Z,ALT REF,2008-11-11T00:00:00.000Z,CHURCHES,23704214,-121.826865,37.3721741,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
659,10442986,FIVE WOUNDS PORTUGUESE NATIONAL CHURCH,SAN JOSE,CA,95116,2343,SANTA CLARA,6085,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23713204,-121.8637649,37.3495999,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
669,10440707,SAINT FRANCIS EPISCOPAL CHURCH,SAN JOSE,CA,95125,3459,SANTA CLARA,6085,2008-11-07T00:00:00.000Z,ALT REF,2008-11-07T00:00:00.000Z,CHURCHES,23710966,-121.8977529,37.2967945,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
670,10440708,SAINT EDWARDS EPISCOPAL CHURCH,SAN JOSE,CA,95124,5135,SANTA CLARA,6085,2008-11-07T00:00:00.000Z,ALT REF,2008-11-07T00:00:00.000Z,CHURCHES,23715972,-121.9308007,37.2498801,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
674,10446522,SAINT CHRISTOPHER CHURCH,SAN JOSE,CA,95125,4709,SANTA CLARA,6085,2008-11-06T00:00:00.000Z,ALT REF,2008-11-06T00:00:00.000Z,CHURCHES,23699466,-121.9030904,37.2840401,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
750,10446534,SAINT VICTORS CATHOLIC CHURCH,SAN JOSE,CA,95132,2854,SANTA CLARA,6085,2008-11-07T00:00:00.000Z,ALT REF,2008-11-07T00:00:00.000Z,CHURCHES,23714008,-121.8506404,37.397295,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
754,10433057,EAST VALLEY PENTECOSTAL CHURCH,SAN JOSE,CA,95148,2063,SANTA CLARA,6085,2008-11-07T00:00:00.000Z,ALT REF,2008-11-07T00:00:00.000Z,CHURCHES,23717401,-121.7987127,37.3270686,CHRISTIAN,UPC,NOT AVAILABLE,NOT AVAILABLE,Y,N
