OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
7001,10447180,HOLY ROSARY CHURCH,SEATTLE,WA,98116,4201,KING,53033,2009-03-19T00:00:00.000Z,ALT REF,2009-03-19T00:00:00.000Z,CHURCHES,21060360,-122.3858458,47.5650392,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7004,10447184,OUR LADY OF MOUNT VIRGIN CHURCH,SEATTLE,WA,98144,3813,KING,53033,2009-03-20T00:00:00.000Z,ALT REF,2009-03-20T00:00:00.000Z,CHURCHES,21088603,-122.2965461,47.5884868,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7005,10443183,OUR LADY OF THE LAKE CHURCH,SEATTLE,WA,98115,3613,KING,53033,2009-03-20T00:00:00.000Z,ALT REF,2009-03-26T00:00:00.000Z,CHURCHES,21049082,-122.2902432,47.6935999,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7008,10447164,SAINT ALPHONSUS CHURCH,SEATTLE,WA,98107,3005,KING,53033,2009-03-23T00:00:00.000Z,ALT REF,2009-03-23T00:00:00.000Z,CHURCHES,21043107,-122.3757229,47.671162,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7011,10447170,SAINT EDWARD CHURCH,SEATTLE,WA,98118,2403,KING,53033,2009-03-23T00:00:00.000Z,ALT REF,2009-03-23T00:00:00.000Z,CHURCHES,21081604,-122.2804706,47.5507752,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
7019,10442787,SAINT PAUL CHURCH,SEATTLE,WA,98178,2251,KING,53033,2009-03-24T00:00:00.000Z,ALT REF,2009-03-24T00:00:00.000Z,CHURCHES,21081275,-122.2626373,47.51065,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
6004,10441152,SAINT JOHN THE BAPTIST EPISCOPAL CHURCH,SEATTLE,WA,98116,3302,KING,53033,2009-03-24T00:00:00.000Z,ALT REF,2009-03-24T00:00:00.000Z,CHURCHES,727566450,-122.3862899,47.5758217,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6007,10576028,CATHERINE MEMORIAL AFRICAN METHODIST EPISCOPAL ZION CHURCH,SEATTLE,WA,98118,2625,KING,53033,2009-03-17T00:00:00.000Z,ALT REF,2009-03-17T00:00:00.000Z,CHURCHES,21081536,-122.2870846,47.5485307,CHRISTIAN,AMEZ,NOT AVAILABLE,NOT AVAILABLE,Y,N
6009,10431773,MASJID AL-TAWHEED,SEATTLE,WA,98106,2547,KING,53033,2009-03-19T00:00:00.000Z,ALT REF,2009-03-19T00:00:00.000Z,"MOSQUES, RELIGIOUS",21085499,-122.3490574,47.5230026,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
6021,10438531,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - TIFFANY PARK WARD,SEATTLE,WA,98178,NULL,KING,53033,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,21071392,-122.2295646,47.4905668,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6024,10438575,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SHORELINE WARD,SEATTLE,WA,98133,7302,KING,53033,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,21051158,-122.3578714,47.7253185,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6025,10438576,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BEVERLY PARK WARD,SEATTLE,WA,98108,NULL,KING,53033,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,124505989,-122.3321007,47.5176026,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6027,10438624,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - UNIVERSITY 2ND (STUDENT SINGLE) WARD,SEATTLE,WA,98105,6607,KING,53033,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,129663119,-122.3125216,47.6540428,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6080,10439353,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SEATAC WARD,SEATTLE,WA,98166,1254,KING,53033,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,21095827,-122.3469521,47.477279,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6090,10439414,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GREENWOOD WARD,SEATTLE,WA,98133,7302,KING,53033,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,21051158,-122.3578645,47.7253111,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6091,10439415,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - UNIVERSITY 1ST (STUDENT SINGLE) WARD,SEATTLE,WA,98105,6607,KING,53033,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,129663119,-122.312501,47.6540469,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6093,10439423,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WEST SEATTLE WARD,SEATTLE,WA,98116,3713,KING,53033,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,21059548,-122.3885572,47.5681402,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
6100,10439452,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SEATTLE 7TH WARD,SEATTLE,WA,98105,2748,KING,53033,2007-10-17T00:00:00.000Z,ALT REF,2007-10-17T00:00:00.000Z,CHURCHES,21048078,-122.3208577,47.6702072,CHRISTIAN,LDS,NOT AVAILABLE,NOT AVAILABLE,Y,N
