OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,CONTDATE,CONTHOW,GEODATE,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,MEMBERS,LOC_TYPE,PROT,CATH
33795,10440204,CHRIST CHURCH - GEORGETOWN,WASHINGTON,DC,20007,3116,DISTRICT OF COLUMBIA,11001,2007-11-07T00:00:00.000Z,ALT REF,2007-11-07T00:00:00.000Z,CHURCHES,18352515,-77.0614552,38.9082943,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
33800,10441742,CHURCH OF THE ANNUNCIATION,WASHINGTON,DC,20016,5101,DISTRICT OF COLUMBIA,11001,2009-04-22T00:00:00.000Z,ALT REF,2009-04-30T00:00:00.000Z,CHURCHES,18350280,-77.0762507,38.9299062,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
33802,10441534,SAINT DAVIDS EPISCOPAL CHURCH,WASHINGTON,DC,20016,2612,DISTRICT OF COLUMBIA,11001,2009-04-29T00:00:00.000Z,ALT REF,2009-04-29T00:00:00.000Z,CHURCHES,18418944,-77.105935,38.9322894,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
33808,10430297,THE ISLAMIC CENTER,WASHINGTON,DC,20008,2826,DISTRICT OF COLUMBIA,11001,2009-04-23T00:00:00.000Z,ALT REF,2009-04-30T00:00:00.000Z,"MOSQUES, RELIGIOUS",18351525,-77.0566514,38.9170968,MUSLIM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,N
33809,10441752,EPIPHANY CATHOLIC CHURCH,WASHINGTON,DC,20007,3321,DISTRICT OF COLUMBIA,11001,2009-04-22T00:00:00.000Z,ALT REF,2009-04-22T00:00:00.000Z,CHURCHES,18352563,-77.0564378,38.9074695,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
33818,10441515,SAINT JOHNS CHURCH,WASHINGTON,DC,20007,2842,DISTRICT OF COLUMBIA,11001,2009-04-29T00:00:00.000Z,ALT REF,2009-04-29T00:00:00.000Z,CHURCHES,18352542,-77.0650263,38.9074636,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
33828,10445613,SAINT BLAISE CHURCH,WASHINGTON,DC,20007,1564,DISTRICT OF COLUMBIA,11001,2008-03-27T00:00:00.000Z,ALT REF,2008-03-27T00:00:00.000Z,CHURCHES,18474951,-77.094799,38.9163125,CHRISTIAN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N,Y
33865,10441528,EPISCOPAL CHURCH HOUSE - CHAPEL OF THE ANNUNCIATION,WASHINGTON,DC,20016,NULL,DISTRICT OF COLUMBIA,11001,2007-11-08T00:00:00.000Z,ALT REF,2007-11-08T00:00:00.000Z,CHURCHES,18350288,-77.0717212,38.9296588,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
33866,10441529,SAINT PATRICK'S EPISCOPAL CHURCH,WASHINGTON,DC,20007,1554,DISTRICT OF COLUMBIA,11001,2007-11-07T00:00:00.000Z,ALT REF,2007-11-07T00:00:00.000Z,CHURCHES,18409108,-77.0911928,38.916098,CHRISTIAN,EPIS,NOT AVAILABLE,NOT AVAILABLE,Y,N
33867,10685032,SHAMBHALA MEDITATION CENTER OF WASHINGTON DISTRICT OF COLUMBIA,WASHINGTON,DC,20008,2463,DISTRICT OF COLUMBIA,11001,2009-04-29T00:00:00.000Z,ALT REF,2009-05-06T00:00:00.000Z,PLACES OF WORSHIP,724265512,-77.0592904,38.9362494,BUDDHIST,"TIBETAN, KAGYU/NGINGMA",NOT AVAILABLE,NOT AVAILABLE,N,N
