"Timestamp","Accelerometer.X","Accelerometer.Y","Accelerometer.Z","DATE_TIME"
"2/8/2020 18:03:56.038",-0.063,0.98,0.004,2020-02-08 18:03:56.038
"2/8/2020 18:03:56.050",-0.051,0.98,0,2020-02-08 18:03:56.049
"2/8/2020 18:03:56.063",-0.055,0.98,-0.008,2020-02-08 18:03:56.062
"2/8/2020 18:03:56.075",-0.063,0.98,-0.012,2020-02-08 18:03:56.075
"2/8/2020 18:03:56.088",-0.066,0.973,-0.012,2020-02-08 18:03:56.088
"2/8/2020 18:03:56.100",-0.066,0.973,-0.004,2020-02-08 18:03:56.099
"2/8/2020 18:03:56.113",-0.074,0.973,-0.004,2020-02-08 18:03:56.112
"2/8/2020 18:03:56.125",-0.074,0.98,-0.004,2020-02-08 18:03:56.125
"2/8/2020 18:03:56.138",-0.059,0.98,-0.008,2020-02-08 18:03:56.138
"2/8/2020 18:03:56.150",-0.059,0.977,-0.008,2020-02-08 18:03:56.150
"2/8/2020 18:03:56.163",-0.059,0.977,-0.008,2020-02-08 18:03:56.163
"2/8/2020 18:03:56.175",-0.074,0.965,-0.008,2020-02-08 18:03:56.174
"2/8/2020 18:03:56.188",-0.082,0.965,-0.008,2020-02-08 18:03:56.187
"2/8/2020 18:03:56.200",-0.082,0.969,-0.008,2020-02-08 18:03:56.200
"2/8/2020 18:03:56.213",-0.078,0.969,-0.008,2020-02-08 18:03:56.213
"2/8/2020 18:03:56.225",-0.078,0.973,-0.004,2020-02-08 18:03:56.224
"2/8/2020 18:03:56.238",-0.063,0.973,-0.008,2020-02-08 18:03:56.237
"2/8/2020 18:03:56.250",-0.059,0.973,-0.008,2020-02-08 18:03:56.250
"2/8/2020 18:03:56.263",-0.066,0.973,-0.012,2020-02-08 18:03:56.263
"2/8/2020 18:03:56.275",-0.074,0.969,-0.012,2020-02-08 18:03:56.275
"2/8/2020 18:03:56.288",-0.074,0.973,-0.012,2020-02-08 18:03:56.288
"2/8/2020 18:03:56.300",-0.07,0.977,-0.012,2020-02-08 18:03:56.299
"2/8/2020 18:03:56.313",-0.07,0.98,-0.008,2020-02-08 18:03:56.312
"2/8/2020 18:03:56.325",-0.07,0.973,-0.008,2020-02-08 18:03:56.325
"2/8/2020 18:03:56.338",-0.07,0.98,-0.008,2020-02-08 18:03:56.338
"2/8/2020 18:03:56.350",-0.07,0.977,-0.012,2020-02-08 18:03:56.349
"2/8/2020 18:03:56.363",-0.07,0.969,-0.008,2020-02-08 18:03:56.362
"2/8/2020 18:03:56.375",-0.074,0.977,-0.004,2020-02-08 18:03:56.375
"2/8/2020 18:03:56.388",-0.07,0.98,-0.004,2020-02-08 18:03:56.388
"2/8/2020 18:03:56.400",-0.066,0.977,-0.004,2020-02-08 18:03:56.400
"2/8/2020 18:03:56.413",-0.07,0.977,0,2020-02-08 18:03:56.413
