"Timestamp","Accelerometer.X","Accelerometer.Y","Accelerometer.Z","DATE_TIME"
"2/8/2020 18:03:56.038",0.266,0.066,0.957,2020-02-08 18:03:56.038
"2/8/2020 18:03:56.050",0.266,0.059,0.957,2020-02-08 18:03:56.049
"2/8/2020 18:03:56.063",0.262,0.055,0.961,2020-02-08 18:03:56.062
"2/8/2020 18:03:56.075",0.266,0.043,0.965,2020-02-08 18:03:56.075
"2/8/2020 18:03:56.088",0.27,0.035,0.961,2020-02-08 18:03:56.088
"2/8/2020 18:03:56.100",0.266,0.02,0.949,2020-02-08 18:03:56.099
"2/8/2020 18:03:56.113",0.266,0.012,0.949,2020-02-08 18:03:56.112
"2/8/2020 18:03:56.125",0.266,0.016,0.934,2020-02-08 18:03:56.125
"2/8/2020 18:03:56.138",0.27,0.027,0.934,2020-02-08 18:03:56.138
"2/8/2020 18:03:56.150",0.273,0.004,0.945,2020-02-08 18:03:56.150
"2/8/2020 18:03:56.163",0.273,-0.008,0.949,2020-02-08 18:03:56.163
"2/8/2020 18:03:56.175",0.273,0.004,0.941,2020-02-08 18:03:56.174
"2/8/2020 18:03:56.188",0.277,0.004,0.945,2020-02-08 18:03:56.187
"2/8/2020 18:03:56.200",0.277,0.016,0.934,2020-02-08 18:03:56.200
"2/8/2020 18:03:56.213",0.281,0.035,0.93,2020-02-08 18:03:56.213
"2/8/2020 18:03:56.225",0.289,0.035,0.945,2020-02-08 18:03:56.224
"2/8/2020 18:03:56.238",0.301,0.02,0.977,2020-02-08 18:03:56.237
"2/8/2020 18:03:56.250",0.301,-0.004,1.004,2020-02-08 18:03:56.250
"2/8/2020 18:03:56.263",0.301,-0.008,1.008,2020-02-08 18:03:56.263
"2/8/2020 18:03:56.275",0.301,0.004,0.996,2020-02-08 18:03:56.275
"2/8/2020 18:03:56.288",0.293,0.02,0.98,2020-02-08 18:03:56.288
"2/8/2020 18:03:56.300",0.277,0.023,0.969,2020-02-08 18:03:56.299
"2/8/2020 18:03:56.313",0.27,0.02,0.961,2020-02-08 18:03:56.312
"2/8/2020 18:03:56.325",0.27,0.012,0.961,2020-02-08 18:03:56.325
"2/8/2020 18:03:56.338",0.266,0.008,0.965,2020-02-08 18:03:56.338
"2/8/2020 18:03:56.350",0.258,0,0.965,2020-02-08 18:03:56.349
"2/8/2020 18:03:56.363",0.258,0.004,0.965,2020-02-08 18:03:56.362
"2/8/2020 18:03:56.375",0.242,0.008,0.953,2020-02-08 18:03:56.375
"2/8/2020 18:03:56.388",0.238,0.016,0.941,2020-02-08 18:03:56.388
"2/8/2020 18:03:56.400",0.25,0.02,0.938,2020-02-08 18:03:56.400
"2/8/2020 18:03:56.413",0.254,0.02,0.945,2020-02-08 18:03:56.413
"2/8/2020 18:03:56.425",0.262,0.023,0.953,2020-02-08 18:03:56.424
"2/8/2020 18:03:56.438",0.266,0.035,0.965,2020-02-08 18:03:56.437
"2/8/2020 18:03:56.450",0.27,0.051,0.969,2020-02-08 18:03:56.450
"2/8/2020 18:03:56.463",0.27,0.059,0.973,2020-02-08 18:03:56.463
"2/8/2020 18:03:56.475",0.266,0.059,0.977,2020-02-08 18:03:56.474
"2/8/2020 18:03:56.488",0.27,0.055,0.977,2020-02-08 18:03:56.487
"2/8/2020 18:03:56.500",0.262,0.055,0.965,2020-02-08 18:03:56.500
"2/8/2020 18:03:56.513",0.27,0.047,0.957,2020-02-08 18:03:56.513
"2/8/2020 18:03:56.525",0.27,0.035,0.934,2020-02-08 18:03:56.525
"2/8/2020 18:03:56.538",0.27,0.031,0.93,2020-02-08 18:03:56.538
"2/8/2020 18:03:56.550",0.277,0.02,0.941,2020-02-08 18:03:56.549
"2/8/2020 18:03:56.563",0.285,-0.004,0.949,2020-02-08 18:03:56.562
"2/8/2020 18:03:56.575",0.281,-0.035,0.953,2020-02-08 18:03:56.575
"2/8/2020 18:03:56.588",0.273,-0.047,0.945,2020-02-08 18:03:56.588
"2/8/2020 18:03:56.600",0.27,-0.043,0.926,2020-02-08 18:03:56.599
"2/8/2020 18:03:56.613",0.27,-0.031,0.906,2020-02-08 18:03:56.612
"2/8/2020 18:03:56.625",0.273,-0.027,0.91,2020-02-08 18:03:56.625
"2/8/2020 18:03:56.638",0.273,-0.039,0.922,2020-02-08 18:03:56.638
"2/8/2020 18:03:56.650",0.277,-0.063,0.93,2020-02-08 18:03:56.650
"2/8/2020 18:03:56.663",0.289,-0.102,0.953,2020-02-08 18:03:56.663
"2/8/2020 18:03:56.675",0.277,-0.133,0.953,2020-02-08 18:03:56.674
"2/8/2020 18:03:56.688",0.266,-0.148,0.941,2020-02-08 18:03:56.687
"2/8/2020 18:03:56.700",0.25,-0.113,0.93,2020-02-08 18:03:56.700
"2/8/2020 18:03:56.713",0.215,-0.055,0.941,2020-02-08 18:03:56.713
"2/8/2020 18:03:56.725",0.203,-0.074,0.965,2020-02-08 18:03:56.724
"2/8/2020 18:03:56.738",0.176,-0.164,0.957,2020-02-08 18:03:56.737
"2/8/2020 18:03:56.750",0.164,-0.188,0.926,2020-02-08 18:03:56.750
"2/8/2020 18:03:56.763",0.152,-0.176,0.879,2020-02-08 18:03:56.763
"2/8/2020 18:03:56.775",0.129,-0.09,0.824,2020-02-08 18:03:56.775
"2/8/2020 18:03:56.788",0.094,0.066,0.777,2020-02-08 18:03:56.788
"2/8/2020 18:03:56.800",0.082,0.223,0.77,2020-02-08 18:03:56.799
"2/8/2020 18:03:56.813",0.051,0.297,0.785,2020-02-08 18:03:56.812
"2/8/2020 18:03:56.825",-0.008,0.328,0.762,2020-02-08 18:03:56.825
"2/8/2020 18:03:56.838",-0.051,0.422,0.723,2020-02-08 18:03:56.838
"2/8/2020 18:03:56.850",-0.063,0.586,0.652,2020-02-08 18:03:56.849
"2/8/2020 18:03:56.863",-0.027,0.707,0.625,2020-02-08 18:03:56.862
"2/8/2020 18:03:56.875",0.035,0.773,0.633,2020-02-08 18:03:56.875
"2/8/2020 18:03:56.888",0.113,0.867,0.66,2020-02-08 18:03:56.888
"2/8/2020 18:03:56.900",0.223,1.031,0.695,2020-02-08 18:03:56.900
"2/8/2020 18:03:56.913",0.336,1.207,0.746,2020-02-08 18:03:56.913
"2/8/2020 18:03:56.925",0.461,1.426,0.773,2020-02-08 18:03:56.924
"2/8/2020 18:03:56.938",0.664,1.727,0.727,2020-02-08 18:03:56.937
"2/8/2020 18:03:56.950",0.879,2,0.578,2020-02-08 18:03:56.950
"2/8/2020 18:03:56.963",1.031,2.047,0.359,2020-02-08 18:03:56.963
"2/8/2020 18:03:56.975",1.102,1.867,0.156,2020-02-08 18:03:56.974
"2/8/2020 18:03:56.988",1.117,1.684,0.043,2020-02-08 18:03:56.987
"2/8/2020 18:03:57.000",1.121,1.645,0.055,2020-02-08 18:03:57.000
"2/8/2020 18:03:57.013",1.113,1.504,0.113,2020-02-08 18:03:57.013
"2/8/2020 18:03:57.025",1.129,1.309,0.215,2020-02-08 18:03:57.025
"2/8/2020 18:03:57.038",1.168,1.031,0.328,2020-02-08 18:03:57.038
"2/8/2020 18:03:57.050",1.18,0.648,0.453,2020-02-08 18:03:57.049
"2/8/2020 18:03:57.063",1.211,0.316,0.582,2020-02-08 18:03:57.062
"2/8/2020 18:03:57.075",1.172,0.023,0.73,2020-02-08 18:03:57.075
"2/8/2020 18:03:57.088",1.129,-0.203,0.867,2020-02-08 18:03:57.088
"2/8/2020 18:03:57.100",1.059,-0.34,0.969,2020-02-08 18:03:57.099
"2/8/2020 18:03:57.113",0.957,-0.406,1.016,2020-02-08 18:03:57.112
"2/8/2020 18:03:57.125",0.836,-0.398,1.016,2020-02-08 18:03:57.125
"2/8/2020 18:03:57.138",0.73,-0.336,0.949,2020-02-08 18:03:57.138
"2/8/2020 18:03:57.150",0.68,-0.262,0.836,2020-02-08 18:03:57.150
"2/8/2020 18:03:57.163",0.664,-0.191,0.727,2020-02-08 18:03:57.163
"2/8/2020 18:03:57.175",0.656,-0.172,0.625,2020-02-08 18:03:57.174
"2/8/2020 18:03:57.188",0.633,-0.172,0.527,2020-02-08 18:03:57.187
"2/8/2020 18:03:57.200",0.574,-0.152,0.434,2020-02-08 18:03:57.200
"2/8/2020 18:03:57.213",0.504,-0.172,0.34,2020-02-08 18:03:57.213
"2/8/2020 18:03:57.225",0.48,-0.207,0.273,2020-02-08 18:03:57.224
"2/8/2020 18:03:57.238",0.477,-0.27,0.23,2020-02-08 18:03:57.237
"2/8/2020 18:03:57.250",0.5,-0.309,0.203,2020-02-08 18:03:57.250
"2/8/2020 18:03:57.263",0.559,-0.336,0.238,2020-02-08 18:03:57.263
"2/8/2020 18:03:57.275",0.625,-0.383,0.297,2020-02-08 18:03:57.275
"2/8/2020 18:03:57.288",0.664,-0.418,0.316,2020-02-08 18:03:57.288
"2/8/2020 18:03:57.300",0.711,-0.48,0.328,2020-02-08 18:03:57.299
"2/8/2020 18:03:57.313",0.711,-0.504,0.281,2020-02-08 18:03:57.312
"2/8/2020 18:03:57.325",0.754,-0.41,0.215,2020-02-08 18:03:57.325
"2/8/2020 18:03:57.338",0.816,-0.211,0.137,2020-02-08 18:03:57.338
"2/8/2020 18:03:57.350",0.84,0.066,0.09,2020-02-08 18:03:57.349
"2/8/2020 18:03:57.363",0.813,0.355,0.059,2020-02-08 18:03:57.362
"2/8/2020 18:03:57.375",0.664,0.484,0.047,2020-02-08 18:03:57.375
