"Timestamp","Accelerometer.X","Accelerometer.Y","Accelerometer.Z","DATE_TIME"
"2/8/2020 18:03:56.038",0.012,1.039,-0.051,2020-02-08 18:03:56.038
"2/8/2020 18:03:56.050",0.016,1.039,-0.016,2020-02-08 18:03:56.049
"2/8/2020 18:03:56.063",0.02,1.055,0.039,2020-02-08 18:03:56.062
"2/8/2020 18:03:56.075",0.043,1.051,0.016,2020-02-08 18:03:56.075
"2/8/2020 18:03:56.088",0.137,1.078,-0.059,2020-02-08 18:03:56.088
"2/8/2020 18:03:56.100",0.336,1.156,-0.18,2020-02-08 18:03:56.099
"2/8/2020 18:03:56.113",0.582,1.285,-0.051,2020-02-08 18:03:56.112
"2/8/2020 18:03:56.125",0.449,1.535,0.156,2020-02-08 18:03:56.125
"2/8/2020 18:03:56.138",-0.109,1.652,0.234,2020-02-08 18:03:56.138
"2/8/2020 18:03:56.150",-0.605,1.684,0.211,2020-02-08 18:03:56.150
"2/8/2020 18:03:56.163",-0.773,1.703,0.27,2020-02-08 18:03:56.163
"2/8/2020 18:03:56.175",-0.828,1.66,0.117,2020-02-08 18:03:56.174
"2/8/2020 18:03:56.188",-1.133,1.391,-0.059,2020-02-08 18:03:56.187
"2/8/2020 18:03:56.200",-1.309,1.199,-0.223,2020-02-08 18:03:56.200
"2/8/2020 18:03:56.213",-0.988,1.121,-0.453,2020-02-08 18:03:56.213
"2/8/2020 18:03:56.225",-0.457,1.063,-0.602,2020-02-08 18:03:56.224
"2/8/2020 18:03:56.238",-0.188,0.906,-0.637,2020-02-08 18:03:56.237
"2/8/2020 18:03:56.250",-0.184,0.684,-0.488,2020-02-08 18:03:56.250
"2/8/2020 18:03:56.263",-0.254,0.555,-0.328,2020-02-08 18:03:56.263
"2/8/2020 18:03:56.275",-0.352,0.426,-0.195,2020-02-08 18:03:56.275
"2/8/2020 18:03:56.288",-0.422,0.27,-0.051,2020-02-08 18:03:56.288
"2/8/2020 18:03:56.300",-0.473,0.137,0.074,2020-02-08 18:03:56.299
"2/8/2020 18:03:56.313",-0.496,0.051,0.176,2020-02-08 18:03:56.312
"2/8/2020 18:03:56.325",-0.535,0.031,0.246,2020-02-08 18:03:56.325
"2/8/2020 18:03:56.338",-0.574,0.016,0.289,2020-02-08 18:03:56.338
"2/8/2020 18:03:56.350",-0.57,0.031,0.285,2020-02-08 18:03:56.349
"2/8/2020 18:03:56.363",-0.465,0.078,0.215,2020-02-08 18:03:56.362
"2/8/2020 18:03:56.375",-0.348,0.129,0.133,2020-02-08 18:03:56.375
"2/8/2020 18:03:56.388",-0.332,0.172,0.105,2020-02-08 18:03:56.388
"2/8/2020 18:03:56.400",-0.359,0.207,0.113,2020-02-08 18:03:56.400
"2/8/2020 18:03:56.413",-0.449,0.242,0.133,2020-02-08 18:03:56.413
"2/8/2020 18:03:56.425",-0.566,0.254,0.137,2020-02-08 18:03:56.424
"2/8/2020 18:03:56.438",-0.664,0.25,0.113,2020-02-08 18:03:56.437
"2/8/2020 18:03:56.450",-0.707,0.262,0.086,2020-02-08 18:03:56.450
"2/8/2020 18:03:56.463",-0.688,0.266,0.07,2020-02-08 18:03:56.463
"2/8/2020 18:03:56.475",-0.574,0.277,0.047,2020-02-08 18:03:56.474
"2/8/2020 18:03:56.488",-0.352,0.313,0.027,2020-02-08 18:03:56.487
"2/8/2020 18:03:56.500",-0.055,0.305,0.07,2020-02-08 18:03:56.500
"2/8/2020 18:03:56.513",0.305,0.266,0.191,2020-02-08 18:03:56.513
"2/8/2020 18:03:56.525",0.652,0.172,0.359,2020-02-08 18:03:56.525
"2/8/2020 18:03:56.538",0.883,0.07,0.539,2020-02-08 18:03:56.538
"2/8/2020 18:03:56.550",1.098,-0.023,0.695,2020-02-08 18:03:56.549
"2/8/2020 18:03:56.563",1.273,-0.047,0.813,2020-02-08 18:03:56.562
"2/8/2020 18:03:56.575",1.152,0.082,0.855,2020-02-08 18:03:56.575
"2/8/2020 18:03:56.588",0.84,0.363,0.848,2020-02-08 18:03:56.588
"2/8/2020 18:03:56.600",0.773,2.145,-0.32,2020-02-08 18:03:56.599
"2/8/2020 18:03:56.613",-0.629,5.219,-0.285,2020-02-08 18:03:56.612
"2/8/2020 18:03:56.625",0.25,-0.617,-2.238,2020-02-08 18:03:56.625
"2/8/2020 18:03:56.638",1.543,-1,-0.773,2020-02-08 18:03:56.638
"2/8/2020 18:03:56.650",2.883,-0.543,-0.027,2020-02-08 18:03:56.650
"2/8/2020 18:03:56.663",1.059,-0.156,0.035,2020-02-08 18:03:56.663
"2/8/2020 18:03:56.675",-0.563,0.441,-0.133,2020-02-08 18:03:56.674
"2/8/2020 18:03:56.688",-0.492,1.008,-0.246,2020-02-08 18:03:56.687
"2/8/2020 18:03:56.700",-0.324,1.734,0.082,2020-02-08 18:03:56.700
"2/8/2020 18:03:56.713",-0.102,2.008,0.148,2020-02-08 18:03:56.713
