"Timestamp","Accelerometer.X","Accelerometer.Y","Accelerometer.Z","DATE_TIME"
"2/8/2020 18:03:56.038",-0.23,0.063,0.941,2020-02-08 18:03:56.038
"2/8/2020 18:03:56.050",-0.223,0.121,0.918,2020-02-08 18:03:56.049
"2/8/2020 18:03:56.063",-0.215,0.148,0.914,2020-02-08 18:03:56.062
"2/8/2020 18:03:56.075",-0.203,0.125,0.934,2020-02-08 18:03:56.075
"2/8/2020 18:03:56.088",-0.203,0.074,0.965,2020-02-08 18:03:56.088
"2/8/2020 18:03:56.100",-0.199,0.035,0.988,2020-02-08 18:03:56.099
"2/8/2020 18:03:56.113",-0.199,0.016,1,2020-02-08 18:03:56.112
"2/8/2020 18:03:56.125",-0.191,0.023,0.992,2020-02-08 18:03:56.125
"2/8/2020 18:03:56.138",-0.184,0.039,0.98,2020-02-08 18:03:56.138
"2/8/2020 18:03:56.150",-0.176,0.059,0.957,2020-02-08 18:03:56.150
"2/8/2020 18:03:56.163",-0.164,0.047,0.93,2020-02-08 18:03:56.163
"2/8/2020 18:03:56.175",-0.152,0.023,0.922,2020-02-08 18:03:56.174
"2/8/2020 18:03:56.188",-0.137,0.008,0.926,2020-02-08 18:03:56.187
"2/8/2020 18:03:56.200",-0.133,-0.02,0.914,2020-02-08 18:03:56.200
"2/8/2020 18:03:56.213",-0.133,-0.031,0.891,2020-02-08 18:03:56.213
"2/8/2020 18:03:56.225",-0.121,0,0.871,2020-02-08 18:03:56.224
"2/8/2020 18:03:56.238",-0.117,0.027,0.883,2020-02-08 18:03:56.237
"2/8/2020 18:03:56.250",-0.121,0.016,0.902,2020-02-08 18:03:56.250
"2/8/2020 18:03:56.263",-0.137,-0.004,0.934,2020-02-08 18:03:56.263
"2/8/2020 18:03:56.275",-0.145,-0.004,0.961,2020-02-08 18:03:56.275
"2/8/2020 18:03:56.288",-0.145,0,0.973,2020-02-08 18:03:56.288
"2/8/2020 18:03:56.300",-0.148,-0.004,0.957,2020-02-08 18:03:56.299
"2/8/2020 18:03:56.313",-0.16,-0.008,0.941,2020-02-08 18:03:56.312
"2/8/2020 18:03:56.325",-0.164,0.023,0.926,2020-02-08 18:03:56.325
"2/8/2020 18:03:56.338",-0.156,0.07,0.93,2020-02-08 18:03:56.338
"2/8/2020 18:03:56.350",-0.152,0.102,0.953,2020-02-08 18:03:56.349
"2/8/2020 18:03:56.363",-0.16,0.102,0.969,2020-02-08 18:03:56.362
"2/8/2020 18:03:56.375",-0.172,0.094,0.977,2020-02-08 18:03:56.375
"2/8/2020 18:03:56.388",-0.172,0.078,0.973,2020-02-08 18:03:56.388
"2/8/2020 18:03:56.400",-0.164,0.074,0.953,2020-02-08 18:03:56.400
"2/8/2020 18:03:56.413",-0.145,0.09,0.934,2020-02-08 18:03:56.413
"2/8/2020 18:03:56.425",-0.145,0.117,0.926,2020-02-08 18:03:56.424
"2/8/2020 18:03:56.438",-0.152,0.129,0.934,2020-02-08 18:03:56.437
"2/8/2020 18:03:56.450",-0.16,0.129,0.945,2020-02-08 18:03:56.450
"2/8/2020 18:03:56.463",-0.16,0.117,0.934,2020-02-08 18:03:56.463
"2/8/2020 18:03:56.475",-0.152,0.125,0.902,2020-02-08 18:03:56.474
"2/8/2020 18:03:56.488",-0.16,0.191,0.859,2020-02-08 18:03:56.487
"2/8/2020 18:03:56.500",-0.176,0.289,0.82,2020-02-08 18:03:56.500
