Importer,Exporter,total
TR,NL,1
XV,RS,1
BE,NO,43
BE,NO,43
DK,IS,700
XV,RS,1
BR,FR,12
BR,FR,4
BR,FR,2
CH,DE,4
US,IR,100
AU,NZ,2
CA,US,1
IL,DE,2
JP,US,1
JP,US,1
KP,CN,1
KR,CN,1
KR,JP,1
US,CA,5
KP,CN,1
US,DK,10
CA,US,3
MC,FR,2
GB,JE,2
GB,JE,3
CN,GB,1
MC,FR,2
SG,NL,4
SG,NL,4
ZA,NL,10
BE,CH,1
CH,BE,1
JP,NL,2
JP,TH,5
BE,CL,7.5
BE,CL,7500
CH,BE,8
CH,DE,4
CH,IT,163
JP,NL,139
NL,CL,60
NL,CL,30000
US,NL,29
DE,PE,20
DE,PE,120
AT,CH,7
AT,CH,1
CA,GL,700
CA,US,11
CA,US,3
CA,US,1
DE,CH,1
DE,RU,2
DK,GL,3
NL,NO,1438
NL,US,2
NO,GL,1000
RU,US,20
US,CA,1
US,CA,1
US,NL,1
US,NL,1
FR,TN,1
XX,TN,1
FR,CH,36.33
FR,TN,3
XX,TN,3
GB,US,60
JP,ZZ,5
XX,TN,1
CA,US,25
NL,CV,1
NL,CV,10
FO,NO,864
IS,NO,20
JP,NO,199000
JP,ZZ,10
KR,CN,26
US,AU,1
US,DE,1
US,FI,1
US,IS,230
US,IS,1
US,IS,3
US,NO,300
US,NO,1970
US,NO,0.85
US,NO,32
US,NO,1
US,NO,4
US,RU,1
US,SE,1
US,XX,1
JP,ZZ,333
JP,ZZ,45
US,AQ,5
US,CA,1
DE,CL,63
JP,ZZ,90
JP,ZZ,100
US,AU,2
US,JP,0.2
US,JP,1
JP,ZZ,25
JP,ZZ,220
US,JP,24.2
US,JP,91
ES,IS,10
JP,ZZ,15
NL,NO,5
US,JP,850
US,JP,0.4
US,JP,1
US,MX,1
US,NZ,12
CA,US,4
DK,GL,1
ES,GL,10
ES,GL,10
ES,IS,100
JP,ZZ,15
NL,NO,2
US,GB,8
US,JP,0.1
US,JP,1
CA,US,11
DE,VC,1
DK,GL,5
DK,GL,1
DK,GL,101
ES,IS,10
FR,MG,98
FR,TN,1
GB,US,1
JP,ZZ,80
NL,NO,168
SE,GL,1
US,AQ,144
US,AQ,40
US,AU,158
US,CA,16
US,GB,26
US,NZ,47
US,OM,98
XX,TN,1
ZA,NA,1
ID,FR,4
IR,DE,22
XX,IT,2
ID,FR,4
AR,US,2
CA,US,1
FR,FR,2
FR,US,1
GB,QA,6
HU,US,3
IT,US,2
MX,US,2
OM,AE,2
PK,AE,10
VN,DE,5
AE,SK,2
AT,TJ,1
BY,RU,4
CA,PK,1
DE,PK,2
DE,TJ,1
ES,PK,1
FI,RU,2
ID,DE,5
MX,PK,1
MX,US,1
NO,DK,1
NO,DK,1
PH,DE,1
PH,DE,1
RU,BY,1
SG,FI,8
US,CA,1
US,PK,4
US,TJ,3
UZ,RU,1
US,LA,2
US,LA,1
US,LA,4
US,LA,26
US,LA,2
US,LA,1
TN,ES,1
TN,ES,57
CN,GB,1
PT,US,4
KP,CN,1
IT,US,1
MX,US,1
AE,US,34
AR,ZA,1
AT,ZA,2
BE,ZA,2
CA,US,2
CZ,ZA,2
DE,ZA,3
DK,XX,1
DK,ZA,1
DK,ZA,1
DK,ZA,2
ES,ZA,5
FI,ZA,2
FR,FR,2
FR,FR,2
FR,US,1
FR,US,1
FR,ZA,1
HU,ZA,3
IT,US,1
IT,ZA,1
LT,ZA,1
MX,US,1
MX,US,2
OM,AE,2
PK,ZA,2
PT,ZA,1
RS,ZA,3
SE,ZA,3
SK,ZA,1
SK,ZA,5
TD,AE,50
US,BE,1
US,CA,454
VN,AE,3
VN,AE,7
VN,AE,3
VN,DE,3
VN,PL,2
CH,FR,1
CH,GB,1
CN,GB,1
CZ,CH,2
GB,QA,8
IT,US,1
KW,AE,6
KW,AE,4
KW,AE,3
LT,ZA,1
MX,US,1
MX,US,1
OM,AE,106
OM,AE,4
OM,AE,2
PK,AE,6
QA,AE,90
QA,AE,10
QA,AE,45
QA,AE,12
SA,AE,138
SA,AE,20
SA,AE,26
DK,NO,1
CH,FR,27
FR,CH,27
AT,BR,1
KP,CN,1
TW,FR,1
TZ,US,2100
BH,QA,4
CA,DO,1
OM,ZA,1
OM,ZA,11
QA,ZA,20
TH,BH,1
US,DE,1
CH,FR,3
CH,FR,3
DE,CH,6
AE,PH,2
BR,PT,2
BR,PT,2
BS,US,1
BS,US,1
CA,US,1
CA,US,1
CA,US,2
CR,US,1
DE,IL,26
DE,PH,2
JP,SG,22
KG,KZ,1
KW,ES,2
KZ,RU,1
NL,SG,16
OM,ZA,2
SR,NL,1
SR,NL,1
TW,SG,30
US,BS,1
US,CA,1
US,CA,1
US,SG,2
BH,BE,1
BH,BE,1
CA,US,1
CH,ES,1
CH,FR,1
JP,SG,2
KR,PH,1
LT,CA,1
NL,SG,6
NL,SG,3
NO,DK,1
NO,DK,3
NZ,ZA,1
PA,NL,4
TW,BE,1
TW,BE,1
TW,BE,2
TW,BE,1
TW,BE,1
TW,BE,2
TW,SG,30
US,CA,1
US,CA,1
US,SG,24
US,XX,1
XX,US,1
BG,UZ,4
CZ,ZA,4
DE,PH,28
DE,PH,20
DE,PH,6
DE,PH,12
DE,PH,56
DE,PH,100
FR,SG,5
GR,PH,2
IR,KW,4
NL,SG,9
NL,SG,11
PH,TH,20
SA,KW,5
SA,KW,3
US,SG,36
ZA,PL,1
BE,US,20
CA,US,40
CH,DE,100
CH,US,10
IN,US,200
JP,US,20
NZ,US,10
US,MT,150
US,MX,90
AU,US,200
BE,US,20
CH,DE,18
CH,DE,100
CH,US,10
CN,DE,200
HK,US,100
JP,US,10
NZ,US,10
AT,US,10
BE,US,60
CA,US,2080
CH,DE,100
CH,US,60
CN,DE,100
CN,IT,64
HK,US,9
HK,US,200
IN,US,100
JP,US,20
KR,US,150
PL,US,130
SG,IT,2
US,HK,9
US,MT,150
US,XX,11
AU,US,40
BE,US,90
CA,US,40
CH,US,20
CN,US,140
DE,TH,4
IN,US,30
IT,US,60
JP,US,30
NZ,US,10
PL,US,30
US,CZ,4
US,MX,279
BE,US,310
CA,US,5060
CH,DE,12
CH,DE,120
CH,US,50
CN,US,5210
DE,TH,1
GB,US,1
IN,US,20
JP,US,80
KR,US,109
US,CZ,1
US,HU,5
US,MT,600
US,MX,21
BE,US,15
CH,US,10
JP,US,5
RO,US,10
US,MX,5
BE,US,60
CA,US,10030
CH,US,20
HK,CZ,2
HK,US,190
JP,US,10
RO,US,20
CH,DE,20
CN,DE,200
DE,TH,4
DE,TH,270
GB,US,1
SG,IT,19
US,MT,450
US,TH,46
US,TH,1
US,MT,150
US,TH,1
US,KH,1
AT,US,20
CH,DE,1
CR,DE,5
CR,DE,2
CH,DE,2
CR,DE,2
DE,US,92
TH,US,71
CR,DE,2
IT,US,20
AT,US,20
IT,US,20
CH,DE,21
CN,MT,2200
CH,DE,1
AT,US,10
AU,US,80
BE,US,50
CA,US,20
CN,US,30
IT,US,60
PL,US,20
RO,US,20
JP,ZA,1
RO,US,20
US,MT,200
CA,US,50
CH,DE,1
US,TH,2
CH,DE,1
AT,US,10
CA,US,30
IL,US,10
SG,IT,3
ZA,IT,20
AT,US,10
CA,US,10
CH,DE,10
CN,MT,4400
IL,US,20
NZ,US,10
US,MT,450
CH,DE,1
CH,DE,2
AT,US,20
CA,US,40
CH,DE,4
CH,US,10
CN,US,100
FR,US,130
RO,US,20
AT,US,20
AU,US,500
CA,US,240
CH,DE,2
HK,US,100
IL,US,6000
NZ,US,40
PL,US,200
RO,US,120
US,MT,600
US,MX,9
NP,US,1
US,MT,600
AU,US,200
CN,US,20
ES,US,140
FR,US,100
JP,DE,2
RO,US,40
US,MT,150
AU,US,100
CA,US,10
US,MT,300
CH,DE,21
ES,US,20
CH,DE,100
FR,US,100
CA,US,1040
FR,US,100
IL,US,1000
NZ,US,20
PL,US,100
US,MT,300
CH,DE,40
NZ,US,10
PL,US,30
TH,US,30
AU,US,40
CN,DE,30
IL,US,30
PL,US,30
US,MT,300
US,TH,1
CA,US,20
CH,DE,300
CN,MT,2350
US,MT,900
AT,US,20
AU,US,100
CA,US,40
CH,DE,80
IL,US,1000
NZ,US,40
PL,US,100
US,MT,1350
CN,MT,17600
US,MT,150
CH,DE,30
CH,DE,100
IL,US,2000
US,MT,300
CA,US,20
FR,US,100
IL,US,1000
CH,DE,2
ES,US,100
FR,US,100
US,MT,150
JP,DE,1
DE,US,100
TH,US,175
US,TH,1
BY,RU,3
CA,IT,1
CH,IT,2
CN,IT,6
DE,CH,1
FR,CH,1
FR,CH,1
FR,CH,1
MX,FR,1
RU,CZ,1
TR,IT,6
US,IT,198.1
BE,CA,1
CA,AT,3
DK,GL,2
RU,CZ,1
RU,FR,1
CH,DE,1
US,AR,525
US,AU,1
US,PE,10
US,PL,1
ES,CH,2
GB,CH,3
CN,CZ,5
CN,CZ,5
