Year,App.,Class,Order,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source
2016,I,Aves,Falconiformes,TR,NL,,1,bodies,T,C
2016,I,Aves,Falconiformes,XV,RS,,1,bodies,Q,O
2016,I,Aves,Falconiformes,BE,NO,,43,feathers,S,W
2016,I,Aves,Falconiformes,BE,NO,,43,specimens,S,W
2016,I,Aves,Falconiformes,DK,IS,700,,specimens,S,W
2016,I,Aves,Falconiformes,XV,RS,,1,bodies,Q,O
2016,I,Aves,Falconiformes,BR,FR,,12,feathers,S,C
2016,I,Aves,Falconiformes,BR,FR,,4,feathers,S,U
2016,I,Aves,Falconiformes,BR,FR,,2,feathers,S,W
2016,I,Actinopteri,Acipenseriformes,CH,DE,,4,live,T,C
2016,I,Actinopteri,Acipenseriformes,US,IR,100,,caviar,P,I
2016,I,Mammalia,Carnivora,AU,NZ,,2,live,Z,C
2016,I,Mammalia,Carnivora,CA,US,,1,live,Z,F
2016,I,Mammalia,Carnivora,IL,DE,,2,live,Z,C
2016,I,Mammalia,Carnivora,JP,US,1,,live,B,C
2016,I,Mammalia,Carnivora,JP,US,,1,live,Z,C
2016,I,Mammalia,Carnivora,KP,CN,,1,bodies,E,U
2016,I,Mammalia,Carnivora,KR,CN,,1,specimens,E,C
2016,I,Mammalia,Carnivora,KR,JP,,1,live,Z,C
2016,I,Mammalia,Carnivora,US,CA,5,,live,Z,C
2016,I,Reptilia,Crocodylia,KP,CN,,1,bodies,E,U
2016,I,Reptilia,Crocodylia,US,DK,10,,live,Z,F
2016,I,Aves,Anseriformes,CA,US,,3,feathers,S,I
2016,I,Aves,Anseriformes,MC,FR,2,,live,Z,I
2016,I,Aves,Anseriformes,GB,JE,1,1,bodies,S,C
2016,I,Aves,Anseriformes,GB,JE,1,2,bodies,S,C
2016,I,Aves,Anseriformes,CN,GB,1,,bodies,Q,C
2016,I,Aves,Anseriformes,MC,FR,2,,live,Z,I
2016,I,Aves,Anseriformes,SG,NL,,4,live,T,C
2016,I,Aves,Anseriformes,SG,NL,4,,live,Z,C
2016,I,Aves,Anseriformes,ZA,NL,,10,live,T,C
2016,I,Mammalia,Artiodactyla,BE,CH,1,,skins,Q,O
2016,I,Mammalia,Artiodactyla,CH,BE,,1,skins,Q,O
2016,I,,Gentianales,JP,NL,1,1,live,T,D
2016,I,,Gentianales,JP,TH,5,,live,T,D
2016,I,,Pinales,BE,CL,,7.5,live,T,A
2016,I,,Pinales,BE,CL,7500,,live,T,D
2016,I,,Pinales,CH,BE,,8,live,T,A
2016,I,,Pinales,CH,DE,,4,live,T,A
2016,I,,Pinales,CH,IT,,163,live,T,D
